situation_id,map_id,pick_turn,picking_team,team_a_pick_1,team_a_pick_2,team_a_pick_3,team_a_pick_4,team_a_pick_5,team_b_pick_1,team_b_pick_2,team_b_pick_3,team_b_pick_4,team_b_pick_5,best_pick
101,9,2,B,72,-1,-1,-1,-1,93,-1,-1,-1,-1,17
102,9,3,A,72,-1,-1,-1,-1,93,17,-1,-1,-1,55
103,9,5,B,72,55,8,-1,-1,93,17,-1,-1,-1,36
104,9,8,A,72,55,8,109,-1,93,17,36,10,-1,105
105,5,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50
106,5,4,A,50,94,-1,-1,-1,20,96,-1,-1,-1,16
107,5,5,B,50,94,16,-1,-1,20,96,-1,-1,-1,34
108,5,8,A,50,94,16,40,-1,20,96,34,108,-1,119
109,5,9,B,50,94,16,40,119,20,96,34,108,-1,84
110,3,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94
111,3,1,B,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
112,3,4,A,94,35,-1,-1,-1,5,84,-1,-1,-1,112
113,3,6,B,94,35,112,-1,-1,5,84,108,-1,-1,51
114,3,9,B,94,35,112,113,64,5,84,108,51,-1,2
115,10,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100
116,10,4,A,100,19,-1,-1,-1,21,73,-1,-1,-1,66
117,10,5,B,100,19,66,-1,-1,21,73,-1,-1,-1,7
118,10,6,B,100,19,66,-1,-1,21,73,7,-1,-1,84
119,10,7,A,100,19,66,-1,-1,21,73,7,84,-1,88
120,7,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36
121,7,4,A,36,72,-1,-1,-1,4,1,-1,-1,-1,74
122,7,6,B,36,72,74,-1,-1,4,1,2,-1,-1,28
123,7,7,A,36,72,74,-1,-1,4,1,2,28,-1,20
124,7,8,A,36,72,74,20,-1,4,1,2,28,-1,48
125,3,1,B,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
126,3,2,B,94,-1,-1,-1,-1,30,-1,-1,-1,-1,17
127,3,5,B,94,35,38,-1,-1,30,17,-1,-1,-1,100
128,3,7,A,94,35,38,-1,-1,30,17,100,3,-1,112
129,3,9,B,94,35,38,112,111,30,17,100,3,-1,1
130,9,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97
131,9,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
132,9,2,B,97,-1,-1,-1,-1,17,-1,-1,-1,-1,69
133,9,4,A,97,108,-1,-1,-1,17,69,-1,-1,-1,84
134,9,6,B,97,108,84,-1,-1,17,69,113,-1,-1,10
135,1,1,B,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,38
136,1,3,A,108,-1,-1,-1,-1,38,88,-1,-1,-1,51
137,1,5,B,108,51,25,-1,-1,38,88,-1,-1,-1,70
138,1,7,A,108,51,25,-1,-1,38,88,70,22,-1,15
139,1,9,B,108,51,25,15,65,38,88,70,22,-1,6
140,4,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
141,4,2,B,97,-1,-1,-1,-1,17,-1,-1,-1,-1,69
142,4,3,A,97,-1,-1,-1,-1,17,69,-1,-1,-1,108
143,4,6,B,97,108,84,-1,-1,17,69,113,-1,-1,60
144,4,8,A,97,108,84,5,-1,17,69,113,60,-1,51
145,3,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44
146,3,1,B,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,109
147,3,3,A,44,-1,-1,-1,-1,109,32,-1,-1,-1,11
148,3,5,B,44,11,63,-1,-1,109,32,-1,-1,-1,101
149,3,6,B,44,11,63,-1,-1,109,32,101,-1,-1,0
150,3,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94
151,3,1,B,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,84
152,3,2,B,94,-1,-1,-1,-1,84,-1,-1,-1,-1,108
153,3,6,B,94,35,37,-1,-1,84,108,2,-1,-1,1
154,3,7,A,94,35,37,-1,-1,84,108,2,1,-1,11
155,0,3,A,100,-1,-1,-1,-1,21,73,-1,-1,-1,19
156,0,4,A,100,19,-1,-1,-1,21,73,-1,-1,-1,66
157,0,5,B,100,19,66,-1,-1,21,73,-1,-1,-1,80
158,0,6,B,100,19,66,-1,-1,21,73,80,-1,-1,31
159,0,8,A,100,19,66,65,-1,21,73,80,31,-1,62
160,3,1,B,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,119
161,3,4,A,19,108,-1,-1,-1,119,16,-1,-1,-1,84
162,3,6,B,19,108,84,-1,-1,119,16,88,-1,-1,38
163,3,8,A,19,108,84,80,-1,119,16,88,38,-1,82
164,3,9,B,19,108,84,80,82,119,16,88,38,-1,112
165,14,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72
166,14,1,B,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
167,14,3,A,72,-1,-1,-1,-1,17,69,-1,-1,-1,55
168,14,5,B,72,55,8,-1,-1,17,69,-1,-1,-1,113
169,14,9,B,72,55,8,56,105,17,69,113,89,-1,87
170,4,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
171,4,2,B,22,-1,-1,-1,-1,68,-1,-1,-1,-1,74
172,4,4,A,22,55,-1,-1,-1,68,74,-1,-1,-1,8
173,4,7,A,22,55,8,-1,-1,68,74,36,85,-1,109
174,4,9,B,22,55,8,109,56,68,74,36,85,-1,114
175,10,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
176,10,3,A,0,-1,-1,-1,-1,104,46,-1,-1,-1,72
177,10,4,A,0,72,-1,-1,-1,104,46,-1,-1,-1,74
178,10,8,A,0,72,74,106,-1,104,46,93,65,-1,59
179,10,9,B,0,72,74,106,59,104,46,93,65,-1,35
180,5,2,B,50,-1,-1,-1,-1,20,-1,-1,-1,-1,72
181,5,3,A,50,-1,-1,-1,-1,20,72,-1,-1,-1,94
182,5,6,B,50,94,16,-1,-1,20,72,55,-1,-1,8
183,5,7,A,50,94,16,-1,-1,20,72,55,8,-1,93
184,5,8,A,50,94,16,93,-1,20,72,55,8,-1,119
185,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61
186,12,2,B,61,-1,-1,-1,-1,4,-1,-1,-1,-1,26
187,12,4,A,61,24,-1,-1,-1,4,26,-1,-1,-1,23
188,12,7,A,61,24,23,-1,-1,4,26,42,15,-1,31
189,12,8,A,61,24,23,31,-1,4,26,42,15,-1,80
190,8,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44
191,8,2,B,44,-1,-1,-1,-1,109,-1,-1,-1,-1,32
192,8,4,A,44,63,-1,-1,-1,109,32,-1,-1,-1,11
193,8,6,B,44,63,11,-1,-1,109,32,101,-1,-1,0
194,8,9,B,44,63,11,22,98,109,32,101,0,-1,68
195,10,1,B,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
196,10,2,B,100,-1,-1,-1,-1,21,-1,-1,-1,-1,73
197,10,3,A,100,-1,-1,-1,-1,21,73,-1,-1,-1,19
198,10,7,A,100,19,66,-1,-1,21,73,80,31,-1,65
199,10,8,A,100,19,66,65,-1,21,73,80,31,-1,68
200,1,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
201,1,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
202,1,3,A,58,-1,-1,-1,-1,25,10,-1,-1,-1,32
203,1,4,A,58,32,-1,-1,-1,25,10,-1,-1,-1,56
204,1,8,A,58,32,56,79,-1,25,10,39,36,-1,75
205,3,1,B,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
206,3,2,B,94,-1,-1,-1,-1,7,-1,-1,-1,-1,84
207,3,3,A,94,-1,-1,-1,-1,7,84,-1,-1,-1,88
208,3,4,A,94,88,-1,-1,-1,7,84,-1,-1,-1,38
209,3,8,A,94,88,38,35,-1,7,84,108,5,-1,112
210,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36
211,12,4,A,36,72,-1,-1,-1,4,1,-1,-1,-1,49
212,12,5,B,36,72,49,-1,-1,4,1,-1,-1,-1,16
213,12,8,A,36,72,49,95,-1,4,1,16,42,-1,48
214,12,9,B,36,72,49,95,48,4,1,16,42,-1,118
215,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111
216,12,1,B,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
217,12,3,A,111,-1,-1,-1,-1,26,54,-1,-1,-1,47
218,12,6,B,111,47,49,-1,-1,26,54,118,-1,-1,40
219,12,7,A,111,47,49,-1,-1,26,54,118,40,-1,95
220,3,3,A,119,-1,-1,-1,-1,84,108,-1,-1,-1,38
221,3,4,A,119,38,-1,-1,-1,84,108,-1,-1,-1,111
222,3,5,B,119,38,111,-1,-1,84,108,-1,-1,-1,32
223,3,7,A,119,38,111,-1,-1,84,108,32,100,-1,112
224,3,9,B,119,38,111,112,113,84,108,32,100,-1,51
225,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
226,12,1,B,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,101
227,12,3,A,11,-1,-1,-1,-1,101,4,-1,-1,-1,45
228,12,7,A,11,45,98,-1,-1,101,4,68,115,-1,99
229,12,8,A,11,45,98,99,-1,101,4,68,115,-1,21
230,0,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
231,0,1,B,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,70
232,0,2,B,25,-1,-1,-1,-1,70,-1,-1,-1,-1,22
233,0,3,A,25,-1,-1,-1,-1,70,22,-1,-1,-1,66
234,0,4,A,25,66,-1,-1,-1,70,22,-1,-1,-1,68
235,13,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44
236,13,1,B,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,109
237,13,4,A,44,63,-1,-1,-1,109,32,-1,-1,-1,11
238,13,5,B,44,63,11,-1,-1,109,32,-1,-1,-1,108
239,13,7,A,44,63,11,-1,-1,109,32,108,84,-1,37
240,8,2,B,94,-1,-1,-1,-1,80,-1,-1,-1,-1,31
241,8,4,A,94,114,-1,-1,-1,80,31,-1,-1,-1,35
242,8,5,B,94,114,35,-1,-1,80,31,-1,-1,-1,54
243,8,6,B,94,114,35,-1,-1,80,31,54,-1,-1,2
244,8,7,A,94,114,35,-1,-1,80,31,54,2,-1,11
245,14,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
246,14,1,B,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,68
247,14,2,B,22,-1,-1,-1,-1,68,-1,-1,-1,-1,117
248,14,6,B,22,6,55,-1,-1,68,117,90,-1,-1,14
249,14,9,B,22,6,55,109,32,68,117,90,14,-1,63
250,9,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
251,9,4,A,97,58,-1,-1,-1,17,118,-1,-1,-1,56
252,9,6,B,97,58,56,-1,-1,17,118,89,-1,-1,60
253,9,7,A,97,58,56,-1,-1,17,118,89,60,-1,0
254,9,9,B,97,58,56,0,76,17,118,89,60,-1,113
255,0,1,B,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
256,0,5,B,75,68,119,-1,-1,21,45,-1,-1,-1,28
257,0,7,A,75,68,119,-1,-1,21,45,28,95,-1,117
258,0,8,A,75,68,119,117,-1,21,45,28,95,-1,90
259,0,9,B,75,68,119,117,90,21,45,28,95,-1,59
260,8,4,A,69,87,-1,-1,-1,59,106,-1,-1,-1,113
261,8,5,B,69,87,113,-1,-1,59,106,-1,-1,-1,0
262,8,6,B,69,87,113,-1,-1,59,106,0,-1,-1,77
263,8,8,A,69,87,113,89,-1,59,106,0,77,-1,60
264,8,9,B,69,87,113,89,60,59,106,0,77,-1,28
265,14,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72
266,14,1,B,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
267,14,2,B,72,-1,-1,-1,-1,17,-1,-1,-1,-1,113
268,14,5,B,72,55,8,-1,-1,17,113,-1,-1,-1,89
269,14,7,A,72,55,8,-1,-1,17,113,89,60,-1,51
270,6,1,B,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,38
271,6,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,111
272,6,3,A,108,-1,-1,-1,-1,38,111,-1,-1,-1,51
273,6,6,B,108,51,50,-1,-1,38,111,64,-1,-1,89
274,6,8,A,108,51,50,77,-1,38,111,64,89,-1,54
275,6,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
276,6,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,63
277,6,2,B,58,-1,-1,-1,-1,63,-1,-1,-1,-1,11
278,6,3,A,58,-1,-1,-1,-1,63,11,-1,-1,-1,54
279,6,8,A,58,54,2,105,-1,63,11,99,98,-1,1
280,3,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44
281,3,1,B,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,59
282,3,6,B,44,61,37,-1,-1,59,106,0,-1,-1,2
283,3,7,A,44,61,37,-1,-1,59,106,0,2,-1,24
284,3,8,A,44,61,37,24,-1,59,106,0,2,-1,13
285,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111
286,12,1,B,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,54
287,12,3,A,111,-1,-1,-1,-1,54,26,-1,-1,-1,47
288,12,6,B,111,47,46,-1,-1,54,26,17,-1,-1,19
289,12,9,B,111,47,46,48,24,54,26,17,19,-1,93
290,13,3,A,69,-1,-1,-1,-1,9,33,-1,-1,-1,87
291,13,4,A,69,87,-1,-1,-1,9,33,-1,-1,-1,113
292,13,6,B,69,87,113,-1,-1,9,33,100,-1,-1,30
293,13,7,A,69,87,113,-1,-1,9,33,100,30,-1,89
294,13,9,B,69,87,113,89,60,9,33,100,30,-1,101
295,14,2,B,47,-1,-1,-1,-1,19,-1,-1,-1,-1,17
296,14,3,A,47,-1,-1,-1,-1,19,17,-1,-1,-1,83
297,14,4,A,47,83,-1,-1,-1,19,17,-1,-1,-1,30
298,14,5,B,47,83,30,-1,-1,19,17,-1,-1,-1,60
299,14,7,A,47,83,30,-1,-1,19,17,60,10,-1,76
300,0,1,B,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
301,0,5,B,25,66,43,-1,-1,20,72,-1,-1,-1,109
302,0,6,B,25,66,43,-1,-1,20,72,109,-1,-1,55
303,0,7,A,25,66,43,-1,-1,20,72,109,55,-1,62
304,0,8,A,25,66,43,62,-1,20,72,109,55,-1,14
305,9,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72
306,9,1,B,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
307,9,6,B,72,55,8,-1,-1,17,69,113,-1,-1,10
308,9,8,A,72,55,8,56,-1,17,69,113,10,-1,105
309,9,9,B,72,55,8,56,105,17,69,113,10,-1,87
310,1,1,B,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,38
311,1,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,111
312,1,3,A,108,-1,-1,-1,-1,38,111,-1,-1,-1,51
313,1,5,B,108,51,100,-1,-1,38,111,-1,-1,-1,64
314,1,9,B,108,51,100,102,29,38,111,64,89,-1,48
315,2,2,B,36,-1,-1,-1,-1,4,-1,-1,-1,-1,26
316,2,3,A,36,-1,-1,-1,-1,4,26,-1,-1,-1,95
317,2,5,B,36,95,49,-1,-1,4,26,-1,-1,-1,117
318,2,6,B,36,95,49,-1,-1,4,26,117,-1,-1,68
319,2,7,A,36,95,49,-1,-1,4,26,117,68,-1,23
320,4,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
321,4,2,B,97,-1,-1,-1,-1,17,-1,-1,-1,-1,69
322,4,7,A,97,108,84,-1,-1,17,69,113,10,-1,5
323,4,8,A,97,108,84,5,-1,17,69,113,10,-1,51
324,4,9,B,97,108,84,5,51,17,69,113,10,-1,60
325,1,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,88
326,1,4,A,108,51,-1,-1,-1,38,88,-1,-1,-1,25
327,1,5,B,108,51,25,-1,-1,38,88,-1,-1,-1,70
328,1,6,B,108,51,25,-1,-1,38,88,70,-1,-1,22
329,1,8,A,108,51,25,15,-1,38,88,70,22,-1,19
330,0,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50
331,0,2,B,50,-1,-1,-1,-1,20,-1,-1,-1,-1,72
332,0,3,A,50,-1,-1,-1,-1,20,72,-1,-1,-1,94
333,0,4,A,50,94,-1,-1,-1,20,72,-1,-1,-1,16
334,0,6,B,50,94,16,-1,-1,20,72,58,-1,-1,56
335,1,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,63
336,1,2,B,58,-1,-1,-1,-1,63,-1,-1,-1,-1,35
337,1,5,B,58,54,2,-1,-1,63,35,-1,-1,-1,98
338,1,7,A,58,54,2,-1,-1,63,35,98,99,-1,1
339,1,9,B,58,54,2,1,50,63,35,98,99,-1,46
340,10,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100
341,10,1,B,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
342,10,4,A,100,19,-1,-1,-1,21,45,-1,-1,-1,68
343,10,6,B,100,19,68,-1,-1,21,45,109,-1,-1,32
344,10,9,B,100,19,68,119,16,21,45,109,32,-1,84
345,11,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
346,11,3,A,58,-1,-1,-1,-1,63,110,-1,-1,-1,54
347,11,6,B,58,54,50,-1,-1,63,110,99,-1,-1,98
348,11,7,A,58,54,50,-1,-1,63,110,99,98,-1,2
349,11,8,A,58,54,50,2,-1,63,110,99,98,-1,1
350,13,2,B,69,-1,-1,-1,-1,59,-1,-1,-1,-1,106
351,13,3,A,69,-1,-1,-1,-1,59,106,-1,-1,-1,87
352,13,4,A,69,87,-1,-1,-1,59,106,-1,-1,-1,113
353,13,7,A,69,87,113,-1,-1,59,106,0,77,-1,89
354,13,9,B,69,87,113,89,60,59,106,0,77,-1,28
355,10,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
356,10,2,B,25,-1,-1,-1,-1,45,-1,-1,-1,-1,98
357,10,3,A,25,-1,-1,-1,-1,45,98,-1,-1,-1,66
358,10,4,A,25,66,-1,-1,-1,45,98,-1,-1,-1,68
359,10,7,A,25,66,68,-1,-1,45,98,32,109,-1,119
360,5,2,B,100,-1,-1,-1,-1,21,-1,-1,-1,-1,45
361,5,3,A,100,-1,-1,-1,-1,21,45,-1,-1,-1,68
362,5,5,B,100,68,19,-1,-1,21,45,-1,-1,-1,7
363,5,8,A,100,68,19,92,-1,21,45,7,109,-1,119
364,5,9,B,100,68,19,92,119,21,45,7,109,-1,32
365,9,3,A,72,-1,-1,-1,-1,17,113,-1,-1,-1,45
366,9,4,A,72,45,-1,-1,-1,17,113,-1,-1,-1,98
367,9,7,A,72,45,98,-1,-1,17,113,69,18,-1,55
368,9,8,A,72,45,98,55,-1,17,113,69,18,-1,8
369,9,9,B,72,45,98,55,8,17,113,69,18,-1,65
370,5,1,B,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
371,5,4,A,100,19,-1,-1,-1,21,73,-1,-1,-1,66
372,5,5,B,100,19,66,-1,-1,21,73,-1,-1,-1,84
373,5,6,B,100,19,66,-1,-1,21,73,84,-1,-1,80
374,5,8,A,100,19,66,65,-1,21,73,84,80,-1,62
375,13,3,A,94,-1,-1,-1,-1,7,84,-1,-1,-1,88
376,13,5,B,94,88,38,-1,-1,7,84,-1,-1,-1,105
377,13,6,B,94,88,38,-1,-1,7,84,105,-1,-1,8
378,13,7,A,94,88,38,-1,-1,7,84,105,8,-1,64
379,13,8,A,94,88,38,64,-1,7,84,105,8,-1,35
380,6,2,B,8,-1,-1,-1,-1,110,-1,-1,-1,-1,86
381,6,4,A,8,54,-1,-1,-1,110,86,-1,-1,-1,2
382,6,6,B,8,54,2,-1,-1,110,86,48,-1,-1,24
383,6,7,A,8,54,2,-1,-1,110,86,48,24,-1,50
384,6,9,B,8,54,2,50,1,110,86,48,24,-1,20
385,1,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108
386,1,5,B,108,51,32,-1,-1,38,111,-1,-1,-1,64
387,1,7,A,108,51,32,-1,-1,38,111,64,89,-1,0
