incident_id,actor,action,location,time_period,severity,contributing_factor
104,VA002,VA007,VL013,VT005,VS004,VC007
105,VA018,VA018,VL001,VT002,VS001,VC008
107,VA022,VA012,VL003,VT004,VS001,VC009
109,VA006,VA016,VL002,VT003,VS002,VC009
110,VA016,VA017,VL003,VT006,VS001,VC010
112,VA006,VA007,VL012,VT007,VS002,VC002
114,VA000,VA012,VL000,VT003,VS004,VC006
115,VA028,VA009,VL007,VT003,VS000,VC003
116,VA000,VA016,VL003,VT006,VS002,VC008
117,VA029,VA001,VL005,VT004,VS002,VC003
118,VA005,VA012,VL007,VT002,VS003,VC010
119,VA029,VA013,VL013,VT004,VS001,VC010
120,VA018,VA008,VL008,VT002,VS004,VC011
121,VA003,VA009,VL009,VT005,VS003,VC009
122,VA008,VA017,VL007,VT004,VS001,VC008
123,VA027,VA012,VL008,VT006,VS004,VC001
124,VA023,VA015,VL001,VT000,VS003,VC011
125,VA000,VA001,VL004,VT000,VS000,VC003
126,VA006,VA006,VL011,VT001,VS001,VC000
127,VA018,VA014,VL009,VT005,VS001,VC004
128,VA013,VA004,VL007,VT005,VS003,VC010
129,VA028,VA008,VL008,VT000,VS003,VC006
130,VA020,VA006,VL005,VT004,VS000,VC011
131,VA014,VA003,VL014,VT003,VS004,VC002
133,VA010,VA013,VL006,VT000,VS001,VC001
134,VA004,VA008,VL005,VT000,VS002,VC010
135,VA016,VA013,VL014,VT002,VS001,VC001
136,VA015,VA011,VL006,VT007,VS003,VC007
137,VA015,VA011,VL009,VT006,VS000,VC001
138,VA003,VA018,VL008,VT001,VS004,VC008
139,VA020,VA010,VL010,VT001,VS004,VC001
140,VA013,VA019,VL007,VT003,VS002,VC004
141,VA021,VA001,VL003,VT006,VS001,VC001
142,VA000,VA005,VL014,VT001,VS000,VC010
143,VA025,VA012,VL005,VT003,VS003,VC009
144,VA023,VA019,VL003,VT007,VS001,VC002
145,VA007,VA004,VL012,VT006,VS000,VC008
147,VA009,VA002,VL013,VT000,VS003,VC006
148,VA006,VA008,VL009,VT000,VS001,VC006
149,VA010,VA011,VL012,VT001,VS003,VC002
151,VA009,VA006,VL001,VT007,VS001,VC000
152,VA028,VA001,VL013,VT007,VS003,VC002
154,VA018,VA002,VL005,VT001,VS003,VC011
155,VA011,VA011,VL008,VT005,VS002,VC002
156,VA025,VA018,VL009,VT004,VS000,VC010
158,VA001,VA000,VL000,VT002,VS004,VC008
159,VA012,VA012,VL001,VT003,VS002,VC003
160,VA026,VA018,VL011,VT006,VS003,VC004
161,VA023,VA003,VL004,VT007,VS000,VC003
162,VA020,VA004,VL009,VT001,VS000,VC008
163,VA009,VA011,VL007,VT006,VS004,VC001
165,VA022,VA000,VL009,VT007,VS004,VC002
166,VA009,VA000,VL001,VT001,VS002,VC000
168,VA015,VA009,VL010,VT006,VS002,VC005
169,VA010,VA010,VL006,VT004,VS004,VC001
170,VA003,VA009,VL006,VT003,VS001,VC005
171,VA005,VA007,VL004,VT007,VS000,VC000
172,VA015,VA000,VL011,VT003,VS002,VC006
174,VA007,VA003,VL002,VT000,VS002,VC005
175,VA013,VA003,VL005,VT005,VS003,VC011
176,VA001,VA000,VL013,VT005,VS004,VC006
177,VA025,VA005,VL001,VT000,VS002,VC011
178,VA015,VA017,VL001,VT005,VS003,VC005
180,VA026,VA002,VL007,VT006,VS003,VC000
181,VA021,VA012,VL000,VT003,VS003,VC010
182,VA025,VA007,VL003,VT003,VS000,VC001
183,VA015,VA005,VL012,VT001,VS003,VC000
184,VA004,VA007,VL012,VT005,VS000,VC008
186,VA004,VA007,VL014,VT001,VS001,VC008
187,VA003,VA011,VL014,VT007,VS000,VC004
188,VA005,VA000,VL008,VT004,VS002,VC010
189,VA014,VA014,VL011,VT003,VS000,VC011
190,VA011,VA015,VL000,VT000,VS004,VC001
191,VA017,VA019,VL002,VT004,VS000,VC007
193,VA006,VA000,VL001,VT003,VS003,VC001
194,VA024,VA016,VL003,VT005,VS003,VC011
195,VA022,VA013,VL005,VT004,VS000,VC007
196,VA011,VA000,VL006,VT006,VS002,VC009
197,VA019,VA002,VL000,VT001,VS002,VC006
198,VA020,VA012,VL011,VT003,VS003,VC000
199,VA015,VA015,VL010,VT005,VS003,VC002
200,VA019,VA003,VL013,VT005,VS001,VC004
201,VA000,VA009,VL010,VT007,VS002,VC000
204,VA011,VA015,VL011,VT005,VS000,VC003
207,VA000,VA003,VL005,VT001,VS004,VC011
209,VA023,VA000,VL006,VT003,VS004,VC001
210,VA000,VA003,VL011,VT003,VS003,VC010
211,VA003,VA007,VL009,VT005,VS004,VC009
213,VA001,VA017,VL006,VT006,VS002,VC005
214,VA021,VA008,VL003,VT007,VS001,VC005
216,VA011,VA008,VL005,VT003,VS000,VC011
217,VA001,VA004,VL014,VT000,VS004,VC006
218,VA017,VA008,VL010,VT001,VS001,VC000
219,VA025,VA016,VL000,VT002,VS003,VC007
220,VA027,VA003,VL002,VT002,VS003,VC001
221,VA020,VA006,VL011,VT007,VS002,VC001
223,VA018,VA008,VL012,VT001,VS000,VC006
224,VA011,VA014,VL005,VT003,VS000,VC004
226,VA026,VA004,VL004,VT004,VS004,VC010
227,VA026,VA001,VL011,VT003,VS000,VC000
228,VA000,VA015,VL014,VT007,VS000,VC001
229,VA018,VA015,VL011,VT006,VS000,VC000
230,VA023,VA018,VL003,VT002,VS001,VC006
231,VA015,VA018,VL001,VT003,VS002,VC007
232,VA006,VA016,VL000,VT003,VS003,VC008
233,VA008,VA003,VL010,VT004,VS001,VC002
234,VA028,VA013,VL001,VT004,VS003,VC005
235,VA006,VA019,VL013,VT003,VS001,VC006
237,VA003,VA005,VL013,VT005,VS002,VC011
239,VA025,VA004,VL013,VT000,VS004,VC000
240,VA021,VA010,VL008,VT003,VS004,VC011
241,VA000,VA017,VL002,VT005,VS002,VC004
243,VA007,VA004,VL014,VT006,VS001,VC010
244,VA007,VA019,VL000,VT004,VS004,VC011
245,VA001,VA005,VL004,VT004,VS002,VC011
246,VA003,VA009,VL003,VT002,VS002,VC003
248,VA003,VA018,VL012,VT005,VS000,VC001
249,VA027,VA000,VL013,VT006,VS003,VC009
250,VA004,VA014,VL003,VT002,VS001,VC001
252,VA009,VA011,VL011,VT000,VS002,VC006
253,VA009,VA012,VL013,VT007,VS001,VC005
254,VA025,VA010,VL003,VT006,VS004,VC004
258,VA027,VA009,VL012,VT005,VS000,VC009
260,VA026,VA008,VL001,VT005,VS000,VC000
263,VA020,VA015,VL009,VT002,VS004,VC007
265,VA017,VA013,VL011,VT006,VS000,VC007
266,VA012,VA004,VL001,VT001,VS001,VC007
267,VA016,VA004,VL003,VT006,VS004,VC000
268,VA016,VA005,VL007,VT004,VS002,VC008
269,VA015,VA017,VL011,VT006,VS001,VC007
270,VA009,VA008,VL010,VT004,VS004,VC002
271,VA011,VA006,VL005,VT006,VS001,VC002
273,VA020,VA010,VL012,VT002,VS000,VC005
274,VA029,VA018,VL010,VT004,VS004,VC009
278,VA014,VA011,VL008,VT002,VS004,VC009
279,VA023,VA015,VL008,VT003,VS004,VC010
280,VA010,VA000,VL007,VT007,VS002,VC009
281,VA012,VA011,VL003,VT005,VS000,VC002
282,VA022,VA016,VL010,VT005,VS000,VC000
283,VA024,VA003,VL005,VT001,VS002,VC003
284,VA021,VA007,VL000,VT006,VS000,VC000
285,VA007,VA011,VL014,VT001,VS004,VC010
286,VA016,VA015,VL009,VT000,VS003,VC005
287,VA006,VA001,VL012,VT006,VS004,VC000
288,VA016,VA001,VL006,VT004,VS003,VC010
289,VA017,VA000,VL002,VT004,VS002,VC005
290,VA017,VA001,VL003,VT005,VS003,VC010
291,VA016,VA019,VL007,VT006,VS004,VC000
292,VA022,VA011,VL003,VT007,VS002,VC000
294,VA008,VA004,VL006,VT004,VS001,VC003
295,VA015,VA010,VL000,VT006,VS003,VC008
298,VA018,VA013,VL003,VT007,VS004,VC005
299,VA020,VA002,VL010,VT003,VS000,VC011
300,VA018,VA016,VL014,VT007,VS003,VC004
301,VA022,VA003,VL001,VT003,VS002,VC004
302,VA004,VA016,VL001,VT006,VS001,VC002
303,VA023,VA010,VL005,VT005,VS002,VC005
304,VA025,VA007,VL000,VT002,VS002,VC003
305,VA010,VA010,VL013,VT002,VS000,VC007
306,VA006,VA007,VL012,VT003,VS001,VC003
307,VA009,VA011,VL005,VT001,VS001,VC006
308,VA028,VA004,VL010,VT007,VS004,VC003
310,VA001,VA004,VL012,VT001,VS003,VC003
311,VA028,VA001,VL010,VT004,VS001,VC007
312,VA012,VA017,VL000,VT001,VS000,VC005
313,VA013,VA019,VL002,VT006,VS003,VC007
314,VA025,VA001,VL005,VT000,VS003,VC005
315,VA024,VA019,VL001,VT001,VS001,VC011
316,VA004,VA001,VL000,VT001,VS001,VC000
317,VA018,VA015,VL014,VT007,VS001,VC011
318,VA027,VA011,VL013,VT007,VS004,VC004
319,VA018,VA009,VL001,VT006,VS003,VC008
320,VA025,VA005,VL012,VT003,VS001,VC005
322,VA013,VA015,VL003,VT001,VS002,VC006
323,VA029,VA001,VL005,VT002,VS001,VC009
324,VA010,VA001,VL010,VT001,VS004,VC007
325,VA025,VA005,VL010,VT005,VS004,VC011
326,VA008,VA019,VL011,VT002,VS000,VC001
327,VA013,VA004,VL002,VT002,VS002,VC011
328,VA004,VA010,VL008,VT000,VS001,VC011
329,VA017,VA014,VL003,VT001,VS000,VC000
330,VA017,VA008,VL007,VT000,VS001,VC006
331,VA011,VA002,VL011,VT002,VS002,VC003
332,VA011,VA019,VL000,VT000,VS004,VC001
335,VA026,VA005,VL000,VT002,VS000,VC008
336,VA019,VA009,VL008,VT001,VS004,VC007
338,VA005,VA012,VL002,VT003,VS000,VC007
339,VA004,VA012,VL010,VT001,VS002,VC011
340,VA001,VA001,VL001,VT000,VS001,VC004
341,VA023,VA017,VL012,VT001,VS001,VC007
344,VA003,VA003,VL007,VT006,VS002,VC008
345,VA000,VA011,VL011,VT000,VS000,VC008
346,VA018,VA002,VL013,VT007,VS003,VC011
347,VA009,VA013,VL004,VT005,VS004,VC009
349,VA005,VA012,VL007,VT002,VS002,VC001
351,VA028,VA019,VL001,VT006,VS004,VC002
352,VA029,VA002,VL013,VT007,VS002,VC011
354,VA003,VA015,VL000,VT007,VS002,VC000
355,VA028,VA006,VL002,VT003,VS002,VC003
357,VA007,VA010,VL008,VT001,VS001,VC000
359,VA022,VA019,VL013,VT004,VS003,VC006
361,VA006,VA017,VL009,VT007,VS002,VC004
362,VA002,VA007,VL000,VT004,VS001,VC000
363,VA004,VA005,VL000,VT000,VS001,VC003
364,VA022,VA017,VL014,VT003,VS003,VC003
365,VA015,VA008,VL000,VT002,VS001,VC000
366,VA018,VA015,VL001,VT001,VS001,VC005
367,VA012,VA012,VL012,VT001,VS002,VC010
368,VA015,VA012,VL009,VT004,VS004,VC007
369,VA016,VA009,VL014,VT004,VS000,VC009
370,VA011,VA008,VL009,VT001,VS001,VC004
371,VA024,VA004,VL011,VT007,VS000,VC002
372,VA022,VA004,VL005,VT000,VS000,VC002
373,VA026,VA005,VL006,VT005,VS003,VC006
374,VA008,VA004,VL009,VT005,VS002,VC009
376,VA009,VA019,VL000,VT003,VS002,VC005
377,VA006,VA004,VL012,VT000,VS002,VC000
378,VA009,VA014,VL000,VT005,VS000,VC000
379,VA022,VA018,VL010,VT000,VS004,VC008
380,VA008,VA018,VL014,VT002,VS003,VC010
381,VA001,VA019,VL012,VT002,VS004,VC001
382,VA017,VA006,VL005,VT000,VS003,VC010
383,VA004,VA000,VL012,VT004,VS001,VC011
384,VA027,VA009,VL012,VT006,VS003,VC010
385,VA026,VA003,VL005,VT007,VS004,VC000
386,VA005,VA016,VL008,VT004,VS004,VC003
387,VA001,VA016,VL001,VT004,VS000,VC003
388,VA012,VA013,VL000,VT002,VS004,VC008
389,VA002,VA009,VL009,VT007,VS000,VC000
390,VA023,VA018,VL009,VT006,VS004,VC008
391,VA003,VA014,VL012,VT001,VS001,VC009
392,VA012,VA005,VL014,VT006,VS003,VC003
393,VA028,VA015,VL003,VT002,VS002,VC003
394,VA019,VA017,VL005,VT004,VS000,VC007
395,VA008,VA015,VL014,VT005,VS004,VC006
396,VA004,VA003,VL001,VT005,VS003,VC011
397,VA027,VA019,VL002,VT004,VS001,VC009
398,VA024,VA018,VL003,VT004,VS001,VC008
399,VA013,VA006,VL009,VT005,VS002,VC002
400,VA025,VA010,VL010,VT006,VS004,VC005
402,VA010,VA008,VL009,VT004,VS002,VC000
403,VA028,VA012,VL010,VT001,VS004,VC003
405,VA000,VA007,VL009,VT000,VS002,VC000
406,VA001,VA002,VL011,VT002,VS004,VC004
407,VA019,VA011,VL010,VT006,VS000,VC006
408,VA018,VA016,VL009,VT000,VS002,VC008
409,VA028,VA002,VL000,VT003,VS002,VC009
410,VA009,VA008,VL013,VT005,VS002,VC001
411,VA026,VA008,VL006,VT002,VS003,VC008
412,VA018,VA016,VL003,VT006,VS004,VC010
414,VA016,VA002,VL006,VT004,VS004,VC001
416,VA001,VA009,VL009,VT002,VS003,VC006
417,VA013,VA011,VL000,VT005,VS000,VC010
418,VA013,VA013,VL003,VT001,VS004,VC007
420,VA015,VA005,VL003,VT002,VS003,VC000
421,VA007,VA014,VL012,VT007,VS001,VC004
422,VA016,VA009,VL012,VT003,VS001,VC002
423,VA007,VA008,VL013,VT006,VS001,VC000
424,VA000,VA005,VL009,VT005,VS003,VC010
425,VA026,VA006,VL009,VT001,VS004,VC007
426,VA008,VA005,VL000,VT002,VS001,VC000
427,VA024,VA001,VL002,VT004,VS001,VC008
428,VA013,VA011,VL010,VT002,VS001,VC001
429,VA022,VA012,VL006,VT001,VS002,VC000
430,VA029,VA013,VL014,VT002,VS001,VC011
432,VA026,VA004,VL005,VT006,VS004,VC009
433,VA021,VA007,VL000,VT007,VS000,VC006
437,VA014,VA010,VL013,VT001,VS002,VC011
438,VA016,VA006,VL004,VT005,VS004,VC009
439,VA016,VA019,VL003,VT006,VS000,VC002
440,VA023,VA012,VL012,VT002,VS002,VC010
441,VA021,VA013,VL010,VT003,VS004,VC011
442,VA023,VA012,VL013,VT007,VS004,VC011
443,VA022,VA010,VL014,VT006,VS003,VC002
444,VA028,VA015,VL010,VT004,VS001,VC003
445,VA018,VA010,VL001,VT001,VS001,VC002
446,VA012,VA009,VL005,VT007,VS002,VC003
447,VA026,VA003,VL001,VT007,VS003,VC008
448,VA021,VA002,VL008,VT006,VS000,VC002
449,VA012,VA014,VL008,VT003,VS000,VC010
450,VA016,VA007,VL007,VT001,VS000,VC007
451,VA008,VA006,VL007,VT000,VS001,VC006
452,VA029,VA014,VL000,VT004,VS001,VC006
453,VA012,VA012,VL010,VT005,VS002,VC009
454,VA024,VA001,VL004,VT007,VS001,VC011
455,VA023,VA016,VL014,VT004,VS003,VC007
456,VA021,VA009,VL001,VT004,VS002,VC007
457,VA001,VA016,VL014,VT000,VS003,VC009
458,VA001,VA004,VL005,VT004,VS003,VC002
459,VA015,VA010,VL010,VT000,VS000,VC001
460,VA018,VA017,VL001,VT004,VS001,VC007
461,VA003,VA000,VL012,VT005,VS001,VC002
463,VA006,VA002,VL005,VT000,VS004,VC001
464,VA010,VA007,VL006,VT000,VS002,VC003
466,VA013,VA017,VL004,VT006,VS000,VC011
467,VA013,VA008,VL001,VT000,VS001,VC007
468,VA010,VA010,VL013,VT004,VS001,VC001
470,VA004,VA013,VL005,VT007,VS000,VC000
471,VA025,VA011,VL010,VT004,VS002,VC006
472,VA004,VA012,VL001,VT007,VS000,VC003
474,VA013,VA002,VL006,VT003,VS001,VC001
475,VA013,VA014,VL008,VT000,VS002,VC002
476,VA016,VA008,VL010,VT001,VS001,VC010
477,VA017,VA004,VL008,VT004,VS001,VC003
478,VA019,VA014,VL012,VT001,VS003,VC009
479,VA008,VA019,VL003,VT006,VS004,VC000
480,VA014,VA007,VL008,VT002,VS000,VC003
481,VA001,VA004,VL006,VT005,VS001,VC009
482,VA002,VA003,VL002,VT000,VS003,VC008
483,VA001,VA016,VL000,VT005,VS004,VC002
484,VA003,VA010,VL002,VT004,VS001,VC005
485,VA000,VA017,VL008,VT001,VS001,VC002
486,VA021,VA015,VL010,VT007,VS002,VC008
487,VA026,VA005,VL005,VT001,VS000,VC009
488,VA012,VA013,VL011,VT007,VS000,VC007
491,VA015,VA001,VL000,VT005,VS000,VC004
492,VA021,VA017,VL008,VT006,VS003,VC007
495,VA000,VA005,VL000,VT001,VS003,VC002
496,VA003,VA012,VL003,VT002,VS000,VC007
497,VA007,VA003,VL014,VT006,VS001,VC006
498,VA024,VA002,VL011,VT001,VS000,VC004
499,VA015,VA009,VL014,VT001,VS003,VC004
500,VA007,VA018,VL010,VT005,VS004,VC006
501,VA017,VA016,VL010,VT004,VS000,VC000
503,VA010,VA019,VL002,VT006,VS000,VC003
504,VA018,VA003,VL000,VT003,VS000,VC011
505,VA010,VA010,VL011,VT001,VS002,VC011
506,VA003,VA000,VL009,VT002,VS003,VC006
507,VA005,VA008,VL004,VT000,VS002,VC006
508,VA025,VA015,VL003,VT000,VS001,VC011
509,VA020,VA013,VL000,VT001,VS001,VC006
510,VA008,VA015,VL003,VT003,VS001,VC005
511,VA029,VA007,VL009,VT002,VS003,VC010
512,VA024,VA002,VL012,VT007,VS003,VC005
513,VA025,VA010,VL006,VT000,VS000,VC008
515,VA015,VA011,VL010,VT000,VS003,VC004
516,VA015,VA000,VL006,VT006,VS001,VC007
517,VA029,VA004,VL013,VT000,VS004,VC006
518,VA007,VA007,VL006,VT001,VS001,VC003
519,VA018,VA012,VL011,VT000,VS001,VC009
520,VA005,VA005,VL009,VT001,VS001,VC007
521,VA016,VA018,VL011,VT006,VS002,VC010
522,VA020,VA009,VL007,VT000,VS003,VC006
523,VA010,VA017,VL010,VT006,VS002,VC005
524,VA022,VA000,VL012,VT000,VS000,VC007
527,VA002,VA018,VL008,VT004,VS002,VC009
528,VA014,VA011,VL013,VT003,VS002,VC009
529,VA010,VA008,VL013,VT007,VS004,VC009
530,VA002,VA007,VL000,VT006,VS003,VC006
531,VA006,VA016,VL006,VT003,VS004,VC001
532,VA009,VA019,VL007,VT006,VS003,VC010
533,VA029,VA008,VL000,VT006,VS002,VC001
534,VA006,VA011,VL012,VT001,VS004,VC002
535,VA006,VA019,VL013,VT004,VS001,VC000
536,VA009,VA014,VL006,VT005,VS000,VC004
537,VA016,VA003,VL001,VT000,VS003,VC006
538,VA001,VA000,VL002,VT005,VS003,VC011
539,VA024,VA018,VL003,VT004,VS004,VC000
541,VA005,VA001,VL011,VT005,VS001,VC004
542,VA024,VA001,VL006,VT003,VS001,VC007
543,VA022,VA004,VL003,VT007,VS003,VC008
545,VA017,VA000,VL014,VT004,VS004,VC000
546,VA014,VA002,VL007,VT005,VS001,VC002
547,VA029,VA006,VL013,VT004,VS000,VC005
548,VA014,VA017,VL011,VT001,VS004,VC003
549,VA011,VA014,VL014,VT002,VS001,VC005
550,VA015,VA000,VL002,VT001,VS000,VC010
552,VA003,VA010,VL012,VT005,VS001,VC011
553,VA001,VA011,VL008,VT007,VS004,VC006
554,VA022,VA012,VL012,VT006,VS003,VC008
557,VA002,VA007,VL014,VT002,VS002,VC011
558,VA016,VA005,VL007,VT001,VS002,VC009
559,VA018,VA013,VL014,VT007,VS001,VC002
560,VA017,VA003,VL001,VT006,VS002,VC005
561,VA022,VA006,VL006,VT000,VS003,VC003
563,VA012,VA006,VL012,VT006,VS000,VC000
565,VA018,VA013,VL011,VT003,VS000,VC006
567,VA022,VA018,VL010,VT001,VS001,VC003
568,VA025,VA016,VL008,VT007,VS001,VC002
573,VA026,VA006,VL008,VT007,VS000,VC008
574,VA006,VA003,VL008,VT005,VS001,VC007
575,VA023,VA007,VL003,VT005,VS004,VC003
576,VA027,VA015,VL010,VT001,VS003,VC006
578,VA024,VA018,VL003,VT004,VS000,VC010
579,VA019,VA018,VL002,VT000,VS001,VC005
580,VA028,VA014,VL012,VT000,VS003,VC011
581,VA017,VA006,VL005,VT001,VS004,VC003
582,VA016,VA017,VL002,VT006,VS003,VC009
584,VA011,VA007,VL005,VT000,VS001,VC008
585,VA025,VA019,VL011,VT002,VS004,VC000
586,VA020,VA015,VL011,VT005,VS001,VC010
587,VA027,VA012,VL005,VT001,VS003,VC008
588,VA007,VA012,VL008,VT004,VS000,VC006
591,VA010,VA019,VL003,VT003,VS004,VC001
592,VA013,VA009,VL006,VT001,VS004,VC002
593,VA025,VA005,VL006,VT006,VS000,VC000
594,VA027,VA002,VL000,VT000,VS003,VC001
595,VA016,VA014,VL002,VT007,VS003,VC006
596,VA010,VA008,VL005,VT004,VS004,VC001
598,VA001,VA016,VL014,VT004,VS004,VC004
599,VA004,VA007,VL008,VT002,VS003,VC001
600,VA017,VA008,VL011,VT004,VS000,VC005
601,VA029,VA007,VL004,VT004,VS000,VC008
602,VA004,VA010,VL001,VT001,VS003,VC001
604,VA020,VA005,VL005,VT002,VS004,VC004
608,VA014,VA011,VL013,VT003,VS001,VC000
610,VA009,VA007,VL004,VT006,VS003,VC010
611,VA006,VA019,VL013,VT007,VS003,VC004
614,VA021,VA009,VL013,VT002,VS002,VC001
615,VA017,VA005,VL013,VT007,VS004,VC007
616,VA020,VA015,VL009,VT004,VS003,VC001
617,VA022,VA009,VL007,VT004,VS000,VC002
618,VA028,VA001,VL005,VT003,VS004,VC009
619,VA007,VA011,VL012,VT002,VS000,VC008
620,VA018,VA005,VL001,VT000,VS000,VC004
621,VA019,VA000,VL007,VT000,VS002,VC000
622,VA018,VA011,VL004,VT005,VS003,VC000
623,VA011,VA013,VL001,VT005,VS000,VC004
624,VA018,VA004,VL007,VT007,VS000,VC005
625,VA005,VA017,VL000,VT000,VS003,VC000
628,VA005,VA001,VL003,VT004,VS001,VC004
629,VA019,VA018,VL006,VT007,VS000,VC004
630,VA027,VA004,VL006,VT007,VS003,VC009
631,VA005,VA002,VL014,VT006,VS003,VC009
632,VA006,VA011,VL013,VT003,VS001,VC002
633,VA018,VA007,VL000,VT004,VS003,VC005
635,VA015,VA007,VL000,VT004,VS002,VC011
636,VA003,VA003,VL013,VT006,VS002,VC008
637,VA001,VA008,VL014,VT001,VS001,VC009
638,VA002,VA017,VL004,VT005,VS000,VC001
639,VA018,VA001,VL005,VT003,VS002,VC005
640,VA028,VA003,VL005,VT000,VS000,VC003
641,VA014,VA014,VL006,VT000,VS002,VC008
643,VA025,VA011,VL010,VT001,VS000,VC005
645,VA000,VA017,VL004,VT005,VS003,VC001
646,VA010,VA012,VL002,VT001,VS002,VC003
647,VA007,VA008,VL013,VT007,VS002,VC009
648,VA002,VA012,VL006,VT003,VS002,VC006
649,VA007,VA017,VL000,VT001,VS000,VC005
650,VA022,VA003,VL012,VT000,VS000,VC009
654,VA016,VA011,VL005,VT003,VS003,VC007
655,VA008,VA004,VL006,VT004,VS000,VC008
657,VA021,VA007,VL011,VT007,VS004,VC008
658,VA027,VA004,VL011,VT006,VS004,VC000
659,VA029,VA016,VL013,VT000,VS001,VC010
661,VA013,VA011,VL007,VT002,VS004,VC001
662,VA028,VA001,VL012,VT003,VS004,VC002
663,VA023,VA018,VL010,VT001,VS000,VC008
664,VA013,VA001,VL002,VT005,VS003,VC002
665,VA020,VA003,VL003,VT001,VS002,VC000
668,VA029,VA001,VL011,VT003,VS000,VC011
669,VA012,VA016,VL014,VT003,VS004,VC001
671,VA022,VA008,VL004,VT003,VS002,VC004
672,VA028,VA014,VL006,VT005,VS001,VC002
673,VA023,VA004,VL007,VT001,VS001,VC009
675,VA026,VA014,VL012,VT005,VS002,VC002
676,VA010,VA019,VL001,VT007,VS004,VC003
677,VA025,VA015,VL008,VT003,VS003,VC004
