user_id,pref_cat_1,pref_cat_2,pref_cat_3,budget_low,budget_high,pref_1,pref_2,pref_3
163,2,11,10,1,1,0.532,-2.079,1.495
164,8,12,15,2,3,1.17,1.007,2.229
165,5,3,13,3,4,0.861,0.486,-1.426
166,5,12,11,3,3,1.338,-1.565,-0.3
167,15,19,3,2,5,-2.087,0.747,0.222
168,10,0,16,3,5,-0.117,-0.703,1.954
169,16,19,3,2,3,-0.558,-1.467,0.167
170,12,4,17,3,3,2.328,0.171,-1.125
171,15,5,2,2,4,-0.039,0.152,2.646
172,1,16,7,3,5,-1.333,1.273,0.954
173,18,14,2,2,5,0.515,-1.133,2.571
174,0,3,12,2,2,-0.017,-0.006,1.145
175,19,9,16,3,3,0.736,-0.623,-0.911
176,10,11,1,1,4,-0.841,1.486,-1.285
177,11,14,3,1,2,-0.933,0.937,0.013
178,9,17,16,2,2,0.574,0.17,1.009
179,13,3,8,3,3,1.227,0.882,2.132
180,12,6,14,1,3,0.806,0.648,1.707
181,18,3,14,2,3,-0.848,0.091,-0.021
182,1,17,13,3,4,1.55,-0.797,1.296
183,5,4,3,2,4,-0.821,-0.985,-0.025
184,19,7,8,2,4,1.079,-0.202,0.69
185,16,9,17,2,3,0.767,0.425,1.333
186,9,11,4,3,5,0.618,-0.097,-1.373
187,3,11,17,2,5,-0.376,-0.971,-1.883
188,17,9,13,1,5,0.768,0.607,0.323
189,8,5,9,3,4,0.112,0.217,0.285
190,9,6,17,1,3,0.182,-0.428,1.108
191,7,17,12,1,5,-1.209,0.383,-1.749
192,9,1,12,2,5,2.628,-0.733,-0.486
193,0,8,6,3,4,1.171,1.061,-1.93
194,11,18,17,3,5,0.53,1.517,0.379
195,2,5,18,3,5,1.023,0.211,0.196
196,8,17,19,1,2,-0.663,-0.386,-0.763
197,4,1,19,2,2,1.376,0.208,-1.386
198,9,15,17,2,2,0.186,-0.855,0.12
199,2,16,5,2,5,0.626,0.592,0.386
200,6,10,18,2,4,0.329,1.639,-3.313
201,0,3,11,2,3,-0.643,1.138,-0.779
202,19,7,1,3,4,-1.311,1.21,0.583
203,9,0,16,2,5,0.503,-0.836,0.069
204,6,10,16,1,1,1.241,2.172,-0.118
205,2,6,18,3,4,-0.029,0.348,-0.583
206,13,2,4,1,4,-0.057,-0.272,0.561
207,8,17,2,3,3,0.278,0.867,-0.543
208,14,12,13,2,2,-0.386,0.321,1.595
209,2,18,1,3,3,0.059,-0.74,0.922
210,9,19,2,2,5,-1.366,1.26,0.572
211,7,4,12,3,4,0.112,0.54,-0.138
212,11,0,17,3,3,0.072,0.07,-1.019
213,2,9,6,3,5,-0.708,0.755,-0.523
214,13,16,4,1,2,0.346,1.866,0.217
215,18,1,17,2,2,0.594,-0.094,0.361
216,3,6,15,2,4,1.011,1.053,1.124
217,6,10,15,2,4,0.817,-0.636,-0.57
218,18,4,11,2,5,0.424,0.756,0.351
219,13,8,11,1,3,-1.539,0.803,-0.774
220,11,9,15,3,3,0.614,1.22,1.079
221,4,17,6,2,2,-1.658,-0.298,-2.089
222,16,0,12,3,3,1.053,-0.703,-3.516
223,15,4,11,2,3,-0.985,1.036,-0.841
224,9,4,14,3,5,0.801,0.512,0.737
225,19,5,16,1,4,0.049,0.698,1.088
226,18,4,15,2,2,0.225,1.134,0.886
227,1,6,16,2,5,0.37,-1.081,0.209
228,1,19,10,1,5,-0.534,-0.595,-0.067
229,18,5,12,3,4,-1.313,-0.965,1.09
230,2,16,8,2,3,-0.928,-0.096,0.779
231,15,0,16,1,4,-0.853,0.203,0.346
232,8,6,4,1,2,-1.03,1.211,0.533
233,10,3,15,3,4,0.49,-1.325,0.176
234,13,0,7,1,2,-0.531,-0.264,-0.194
235,18,4,1,1,3,-0.206,1.065,-0.565
236,12,18,0,3,5,-0.43,-0.694,0.937
237,15,19,5,1,4,0.56,-1.434,-1.053
238,5,16,8,1,3,1.19,-0.632,0.885
239,4,3,0,1,5,0.409,0.753,-0.915
240,13,4,3,1,4,1.103,-0.784,0.886
241,3,2,15,3,3,-0.855,1.016,-0.719
242,0,13,16,2,4,1.092,-1.095,-2.13
243,15,12,11,3,5,1.019,1.595,-1.042
244,18,3,13,1,3,-0.72,0.104,0.516
245,17,13,8,1,1,-0.632,-0.448,-1.707
246,18,16,3,3,3,-0.48,0.479,0.343
247,3,4,13,3,5,-0.966,-0.045,1.965
248,13,18,11,3,4,1.005,-0.052,0.364
249,17,15,5,2,5,1.214,-0.02,0.856
250,11,12,4,3,3,-0.015,-1.088,-0.186
251,6,16,12,2,2,-0.564,1.375,2.189
252,0,2,4,2,5,0.665,0.411,-0.943
253,12,19,16,2,2,0.994,1.746,-0.62
254,15,14,0,1,5,-0.059,0.255,-0.977
255,7,5,1,2,3,-0.705,-1.532,-2.255
256,2,8,12,2,5,-0.554,0.374,1.552
257,2,17,9,3,5,0.15,0.796,-0.471
258,8,7,6,2,5,-0.693,-0.353,-0.396
259,2,16,9,2,2,0.261,0.818,-2.369
260,17,18,8,3,4,1.258,-0.272,0.211
261,14,19,0,2,2,-1.67,-0.048,0.981
262,7,19,10,2,4,-0.139,-0.014,0.373
263,2,12,10,1,5,-0.657,1.034,-0.475
264,11,6,8,1,2,-0.667,0.004,-0.186
265,6,7,19,1,5,-2.022,-1.074,1.366
266,3,2,15,3,3,0.112,-1.244,1.107
267,19,10,15,3,4,0.301,-2.88,0.167
268,16,8,12,1,5,0.846,0.881,-2.099
269,1,16,11,2,3,1.1,-0.488,0.135
270,16,14,10,3,3,0.686,0.051,-0.775
271,19,8,5,3,4,-0.432,0.091,1.125
272,19,10,11,1,4,-0.926,0.479,0.013
273,12,8,14,1,5,-0.953,0.89,0.961
274,7,3,8,1,5,-0.892,0.405,1.539
275,4,15,0,1,4,2.006,-3.292,0.008
276,16,17,10,2,4,-0.012,1.978,0.436
277,5,1,6,2,5,0.135,0.239,-0.382
278,10,8,11,2,4,-0.574,0.855,-0.895
279,19,6,17,1,3,1.214,-0.917,1.181
280,15,14,2,2,4,-2.44,0.566,0.968
281,10,13,12,1,1,-1.053,0.378,0.613
282,10,9,8,3,5,-1.656,1.277,0.457
283,18,16,14,2,3,-2.319,0.087,0.198
284,7,8,2,1,2,-0.358,0.27,1.044
285,1,0,12,3,3,-0.438,1.102,0.843
286,2,12,9,1,2,-0.084,-1.079,0.857
287,5,0,1,3,4,0.873,0.567,-0.682
288,15,14,17,2,5,1.609,1.828,-1.296
289,14,18,13,3,5,-0.327,-0.551,-0.662
290,11,15,17,1,1,-0.891,0.341,-0.052
291,0,16,4,2,4,0.849,-0.127,0.025
292,15,19,9,1,4,0.4,-1.287,0.365
293,6,13,17,2,5,-1.207,0.001,1.584
294,12,19,7,2,2,-0.653,0.347,0.2
295,8,9,17,2,5,-2.185,0.143,0.348
296,4,9,3,3,4,-0.589,-0.537,-0.462
297,0,4,1,3,3,-0.45,0.182,0.427
298,8,4,14,3,3,0.062,0.568,-0.914
299,9,15,11,2,2,0.037,-0.931,1.686
300,4,1,8,2,2,-0.61,-0.17,0.602
301,12,0,3,3,3,-0.462,-2.035,1.799
302,7,1,6,2,2,-2.812,-0.376,-1.491
303,9,10,5,3,5,0.257,2.272,0.617
304,16,3,8,2,4,0.662,1.983,0.459
305,3,7,13,2,2,-0.53,0.399,0.698
306,3,12,7,1,1,-1.338,-0.747,-0.219
307,2,7,5,2,2,-0.537,-0.356,-0.836
308,1,19,11,3,3,-0.533,-1.689,0.512
309,17,11,14,3,3,0.517,0.965,0.13
310,4,8,1,2,5,-1.166,-0.453,-1.291
311,17,11,10,3,4,0.08,-0.299,1.863
312,17,5,2,3,3,-1.757,0.579,-1.063
313,16,12,5,1,5,-0.284,1.076,-1.355
314,7,10,2,3,5,0.273,-0.589,-0.694
315,4,9,10,2,4,-1.556,0.936,0.779
316,2,1,4,1,1,0.342,1.101,1.059
317,12,15,16,3,5,0.756,-0.268,-0.171
318,7,2,0,1,4,1.701,-0.821,-1.399
319,11,17,13,2,2,0.285,0.351,-0.703
320,1,2,9,1,2,0.438,-0.111,-0.191
321,6,19,16,3,3,-1.217,-2.197,-1.034
322,17,19,13,3,3,0.134,-1.304,-0.711
323,13,3,5,1,5,-1.385,-0.739,0.526
324,5,17,14,2,4,-3.228,-1.051,0.579
325,13,10,7,3,5,-0.853,0.383,1.66
326,8,11,14,2,5,0.266,0.0,-0.039
327,4,9,0,2,3,0.177,0.191,0.849
328,8,17,16,3,5,0.518,-0.26,0.911
329,4,8,11,3,3,0.22,0.195,1.815
330,2,18,12,3,3,-0.158,-1.596,0.164
331,18,3,9,1,5,-0.594,-1.28,1.179
332,10,11,13,2,2,0.49,-0.523,-0.779
333,0,12,1,2,2,-1.112,-0.544,1.17
334,10,16,7,1,1,-1.591,-3.057,1.644
335,18,16,2,1,4,-0.303,-0.248,0.97
336,4,10,2,2,2,-0.745,-0.233,-0.858
337,4,19,15,3,3,0.636,-1.449,0.111
338,6,17,16,1,2,1.559,0.754,-1.011
339,2,3,13,2,4,2.034,-0.509,0.717
340,19,0,9,1,3,-2.265,-2.028,-0.525
341,1,7,6,3,4,0.199,0.899,1.341
342,2,3,1,1,5,1.805,-0.895,0.071
343,3,9,14,2,2,-0.15,-0.808,1.429
344,6,19,17,3,4,-1.332,-0.422,1.539
345,0,12,16,1,3,-0.075,0.392,0.717
346,19,8,1,2,2,1.343,0.597,-1.149
347,11,3,0,2,5,-1.887,0.116,0.972
348,3,10,15,3,5,0.567,0.35,1.255
349,0,1,7,3,4,-0.266,-0.501,0.865
350,5,0,11,3,4,-0.522,0.669,2.772
351,8,1,19,2,2,-0.07,2.292,-0.839
352,7,4,10,2,3,0.836,0.514,1.335
353,7,13,19,3,3,-0.337,-0.775,0.386
354,19,10,14,3,3,0.147,0.526,-1.734
355,4,9,16,1,4,-0.461,2.727,-0.074
356,4,18,5,2,2,-2.28,-0.859,0.643
357,4,0,10,2,5,0.592,-0.544,1.563
358,8,4,6,1,2,0.676,1.555,-0.601
359,18,7,19,1,1,-0.51,-0.968,1.181
360,15,4,16,3,4,-0.229,-0.94,0.696
361,4,5,6,1,1,-0.932,-2.211,1.431
362,8,13,7,3,5,1.679,-0.124,2.094
363,14,15,10,2,3,0.924,-1.554,0.761
364,19,12,10,2,2,-1.087,-0.142,0.137
365,7,16,17,2,2,-0.261,-1.127,-0.427
366,1,6,9,2,5,1.289,-1.145,-0.135
367,9,1,16,1,4,0.588,0.528,-0.961
368,16,3,5,3,5,-0.957,-0.287,-0.1
369,14,18,6,2,2,0.201,-0.001,1.534
370,5,3,2,1,4,-0.281,-0.315,-0.427
371,16,5,12,3,4,-1.553,0.589,0.167
372,10,18,4,1,2,0.682,1.423,-0.753
373,14,9,5,1,2,0.417,0.082,-0.021
374,8,0,14,2,5,-0.103,-0.029,0.546
375,18,15,14,2,5,-0.495,1.189,0.648
376,7,17,8,3,5,-1.747,-0.661,0.54
377,11,1,4,1,5,0.171,0.442,-0.716
378,2,1,3,2,3,0.433,0.694,-0.824
379,18,17,5,2,4,-1.315,0.402,-0.185
380,9,10,11,2,2,0.102,-1.923,1.036
381,3,8,10,3,4,0.448,-1.524,-0.238
382,19,1,3,3,5,1.217,-0.159,1.367
383,19,9,13,3,4,0.84,-0.079,1.306
384,19,11,4,3,5,-1.616,0.037,-1.816
385,19,7,9,1,1,0.026,0.824,0.756
386,3,6,13,2,2,-0.644,1.109,-0.098
387,6,9,8,1,3,-0.115,-0.393,1.201
388,0,3,10,2,5,-0.222,-1.366,0.611
389,10,19,15,2,2,0.113,-0.699,-0.908
390,14,17,10,2,5,0.305,-0.149,-1.279
391,10,17,18,1,2,-0.17,-0.794,-0.42
392,11,2,4,2,2,-0.515,0.822,-0.589
393,19,12,5,3,3,-0.129,1.1,-1.255
394,10,1,8,2,2,-0.737,0.014,-2.343
395,6,16,9,1,1,0.73,-0.194,0.196
396,6,2,14,3,3,0.658,-2.067,0.517
397,15,16,9,2,3,0.751,0.056,-0.451
398,16,4,6,3,3,-1.53,0.399,-0.09
399,1,2,10,2,2,-0.013,1.359,1.029
400,9,0,19,3,3,-0.282,0.59,-0.146
401,14,3,8,1,2,0.865,-0.026,0.173
402,19,17,16,1,2,-1.218,-0.333,-0.316
403,9,18,7,1,1,2.375,-0.794,1.956
404,17,14,1,1,1,-1.475,0.274,0.262
405,13,12,5,3,5,0.205,1.093,-0.889
406,14,11,9,2,3,-0.344,-1.451,-2.638
407,14,18,4,1,4,-0.563,0.706,0.495
408,14,15,7,1,2,0.89,-1.061,0.852
409,10,19,14,2,2,-0.519,0.449,0.195
410,15,14,5,2,4,-0.414,-0.319,1.472
411,3,10,17,3,3,1.112,0.325,-1.19
412,12,18,13,1,5,0.023,0.588,-0.367
413,6,18,13,2,4,0.041,-0.705,-0.203
414,2,18,15,1,5,-0.73,-0.504,0.888
415,9,12,2,3,3,0.625,-0.531,-1.238
416,12,10,15,3,5,0.649,0.264,0.847
417,0,4,18,2,4,1.01,-1.012,0.837
418,6,19,10,2,4,2.048,-1.151,-0.446
419,2,18,0,3,5,-2.176,-0.431,0.296
420,9,1,11,3,3,1.281,0.007,0.478
421,9,0,7,2,5,-0.064,-1.114,-1.117
422,12,19,13,3,3,-0.593,-0.968,0.373
423,11,13,4,2,3,0.912,0.256,0.288
424,0,4,15,3,4,0.534,-0.085,1.178
425,14,13,5,2,5,1.375,-1.036,-0.351
426,11,7,5,2,2,-1.709,-0.911,0.098
427,13,17,11,1,1,1.176,-1.421,-0.649
428,3,18,15,3,3,1.017,1.263,2.853
429,8,14,16,1,5,-0.295,0.331,-0.274
430,15,2,17,3,4,-1.64,-1.41,-0.144
431,14,16,15,3,5,-0.032,-0.457,0.813
432,9,19,5,1,5,-0.006,-1.611,-0.328
433,15,18,5,3,3,-0.139,-0.461,-0.691
434,19,0,9,2,2,0.28,0.286,0.16
435,19,8,18,2,2,-0.745,-0.073,-1.359
436,18,4,14,2,3,-0.11,1.55,-1.784
437,1,10,2,1,5,0.17,0.53,-0.233
438,15,13,12,1,4,-0.091,-0.598,-1.696
439,1,8,3,1,2,-0.901,-1.108,0.255
440,15,17,7,2,5,-0.553,0.089,0.106
441,14,12,10,3,5,-0.112,0.435,-0.124
442,17,11,13,3,5,0.569,-0.702,-0.049
443,18,12,14,3,5,0.452,0.077,1.491
444,6,16,10,3,5,0.866,-0.037,0.13
445,2,0,13,1,5,0.009,0.863,0.66
446,7,9,8,1,1,0.434,0.065,1.354
447,6,3,18,1,5,-0.551,1.001,1.065
448,18,5,3,3,3,-0.024,1.121,1.314
449,8,13,10,2,3,-0.557,0.155,-0.791
450,1,12,18,2,2,-0.095,1.828,0.166
451,6,12,5,3,4,0.341,0.969,0.786
452,13,6,3,2,4,0.31,0.235,-0.685
453,14,0,15,1,1,-0.329,1.349,-0.605
454,8,4,10,2,2,-2.36,-0.229,-1.068
455,2,17,7,1,4,0.063,1.77,-0.524
456,15,3,17,2,4,-0.42,-0.92,-1.703
457,2,11,17,2,2,-1.866,0.916,-1.421
458,9,6,5,3,3,1.44,-0.298,-0.301
459,3,11,15,1,4,0.948,-0.051,-0.547
460,6,0,7,2,5,1.151,0.481,-0.438
461,14,0,1,2,2,1.155,-0.837,1.361
462,12,3,6,3,5,-2.348,-0.343,0.85
463,18,7,2,1,2,-0.903,-0.196,0.014
464,19,1,7,3,5,0.419,0.45,0.815
465,3,14,5,3,3,0.265,0.196,-0.432
466,15,7,2,1,4,-0.992,1.622,-0.077
467,3,18,17,1,3,-1.011,0.917,-1.52
468,1,18,5,2,2,0.4,0.38,-1.33
469,17,5,14,1,5,0.785,0.444,0.116
470,19,12,5,1,4,0.105,0.058,1.401
471,18,9,13,3,4,-0.701,-0.241,-0.635
472,8,16,14,2,3,1.271,-0.521,0.612
473,15,2,9,2,5,0.148,0.733,0.021
474,3,16,19,3,4,1.914,-2.234,-1.116
475,6,8,1,1,1,-0.053,0.439,-1.456
476,15,19,5,1,1,0.897,0.317,0.191
477,19,14,1,1,1,0.737,0.554,-0.283
478,0,15,16,1,1,1.264,-0.979,-0.742
479,6,10,7,1,3,-0.489,0.102,0.729
480,13,6,12,1,1,-1.132,0.209,0.432
481,19,14,5,2,4,-0.355,1.044,1.206
482,11,8,6,2,3,1.271,0.26,-0.093
483,14,19,13,1,3,0.476,0.157,0.821
484,5,19,17,1,1,-1.032,0.64,0.453
485,15,14,8,1,4,-0.532,-0.065,-0.75
486,10,13,7,3,3,1.832,-1.103,-0.262
487,15,16,1,2,5,0.149,-1.773,0.232
488,3,14,15,1,1,-0.148,-0.057,-0.279
489,4,11,9,1,1,-2.431,1.48,0.149
490,5,14,0,2,5,0.278,-2.017,-1.463
491,11,14,0,3,3,0.99,-1.148,1.014
492,16,1,9,2,4,-0.441,-1.304,-0.607
493,2,10,1,3,5,-0.31,-0.214,0.245
494,12,11,14,3,3,-0.412,0.464,-0.347
495,6,4,10,1,5,-0.134,0.863,0.747
496,18,6,7,2,4,0.948,-0.708,-0.296
497,11,19,14,2,2,0.156,-1.211,0.23
498,17,9,14,3,4,0.744,-2.294,0.859
499,2,6,14,1,1,-2.218,-0.485,0.398
500,2,3,5,2,2,-0.382,-1.107,0.858
501,0,9,13,3,5,-0.858,1.031,-0.471
502,13,14,0,2,3,1.87,0.781,0.269
503,10,13,19,3,5,2.412,0.265,-1.123
504,16,17,14,2,4,-1.95,-0.877,-0.613
505,7,15,11,2,2,1.655,0.488,0.657
506,5,19,17,2,3,1.885,-0.32,-0.521
507,4,5,7,1,1,-1.387,1.306,-0.051
508,14,8,11,1,2,-0.246,-0.102,-0.375
509,11,14,17,1,5,0.838,-0.716,2.133
510,12,15,4,2,4,1.475,2.202,-1.14
511,9,15,19,3,5,-0.34,0.778,1.03
512,14,10,3,3,4,0.444,-0.322,-0.815
513,12,7,14,2,2,-0.27,-0.632,1.214
514,6,18,16,1,3,0.14,0.394,0.88
515,2,16,12,1,4,-1.219,-0.563,1.241
516,1,11,12,1,4,-0.66,0.706,-0.201
517,14,17,2,1,4,0.908,-0.055,-1.035
518,14,9,5,3,4,-0.139,-1.025,0.691
519,4,6,9,2,4,-1.16,2.322,1.024
520,12,2,0,2,4,-1.095,0.652,-0.415
521,4,6,5,2,4,-1.626,-0.277,-0.098
522,9,18,19,2,5,0.282,1.747,0.479
523,15,3,9,2,3,0.696,-1.524,0.078
524,7,0,3,2,5,0.371,-0.013,-0.037
525,18,13,8,3,5,-1.319,-1.522,0.231
526,3,11,16,3,5,0.771,0.085,-0.49
527,14,4,11,1,1,-0.276,-0.148,1.032
528,11,1,9,2,2,-1.699,-0.148,0.181
529,5,17,10,2,4,0.407,-0.208,1.533
530,11,3,17,3,4,0.072,-0.144,-0.96
531,15,13,10,1,1,-0.11,0.237,1.159
532,6,17,16,3,5,-1.594,-0.53,0.838
533,2,3,4,1,4,0.729,-0.887,1.25
534,4,14,16,2,3,-0.06,-0.234,0.28
535,4,7,9,1,2,-0.652,0.277,0.295
536,3,2,0,2,5,0.461,0.126,0.321
537,1,15,3,2,2,-1.157,1.357,0.6
538,3,19,6,3,3,0.371,0.854,1.628
539,8,18,11,2,3,1.044,1.069,-1.376
540,19,7,16,3,3,1.067,0.766,0.697
541,6,9,5,3,3,0.061,0.45,-0.075
542,6,16,15,2,3,-2.337,0.931,0.394
543,12,13,6,3,3,0.849,-1.415,0.929
544,10,3,14,1,5,1.114,1.278,-0.358
545,1,2,10,2,2,-1.225,-0.828,0.732
