query_id,user_id,time_slot,device_code,day_type,referral_code,session_length,entry_point,candidates,chosen_item_id
63,358,5,1,1,2,97,1,195|784|186|668|261|196|591|192|215|759,215
64,332,0,3,0,9,63,4,362|307|462|467|731|603|633|321|184|177,184
65,158,5,2,0,6,81,1,497|488|251|203|645|233|777|61|721|440,233
66,41,5,1,2,8,53,4,786|153|278|689|603|118|531|516|625|610,610
67,361,0,3,2,7,40,2,461|538|306|532|656|464|666|707|630|123,656
68,164,2,3,0,6,39,3,376|152|732|227|659|51|709|540|294|718,732
69,120,2,0,2,6,100,0,487|466|72|339|389|477|288|310|10|147,288
70,38,5,2,1,8,29,1,750|586|588|154|372|389|251|465|69|699,251
71,302,3,2,1,9,16,1,298|421|67|9|347|517|334|539|593|1,334
72,218,5,0,2,3,117,3,372|127|736|796|698|254|102|703|222|138,127
73,98,5,0,1,3,31,0,343|94|302|568|454|138|102|291|671|51,51
74,185,3,2,2,0,95,4,460|209|553|659|322|266|587|293|647|84,460
75,120,3,0,2,2,19,4,138|465|315|59|566|205|455|288|70|276,566
76,52,3,1,1,1,67,2,245|284|449|241|344|239|579|322|464|288,344
77,4,2,2,1,5,77,3,304|139|759|271|129|343|634|338|196|192,304
78,21,4,0,1,1,45,0,456|249|617|740|701|563|492|77|579|674,249
79,89,4,3,1,7,52,1,601|162|248|681|327|52|739|68|375|66,52
80,354,5,0,1,4,92,3,93|598|52|586|564|326|406|573|265|276,52
81,383,5,3,1,1,72,2,76|418|307|188|609|246|687|186|39|149,186
82,104,1,3,0,9,98,4,165|717|372|247|675|570|586|60|35|360,586
83,361,2,3,1,4,65,1,356|23|75|786|723|110|61|507|730|208,507
84,267,1,1,0,4,6,3,24|736|355|687|405|379|289|143|591|22,405
85,327,3,2,1,8,33,1,383|11|789|795|144|308|641|566|22|434,11
86,71,3,1,2,8,58,0,146|554|633|520|245|2|57|143|191|169,633
87,7,3,0,0,9,26,1,716|127|405|128|455|719|649|482|132|748,128
88,225,5,2,1,6,113,1,787|759|176|92|111|545|703|286|483|43,787
89,137,4,2,0,2,61,1,512|214|279|615|645|229|207|775|488|781,488
90,59,2,2,0,0,99,0,659|575|557|767|189|23|658|632|522|42,659
91,395,5,2,1,2,47,3,248|185|483|433|147|398|222|218|656|746,656
92,358,5,1,1,6,110,3,157|380|686|358|503|85|411|247|113|128,247
93,221,4,2,0,3,27,2,408|579|610|742|687|660|103|209|485|193,742
94,236,5,2,2,1,51,2,42|181|240|308|400|300|757|138|293|739,181
95,286,2,2,2,6,6,4,732|423|398|255|698|417|415|620|418|84,698
96,152,1,0,0,9,84,1,494|634|396|109|663|134|624|431|298|746,134
97,199,3,0,0,9,78,1,549|200|238|641|754|533|192|129|101|277,277
98,43,1,3,1,5,54,4,543|245|539|427|351|621|165|85|608|627,85
99,266,1,1,1,0,79,2,667|647|630|116|573|31|506|677|236|312,677
100,200,1,3,0,7,28,4,144|562|783|96|663|78|282|410|153|116,144
101,347,1,1,1,2,68,2,67|248|457|237|681|109|244|545|727|539,681
102,187,5,3,0,5,109,3,353|538|397|723|109|673|756|504|635|407,756
103,258,0,3,0,4,56,3,647|172|143|679|763|784|656|776|554|724,784
104,356,4,0,1,3,82,1,522|0|439|473|436|429|118|553|485|666,553
105,392,5,0,1,5,76,0,648|768|188|411|439|137|73|184|440|555,188
106,155,1,2,2,3,68,2,573|465|650|657|515|621|221|329|633|531,573
107,160,2,0,1,4,82,2,528|523|531|714|446|405|63|611|499|771,446
108,84,2,2,0,1,33,4,519|626|185|188|268|239|194|9|364|716,519
109,212,1,0,1,1,40,1,452|437|102|608|97|464|580|115|165|793,97
110,296,5,2,2,2,40,0,759|303|157|586|569|144|370|54|728|481,303
111,339,2,0,0,1,103,1,265|306|320|214|471|69|53|61|224|319,319
112,93,4,0,0,0,16,2,491|519|769|486|726|539|65|646|191|730,726
113,244,3,3,2,7,58,0,25|209|561|123|709|799|512|262|794|431,794
114,321,5,0,2,4,111,3,165|120|215|740|732|634|505|789|564|641,634
115,126,1,1,1,5,89,1,296|176|429|600|744|612|691|743|134|291,134
116,214,2,2,1,5,17,4,51|427|518|510|121|173|464|4|799|310,51
117,215,5,3,1,6,112,2,236|215|11|313|73|259|101|208|647|563,11
118,102,4,0,0,5,26,2,99|611|127|793|450|711|19|137|249|718,611
119,144,4,1,2,2,17,3,250|311|719|522|498|684|102|355|22|138,719
120,262,1,0,1,2,88,3,67|458|437|540|440|22|2|479|455|303,22
121,247,1,2,1,6,92,0,280|635|556|788|638|392|38|725|774|493,638
122,213,4,1,2,7,95,1,141|479|788|112|383|20|450|548|150|84,84
123,386,5,2,0,9,90,4,291|660|611|394|29|195|635|59|533|41,41
124,378,4,0,1,1,35,1,55|87|517|756|775|492|328|313|259|407,55
125,162,1,3,0,8,105,2,162|144|58|455|589|103|306|497|788|383,103
126,94,0,1,1,7,78,4,63|285|431|521|128|62|686|120|124|653,120
127,96,3,1,0,9,19,3,41|624|663|6|176|690|532|164|571|179,624
128,238,1,1,2,6,106,2,450|16|389|443|745|549|654|242|795|448,549
129,318,5,2,1,4,3,0,788|410|602|110|506|167|537|123|755|368,167
130,394,2,3,2,5,98,4,698|343|326|424|261|278|129|696|554|716,129
131,255,2,2,2,6,78,4,166|536|268|295|407|388|78|797|377|337,797
132,14,3,1,2,8,116,1,501|171|189|256|739|12|749|736|249|502,501
133,142,3,0,0,3,21,2,73|630|110|772|799|17|669|342|307|406,73
134,64,2,3,1,2,22,3,783|126|490|573|237|105|98|482|451|625,783
135,235,4,2,0,6,60,0,566|234|13|742|249|549|313|39|300|143,13
136,21,5,3,1,8,101,3,220|537|118|3|82|189|430|271|236|708,3
137,38,1,2,2,2,120,4,645|277|219|204|282|431|580|560|144|559,282
138,362,1,1,1,7,52,2,611|128|264|357|742|176|568|325|471|241,742
139,20,2,1,0,0,116,3,222|655|338|448|719|673|677|22|741|54,22
140,366,4,2,0,8,49,0,646|265|660|627|14|45|102|5|464|624,660
141,212,1,1,0,7,20,4,228|457|55|411|12|600|1|455|504|605,455
142,371,1,3,0,7,12,1,86|393|360|576|772|562|540|770|110|589,772
143,73,5,0,1,6,33,4,4|226|774|128|18|455|776|406|719|514,455
144,170,2,2,1,7,110,2,95|658|514|73|97|578|333|303|546|240,546
145,317,2,3,1,9,98,0,612|93|47|223|505|43|419|257|769|360,360
146,109,2,3,0,5,111,1,748|36|455|741|234|21|561|783|42|388,748
147,234,2,1,1,4,19,2,300|35|253|645|797|582|11|73|766|45,73
148,178,2,0,0,0,8,4,645|65|70|561|713|778|378|380|185|576,70
149,93,5,3,0,3,77,0,504|788|418|139|341|8|576|167|583|725,167
150,164,3,3,2,6,16,4,778|130|184|556|540|714|357|723|266|146,714
151,8,4,2,2,1,57,3,578|733|324|59|21|134|317|548|58|446,59
152,124,1,3,2,0,65,2,784|221|406|569|45|146|446|781|772|775,569
153,264,4,1,2,4,16,2,402|718|593|44|699|352|534|51|43|709,44
154,164,4,1,1,7,48,4,38|97|218|15|489|778|651|67|100|478,778
155,27,2,3,0,6,61,0,197|654|419|299|409|651|458|32|310|610,409
156,394,3,3,1,5,43,0,539|428|436|74|735|620|15|608|76|298,539
157,65,3,3,1,1,114,0,527|265|109|80|351|436|327|15|324|181,351
158,163,4,1,0,4,77,1,197|657|7|611|24|349|288|532|566|104,349
159,50,0,0,0,9,36,3,735|798|503|203|725|670|656|63|541|762,656
160,156,0,1,0,2,97,2,665|403|676|586|409|401|424|497|462|233,233
161,245,3,0,0,8,29,4,187|463|251|38|673|52|362|400|51|427,52
162,217,2,0,1,0,13,1,691|229|270|138|719|38|40|440|357|458,138
163,100,3,3,2,0,56,3,155|143|238|661|141|247|117|479|571|83,238
164,12,3,3,2,7,85,3,569|238|596|622|711|789|329|720|269|299,622
165,181,1,2,1,9,33,3,483|546|515|494|700|125|188|718|617|218,617
166,396,3,1,0,6,30,0,142|22|677|662|265|722|367|656|462|178,662
167,94,5,3,1,1,46,0,422|659|257|214|552|383|189|574|155|609,189
168,282,4,0,2,5,81,2,644|662|783|591|732|107|189|140|256|308,591
169,101,1,0,2,8,114,1,579|556|394|4|152|379|2|291|74|277,291
170,94,2,2,0,3,38,2,568|558|782|598|406|576|339|213|590|587,339
171,36,4,1,0,4,1,2,578|302|196|799|84|436|708|320|456|112,302
172,102,1,3,1,5,47,3,186|387|10|365|504|799|492|247|433|11,433
173,292,3,2,2,5,62,0,24|397|631|545|467|692|402|196|312|100,467
174,187,3,1,1,8,76,3,622|31|401|56|780|726|267|519|282|725,726
175,32,2,1,1,5,23,0,385|631|151|433|796|690|224|572|257|236,631
176,320,5,1,1,5,119,1,302|635|497|305|126|407|650|80|788|57,302
177,28,2,3,2,7,16,0,364|38|238|307|459|67|644|188|466|336,307
178,114,4,1,0,6,98,4,544|612|560|250|188|46|210|414|769|724,724
179,328,1,2,1,7,112,3,649|56|570|507|394|206|567|783|230|240,570
180,145,0,1,0,3,6,1,797|41|758|63|721|146|536|630|724|554,63
181,276,2,0,2,9,85,2,553|245|779|342|505|376|153|698|707|128,698
182,260,1,3,0,3,46,2,343|338|543|514|123|466|187|698|168|404,514
183,230,4,0,2,3,115,3,647|127|6|148|773|282|725|71|496|142,773
184,389,0,0,1,2,99,0,658|351|376|330|4|144|277|624|89|780,624
185,135,5,3,2,3,7,4,393|236|488|121|763|469|120|258|724|21,763
186,26,5,1,0,9,12,3,600|787|179|490|424|776|579|190|116|369,787
187,19,0,0,1,1,84,1,341|554|146|724|112|100|363|329|63|272,554
188,79,3,2,1,9,61,0,228|488|671|408|660|310|52|591|421|79,52
189,92,1,2,1,1,83,1,315|441|777|602|656|502|84|726|49|616,726
190,259,3,0,0,9,26,1,572|116|766|726|646|673|624|554|634|695,766
191,283,5,1,0,0,110,1,378|294|765|508|745|311|421|334|450|110,110
192,255,0,3,2,4,14,3,281|154|46|728|191|708|665|268|377|407,268
193,12,1,0,0,1,99,3,467|761|196|43|185|59|289|181|338|15,15
194,235,3,0,1,0,82,3,610|303|773|317|504|185|446|357|285|307,357
195,221,5,0,2,7,112,2,392|618|691|50|77|404|228|145|374|660,228
196,30,5,2,1,5,116,1,687|460|410|164|677|774|501|784|755|296,410
197,45,1,1,0,5,83,3,426|588|759|345|575|51|233|125|735|169,233
198,395,3,2,0,1,5,4,698|642|129|195|127|523|649|423|132|130,698
199,164,4,2,1,1,105,2,342|377|42|761|158|59|605|634|73|762,634
200,194,3,3,0,9,56,3,399|686|54|228|7|770|662|362|310|74,228
201,109,5,0,0,9,81,1,409|211|647|69|492|335|677|40|18|136,18
202,383,5,0,1,9,68,2,226|492|619|289|102|524|392|312|140|19,289
203,82,4,3,0,4,70,3,533|2|466|142|538|639|542|412|85|51,51
204,156,4,0,1,4,26,3,505|78|675|612|302|451|362|790|268|206,362
205,213,0,0,2,6,35,0,303|302|712|138|308|565|514|224|147|470,138
206,223,0,2,0,7,53,2,112|134|82|418|40|71|507|571|267|22,267
207,104,3,3,1,1,64,0,99|303|133|60|95|605|724|35|248|169,724
208,41,4,3,1,4,40,0,51|39|244|95|402|359|55|73|133|460,73
209,249,1,0,2,0,83,3,724|373|38|248|176|533|617|692|728|608,176
210,42,3,0,2,7,33,4,80|321|797|229|430|312|332|760|57|674,57
211,225,0,3,1,1,25,4,660|396|656|382|410|652|244|724|522|60,656
212,338,5,1,0,7,85,2,486|103|785|60|662|332|188|238|344|176,486
213,195,1,3,1,2,10,0,361|386|387|69|181|661|360|265|409|754,409
214,244,5,3,2,3,19,0,20|298|274|673|415|439|715|22|793|378,22
215,281,1,1,2,3,57,0,711|392|651|468|288|404|138|360|625|269,360
216,142,2,2,0,5,114,4,633|675|396|515|789|732|307|271|513|721,789
217,254,1,3,1,9,108,3,351|69|219|725|126|208|470|44|80|531,126
218,158,5,2,0,9,43,0,603|73|739|307|169|434|223|253|721|510,307
219,32,3,1,0,4,54,3,233|672|422|73|136|793|89|514|367|345,422
220,180,3,0,1,1,38,1,232|465|167|429|15|573|511|18|125|498,167
221,301,0,3,1,3,106,2,290|255|216|528|213|122|326|432|672|398,122
222,290,5,1,1,8,104,2,327|536|154|245|580|584|594|742|341|247,327
223,399,2,3,1,9,99,4,546|403|795|228|7|719|282|351|797|201,351
224,263,0,1,0,5,15,4,376|155|73|4|383|458|619|51|255|317,73
225,191,3,0,2,1,108,4,527|323|724|500|214|386|257|510|655|209,214
226,283,4,1,2,4,31,4,393|30|524|743|738|757|169|514|775|736,169
227,249,3,3,2,0,77,1,406|566|629|669|261|572|559|738|224|4,261
228,159,2,0,1,0,52,1,617|165|305|404|143|506|574|77|113|312,113
229,267,1,0,2,4,67,0,454|572|277|360|129|143|134|612|106|60,277
230,214,2,0,0,9,32,1,404|262|317|173|514|249|296|6|740|174,6
231,197,5,2,1,8,93,0,78|755|248|284|95|211|601|165|470|781,284
232,282,5,1,0,9,11,2,103|135|49|191|754|40|92|193|662|490,490
233,328,5,1,2,5,106,2,129|614|660|209|185|747|34|617|80|725,80
234,174,1,0,2,1,67,1,783|576|543|647|645|395|155|3|703|381,783
235,202,2,0,1,6,24,3,612|188|549|460|633|201|554|38|386|721,38
236,52,4,1,1,3,119,0,231|525|656|504|357|348|279|736|324|686,504
237,243,0,0,2,9,15,4,720|346|21|627|544|289|196|304|215|248,304
238,149,2,2,1,4,104,0,416|121|544|605|235|568|193|22|263|72,235
239,144,4,2,0,1,119,4,52|291|272|203|739|564|598|578|546|706,546
240,302,1,3,2,5,36,4,539|536|101|291|331|617|224|598|351|96,351
241,334,4,2,0,0,44,0,274|143|486|678|554|628|255|15|587|52,15
242,348,3,0,2,5,80,3,243|477|514|266|428|11|167|413|222|260,428
243,118,0,2,2,8,7,1,277|428|786|306|143|770|156|519|675|566,277
244,394,5,2,1,7,75,4,134|207|375|102|465|624|245|52|128|109,52
245,5,1,3,0,7,49,4,129|200|300|698|560|242|244|249|47|358,698
246,244,5,2,0,6,6,4,375|252|361|617|390|52|140|7|44|546,52
247,45,2,3,0,4,56,1,438|264|474|605|300|420|675|288|458|713,288
248,337,3,3,2,3,75,2,246|171|551|188|423|546|104|349|538|432,551
249,225,5,1,0,1,114,4,184|691|662|40|724|372|586|303|16|677,662
250,31,5,3,0,4,8,0,507|316|167|270|267|226|112|236|7|133,167
251,243,2,2,1,8,103,4,416|273|734|501|343|625|120|415|633|81,120
252,235,5,1,1,0,62,1,352|221|783|186|667|332|473|168|265|777,265
253,112,5,2,1,7,69,3,152|230|689|446|465|712|634|762|312|311,446
254,304,3,0,1,9,78,4,120|658|43|374|567|448|604|247|551|343,343
255,332,0,3,2,6,120,2,712|32|691|301|67|497|416|106|372|508,372
256,94,4,3,1,5,97,0,725|589|673|680|309|408|283|12|294|260,725
257,83,1,3,0,1,15,0,539|409|762|222|794|22|542|249|350|382,22
258,108,3,1,2,0,109,3,69|246|242|57|268|209|477|459|593|339,57
259,353,4,2,1,8,107,4,186|265|576|188|71|52|524|179|556|286,52
260,392,1,3,2,1,42,3,713|522|37|241|311|330|578|55|87|493,241
261,262,4,3,0,6,80,0,494|463|300|772|430|36|656|681|552|323,656
262,300,4,0,0,1,106,2,121|435|571|234|308|623|484|683|576|660,121
263,22,5,1,1,6,27,1,434|774|133|18|695|737|634|132|440|701,634
264,111,0,1,2,6,34,4,357|109|454|338|531|466|723|11|195|456,357
265,200,2,1,1,3,16,3,797|430|555|499|483|559|553|577|107|339,430
266,361,0,3,1,5,24,4,244|340|4|791|304|397|634|289|314|225,304
267,386,2,1,1,5,69,2,293|717|195|487|280|571|368|578|277|551,277
268,271,1,3,2,8,25,3,289|775|774|18|148|187|434|140|446|766,434
269,31,2,3,0,8,78,2,124|384|198|49|450|586|227|662|84|455,84
270,367,2,0,1,3,17,2,12|186|387|77|181|39|661|82|265|175,175
271,15,4,0,2,4,98,2,134|721|505|294|679|391|63|602|60|681,134
272,205,5,2,0,3,72,1,638|767|778|601|288|477|771|167|74|518,601
273,58,5,3,1,8,118,2,294|320|714|770|686|282|378|143|68|639,686
274,152,1,3,1,0,50,4,641|517|186|198|226|488|511|723|52|134,52
275,369,2,0,1,2,47,2,350|73|598|52|739|704|239|277|597|668,239
276,279,5,3,2,6,9,2,354|633|126|101|4|436|181|764|447|417,633
277,22,1,0,1,3,69,1,410|84|725|573|178|197|714|713|686|406,686
278,205,5,1,1,5,23,0,727|430|462|666|167|138|473|185|461|378,167
279,242,5,2,2,7,7,1,724|226|771|524|664|590|431|564|73|570,724
280,10,4,2,0,7,53,3,519|352|664|302|598|75|516|155|324|348,664
281,89,1,1,2,0,85,2,723|471|158|635|329|369|197|94|123|70,723
282,171,3,1,1,5,45,1,160|236|676|364|540|196|723|12|34|551,540
283,187,3,0,2,8,20,4,364|445|359|589|97|333|267|374|425|209,589
284,159,1,2,0,8,60,2,461|491|51|22|214|422|60|587|410|191,22
285,7,5,1,1,5,88,4,736|381|102|678|637|425|188|202|374|228,102
286,256,2,0,1,5,60,0,441|540|67|30|464|248|576|571|736|319,571
287,171,1,3,1,7,25,1,610|325|385|242|467|488|453|313|490|118,488
288,360,5,0,2,6,67,4,656|234|597|382|253|522|405|748|655|581,522
289,11,3,1,0,4,13,3,329|799|719|141|409|265|210|651|102|442,799
290,235,5,0,1,5,23,0,351|549|194|291|247|670|363|241|321|643,247
291,193,0,2,0,3,45,0,613|97|65|265|134|194|406|420|291|162,134
292,193,2,2,1,0,50,0,670|97|84|410|81|94|243|450|34|23,670
293,151,0,3,1,7,111,1,408|222|405|299|344|247|226|8|238|12,247
294,56,0,1,1,1,113,0,368|751|241|22|168|633|764|11|155|729,241
295,20,4,1,1,4,15,1,73|383|698|239|122|150|53|488|38|724,698
296,150,0,3,2,4,46,0,249|578|307|551|423|221|615|292|629|778,551
297,298,0,2,0,2,115,1,262|310|308|426|403|18|150|440|428|339,18
298,203,3,2,0,9,5,4,740|579|183|627|602|213|224|443|4|412,740
299,68,5,3,0,0,83,4,536|194|188|650|659|540|429|630|504|442,194
300,259,4,2,1,8,63,1,709|291|18|465|430|122|340|645|796|292,18
301,225,0,2,0,5,17,4,118|70|666|185|380|156|383|466|410|418,666
302,217,2,1,1,0,54,0,207|284|711|214|159|503|27|241|733|776,214
303,102,4,1,1,0,103,0,317|415|192|230|51|787|359|129|382|725,415
304,32,5,2,0,2,47,4,136|228|258|600|52|683|108|375|124|391,52
305,330,4,1,0,9,107,2,741|649|681|605|536|6|739|48|290|572,536
306,333,3,3,2,1,108,4,752|758|155|95|162|624|375|392|430|385,624
307,372,2,1,2,9,106,4,505|681|57|262|558|695|504|256|484|51,51
308,147,0,1,2,8,96,4,247|132|591|516|121|288|361|299|455|788,288
309,203,1,2,0,1,28,2,109|317|3|639|214|622|740|564|722|442,740
310,47,3,3,1,1,59,4,167|327|80|638|505|410|604|728|365|628,167
311,26,0,2,1,4,15,2,759|470|120|567|513|770|238|247|400|137,120
312,30,1,1,1,2,60,0,44|153|589|617|539|133|151|624|751|73,624
313,116,2,2,1,8,115,3,307|372|586|589|687|56|722|42|262|588,307
314,330,1,1,1,9,36,1,181|446|156|78|295|702|778|783|211|54,54
315,15,2,1,0,5,31,3,11|503|127|414|289|123|549|575|231|85,127
316,319,5,2,0,4,63,3,356|545|251|111|760|329|543|434|475|780,475
317,358,3,2,1,5,89,4,669|610|797|307|365|619|338|703|575|332,307
318,30,3,0,0,5,77,3,233|348|748|557|22|693|219|137|586|472,586
319,355,1,0,1,3,44,3,490|722|272|579|31|308|12|796|398|422,398
320,169,4,2,2,7,99,1,581|558|443|380|795|794|179|477|250|16,794
321,261,0,0,0,6,80,4,209|755|725|307|9|560|777|316|268|291,268
322,1,4,2,2,9,5,3,474|383|313|528|784|656|144|454|237|63,784
323,352,0,0,1,5,31,1,677|666|106|199|384|478|788|323|553|333,384
324,303,1,0,0,5,7,0,318|671|738|520|519|16|268|783|233|516,519
325,129,1,2,0,9,102,2,479|601|458|661|203|40|326|409|694|343,661
326,204,4,1,1,6,96,4,43|320|343|680|570|554|372|546|291|550,554
327,220,4,3,0,9,99,2,782|78|479|399|269|144|27|167|490|42,144
328,234,2,0,0,5,67,2,482|629|416|214|719|202|570|566|466|126,214
329,206,0,3,0,8,114,4,422|624|138|450|409|576|307|266|773|468,409
330,349,1,0,2,1,83,4,34|73|337|401|502|31|300|147|71|689,401
331,37,1,2,0,8,22,4,306|770|596|378|661|49|290|442|367|666,661
332,171,1,0,0,8,113,0,661|577|551|189|291|440|541|84|41|662,662
333,141,1,1,1,7,92,2,391|58|607|409|378|525|134|430|188|498,134
334,88,5,0,1,8,66,4,261|671|545|91|447|451|618|797|519|98,261
335,177,4,0,0,2,40,1,676|214|588|62|332|540|552|315|308|732,62
336,55,3,3,1,7,109,2,322|262|196|703|265|505|342|744|631|375,342
337,16,4,3,0,9,2,2,597|543|527|555|552|799|545|371|466|111,111
338,99,2,0,1,8,12,1,72|624|241|770|7|501|183|421|292|152,624
339,8,1,2,1,6,110,2,313|702|739|398|308|787|222|571|419|111,419
340,228,1,1,0,2,42,3,365|395|167|597|760|163|700|410|70|507,70
341,330,5,0,0,8,15,0,335|531|536|463|115|594|763|514|89|746,335
342,63,5,3,1,7,3,2,571|51|375|630|67|296|565|165|609|32,375
343,178,1,0,2,9,11,2,794|69|169|126|626|514|796|695|104|408,796
344,364,2,2,0,5,94,0,291|5|85|336|489|536|320|93|187|67,291
345,35,2,1,0,5,105,2,245|409|798|488|625|186|598|201|507|586,488
346,374,2,2,0,9,111,1,233|439|127|700|182|267|515|51|424|652,51
347,162,3,0,0,5,14,1,795|517|725|362|776|592|288|585|765|27,765
348,293,2,3,2,0,118,2,696|522|454|90|325|428|436|384|73|455,522
349,147,1,0,2,8,43,3,624|273|15|67|427|719|174|762|536|127,624
350,318,0,0,2,4,102,4,672|210|221|430|189|516|770|453|69|725,516
351,367,1,0,1,2,106,4,133|742|593|286|311|497|86|265|252|139,265
352,383,1,1,0,6,57,2,134|548|641|430|725|569|106|359|635|208,430
353,153,5,0,1,0,88,1,500|120|40|38|750|776|759|32|443|23,40
354,103,5,0,1,8,96,3,726|182|524|783|708|725|14|551|28|272,524
355,302,0,0,2,6,44,2,738|770|330|606|761|516|113|783|576|285,783
356,132,0,1,1,0,33,1,375|105|494|372|754|265|505|96|531|386,372
357,377,2,3,0,4,64,0,594|343|406|793|527|748|249|458|718|214,214
358,300,4,3,1,9,22,4,306|4|6|393|322|569|740|221|539|106,740
359,54,5,0,1,4,41,1,157|168|665|232|234|391|702|82|586|270,586
360,369,0,2,0,0,20,3,259|138|51|105|147|752|633|580|469|139,633
361,166,1,3,1,5,50,0,681|120|633|436|18|720|188|429|554|143,633
362,277,2,3,2,6,40,2,365|783|692|147|158|706|323|384|202|313,313
363,147,1,2,2,8,3,1,99|308|377|706|262|19|221|46|339|418,262
364,372,4,3,2,9,93,3,717|740|684|176|341|15|310|257|523|327,341
