item_id,feature_a,feature_b,feature_c,group,level,score_x,score_y,buzz
97,0.73,0.991,-0.732,11,2,-0.166,0.404,-0.385
98,-0.079,-1.256,-0.565,9,2,1.276,-0.836,-0.881
99,-0.46,0.507,0.65,8,1,-0.355,0.721,-1.006
100,0.656,0.332,-0.346,9,4,0.177,-1.019,-1.064
101,0.879,0.007,-0.1,11,3,-1.414,-0.118,0.659
102,0.181,0.854,-0.153,11,0,-0.493,0.647,-0.743
103,-0.398,0.456,-0.083,14,2,-0.11,0.906,-1.033
104,-0.455,-0.895,0.618,9,2,-0.207,1.39,0.714
105,-0.212,0.143,1.086,11,1,1.603,-0.196,0.328
106,0.012,-1.114,-0.798,11,3,-0.253,-0.802,0.963
107,0.456,-0.085,0.751,7,1,-0.469,-0.793,0.513
108,-0.769,0.174,-0.845,14,2,0.848,0.874,-0.753
109,0.139,-0.521,-0.405,13,2,-0.081,0.64,0.076
110,0.201,1.478,0.022,8,2,-0.271,0.084,0.125
111,-0.091,-0.859,0.054,3,1,-0.22,0.853,-0.919
112,-0.433,-0.279,0.303,7,3,0.48,-0.277,-1.105
113,0.7,-0.581,-0.385,9,1,-0.205,1.649,-0.681
114,-0.986,-0.252,0.324,13,2,-0.726,0.092,2.037
115,0.203,-0.051,0.531,10,4,0.181,2.027,-0.413
116,-0.983,-0.771,0.781,8,1,0.046,0.415,1.233
117,0.245,1.611,0.91,11,2,0.648,1.206,-0.469
118,0.134,-0.735,0.286,11,2,-0.016,-0.845,0.889
119,-0.148,0.721,1.185,9,3,-0.057,0.116,0.902
120,0.626,-0.698,0.517,15,0,-0.182,-0.238,0.953
121,-0.396,-0.164,-0.079,12,2,0.25,0.808,0.388
122,0.938,-0.846,0.309,7,0,0.957,0.216,1.377
123,-0.333,0.32,-0.021,6,3,0.007,0.42,0.378
124,0.713,0.457,-0.555,9,1,0.686,0.432,1.714
125,0.368,-0.063,-0.33,11,2,0.424,0.726,-1.62
126,0.683,-0.054,-0.242,7,3,-0.592,0.264,0.348
127,0.887,0.012,0.661,9,3,-1.394,-0.041,0.283
128,-0.108,0.142,0.166,12,2,-0.455,1.012,-0.937
129,0.253,0.082,0.634,12,3,-0.588,0.875,0.58
130,0.315,-0.781,-0.253,10,1,0.549,0.894,-1.49
131,0.144,0.807,-0.042,6,3,-1.137,-0.325,-0.654
132,-0.012,-0.029,0.005,10,1,-0.059,0.829,-1.999
133,-0.621,-0.901,-0.275,8,4,0.57,-0.532,1.559
134,0.386,-0.49,-1.094,16,0,-1.607,0.321,-0.232
135,0.7,-0.16,0.095,13,3,0.191,0.59,2.167
136,-0.81,-0.124,-1.271,7,0,0.56,0.102,0.803
137,0.415,-0.852,-0.374,14,1,0.187,0.449,0.448
138,1.101,-0.263,1.091,8,3,-0.098,-0.938,-0.586
139,-0.343,1.07,0.066,9,3,-0.411,0.236,-1.046
140,-0.151,-0.278,-0.574,14,1,-0.553,-0.094,0.523
141,-0.093,1.179,-0.433,11,1,0.61,-0.793,-0.072
142,0.617,0.328,-0.556,9,2,0.785,1.524,-1.339
143,-0.279,-1.409,0.246,18,2,1.139,-0.306,-1.517
144,-0.237,1.131,0.083,9,2,0.916,0.068,-0.959
145,-0.09,-0.838,0.33,7,4,0.183,-0.64,1.821
146,0.554,-0.536,0.782,11,1,-0.39,0.55,2.213
147,0.492,-0.693,0.264,6,2,-0.523,-0.28,0.205
148,-0.075,0.947,-0.278,9,4,0.76,1.435,0.149
149,0.799,0.315,0.173,11,2,0.647,1.073,-0.336
150,-0.764,0.031,-0.255,4,1,1.309,-0.366,-0.934
151,-0.158,-0.088,0.479,9,2,0.209,-0.184,1.375
152,-0.065,-0.304,-0.124,8,3,0.015,0.451,1.874
153,-0.201,0.668,0.742,11,3,-0.982,-1.079,-0.893
154,-0.524,-0.085,0.105,12,2,0.175,0.391,-0.083
155,-0.592,-0.38,-0.392,11,3,0.519,-0.389,-0.45
156,-0.139,-0.384,0.099,11,1,0.081,-0.669,-0.42
157,0.424,0.594,0.446,6,1,0.939,-0.953,1.186
158,-0.014,-1.053,0.202,7,2,0.635,0.066,-1.312
159,-1.01,0.22,-0.535,12,2,-0.907,1.113,0.466
160,0.517,-0.699,-0.096,9,2,0.66,-0.609,0.728
161,1.024,0.09,-0.574,12,2,0.5,1.03,-0.142
162,0.52,-0.419,-0.201,12,4,0.874,-0.317,0.893
163,0.001,-0.072,0.946,10,1,-0.177,-0.236,0.148
164,0.673,0.43,-0.961,11,3,0.479,1.918,1.217
165,-0.614,0.643,-0.21,10,3,0.83,0.406,-1.522
166,-0.769,0.704,0.039,12,4,-1.009,0.7,-0.349
167,0.165,-0.643,-0.187,7,4,-0.306,0.236,-0.072
168,0.401,0.374,-0.022,9,2,-0.089,-0.835,-2.672
169,0.055,0.209,-0.479,13,3,-0.414,-0.022,-1.086
170,0.143,0.235,0.649,12,2,0.403,0.274,-0.814
171,0.418,-0.141,0.685,11,3,0.935,-0.199,0.948
172,0.03,-0.517,-0.42,11,4,0.654,-1.04,-0.707
173,1.066,-0.129,-0.467,12,1,0.608,0.287,-0.818
174,0.293,-0.438,-0.275,9,2,-0.208,0.038,0.817
175,-0.962,-0.751,-1.15,14,2,0.906,0.785,-1.618
176,0.961,1.346,1.174,13,3,-0.014,0.446,-2.071
177,-0.608,-0.16,0.358,10,3,0.854,-0.567,-0.362
178,-0.42,-0.85,-0.528,7,3,-0.445,0.5,-1.448
179,-0.369,0.915,0.799,11,1,0.243,-0.325,-1.41
180,0.527,0.777,-0.701,8,3,-1.046,1.368,0.573
181,-0.27,-0.58,0.311,9,1,-1.185,-0.456,0.876
182,0.91,0.375,-0.101,12,1,1.201,0.325,0.789
183,-0.181,-0.216,-0.873,8,2,-0.169,0.188,1.109
184,0.841,-0.392,-0.072,8,0,0.476,0.618,1.241
185,0.275,-0.092,-0.566,8,3,-0.1,-0.114,-2.129
186,0.224,0.042,-1.688,14,1,0.071,-0.469,0.45
187,-0.441,0.175,0.615,13,1,-0.347,-0.511,-0.53
188,-0.121,-1.624,0.324,12,0,-0.763,0.16,-0.747
189,0.152,-0.13,0.124,15,2,-0.516,-0.537,0.56
190,0.122,0.952,0.038,9,1,-0.058,0.172,-1.73
191,-0.378,1.61,-0.367,9,2,0.435,0.649,-1.751
192,0.661,-0.605,1.097,12,2,0.68,-0.126,0.634
193,-0.301,0.22,-0.265,11,3,-0.304,-1.086,0.488
194,0.095,-0.403,0.153,13,2,0.373,0.866,0.137
195,-0.08,0.564,0.92,16,3,0.241,0.124,-0.88
196,-0.376,-0.14,0.313,14,0,0.068,-0.01,0.744
197,-1.571,-0.247,1.225,10,1,-0.737,1.233,0.68
198,0.101,-0.032,-0.15,9,4,-1.16,1.042,0.085
199,0.123,0.715,0.301,8,0,0.075,-0.061,-1.177
200,-0.101,0.067,0.085,9,3,0.16,0.632,-0.425
201,0.097,0.984,-0.375,10,2,0.752,-0.872,0.838
202,0.267,0.134,0.51,10,3,1.293,0.701,1.327
203,0.525,-0.235,-1.526,14,2,0.232,-0.266,-0.327
204,0.095,-0.203,0.259,11,2,0.244,-0.859,-0.25
205,-0.351,-0.907,0.294,12,3,0.414,-0.018,-0.162
206,0.225,-0.55,-0.599,7,3,0.998,0.637,0.275
207,-0.077,0.383,-0.184,10,3,1.153,0.621,-0.581
208,-1.449,0.404,-0.179,7,3,0.638,0.384,-2.894
209,0.0,0.236,-0.657,9,2,-0.046,-0.015,1.193
210,1.362,0.136,-0.181,12,3,1.285,-0.475,1.795
211,-0.41,-0.39,-0.548,10,2,0.022,-0.53,-0.612
212,-0.445,0.588,0.047,6,1,-1.382,0.095,-1.067
213,-0.476,-0.574,-0.54,12,2,0.089,0.285,-0.137
214,0.794,0.369,0.87,10,0,-0.821,-0.487,-0.188
215,0.294,0.713,-0.715,12,1,-0.149,1.102,0.996
216,-0.036,-0.59,-0.541,9,2,-1.235,-1.329,0.055
217,0.147,-0.254,0.205,11,1,0.703,0.015,-0.793
218,0.027,0.21,-0.31,12,4,0.344,-0.103,-1.318
219,0.279,-0.689,0.285,7,1,-0.605,0.164,0.866
220,0.817,-0.655,0.195,13,2,0.151,-0.974,0.6
221,-0.536,-0.546,-1.328,10,2,0.611,-1.415,1.061
222,0.665,-0.981,1.38,7,3,0.999,-0.314,-0.968
223,0.415,-0.524,-0.272,10,1,-0.475,0.177,1.838
224,-0.874,-0.623,0.817,14,0,0.279,0.274,-1.744
225,0.898,-0.114,0.735,10,4,-0.556,-0.764,0.71
226,0.006,-0.416,-0.573,14,2,-0.175,1.056,-1.91
227,0.886,0.348,0.039,13,0,-1.022,-0.096,-0.79
228,1.133,1.32,0.363,12,1,-1.051,-0.245,1.561
229,0.022,0.478,-0.891,12,1,1.047,0.93,0.831
230,-1.085,0.195,0.324,15,1,0.814,0.194,-0.546
231,1.704,-0.679,-0.208,13,3,-0.647,0.35,-0.519
232,0.09,-0.358,0.168,10,3,0.063,0.682,0.101
233,-1.221,0.719,-0.482,10,1,0.637,-0.546,0.514
234,0.918,0.21,0.328,12,3,0.186,0.991,1.252
235,-0.258,-0.23,0.448,14,3,-1.675,-0.298,-0.456
236,-0.216,0.041,0.981,13,2,0.394,-1.011,-1.612
237,-0.852,0.012,0.735,13,3,0.667,-0.711,0.157
238,0.327,-0.031,-0.149,15,3,-0.156,-0.072,-0.457
239,-0.568,-0.206,-0.46,9,1,-0.214,-0.978,-1.301
240,-0.224,-0.495,0.393,13,0,-0.46,-0.085,0.298
241,0.591,-0.159,-0.322,4,3,-0.151,0.019,-0.213
242,0.897,-0.696,-1.337,10,4,0.851,-0.162,0.307
243,0.208,-0.737,0.454,12,3,1.416,0.759,-0.894
244,-0.228,0.815,0.717,16,3,0.349,0.006,0.487
245,-0.262,-0.31,0.144,12,3,-0.261,-0.158,-1.317
246,-0.837,-0.314,-0.509,12,2,-0.137,1.003,-0.828
247,-0.057,-0.552,0.561,16,1,0.397,0.328,-0.243
248,0.332,0.333,-0.164,12,1,-0.696,1.338,1.742
249,-0.143,-0.203,-0.282,11,0,-1.354,-0.499,0.785
250,0.172,-0.327,0.171,14,1,0.498,1.05,1.077
251,-0.06,0.045,-0.253,16,1,-0.893,-0.866,1.417
252,-0.282,0.221,-0.448,14,1,-0.467,0.094,3.603
253,-0.034,-0.278,0.027,8,3,-0.225,-0.436,0.042
254,-0.894,-0.463,1.299,11,2,-0.98,0.571,1.42
255,-0.838,0.15,0.399,13,2,-0.64,0.097,1.013
256,-0.285,0.191,-0.287,13,0,-0.355,0.228,0.996
257,-0.482,0.285,-0.484,14,0,-0.517,-0.377,1.774
258,0.854,0.873,-0.013,12,1,0.335,0.281,-0.419
259,0.596,0.082,-0.532,12,3,-0.032,0.462,-0.499
260,-0.094,-0.357,-0.114,12,3,-0.085,0.682,0.32
261,-0.789,0.798,-0.601,11,4,0.203,-0.593,-0.183
262,0.209,0.925,-1.171,13,1,-0.719,-0.887,0.319
263,-0.242,-0.031,1.181,6,2,0.185,0.689,1.563
264,-0.339,0.051,0.859,11,3,-0.391,-0.774,-0.478
265,-0.358,0.94,-0.554,14,0,-1.029,-0.267,-0.305
266,-0.277,0.392,-0.194,10,4,-0.142,-0.34,0.174
267,-0.296,0.089,0.378,13,4,-0.107,-1.59,-0.228
268,-0.354,0.08,-0.879,12,0,0.07,-0.031,-1.914
269,0.043,0.209,-0.011,13,3,-1.522,1.441,-0.58
270,-0.46,-0.618,-0.364,13,2,0.895,-0.224,0.687
271,-0.711,-0.073,0.011,9,0,1.205,0.334,1.438
272,0.776,-0.124,0.043,13,1,-0.034,0.304,-1.155
273,0.355,-0.964,-0.602,11,0,0.242,-0.19,-1.159
274,-0.165,-0.002,-0.744,8,4,-0.867,-0.395,0.03
275,0.418,-0.279,-0.457,13,4,0.597,0.241,-2.076
276,0.316,-0.592,0.265,13,3,-0.366,0.461,-0.445
277,-0.592,-0.294,1.382,19,3,-0.096,0.144,-1.736
278,-0.186,1.085,0.089,12,4,0.062,-0.181,1.369
279,0.303,-0.541,0.843,11,3,1.2,-1.043,-0.769
280,-0.215,0.278,-0.005,13,1,0.91,-0.35,1.653
281,0.291,0.751,0.205,10,1,-0.18,0.471,1.114
282,0.308,-0.133,-1.238,14,2,-0.689,0.798,-0.646
283,0.529,0.402,0.623,6,3,0.036,-0.403,-1.072
284,-1.113,0.224,-1.187,8,0,1.816,-0.671,-0.194
285,-0.29,-1.65,-0.991,14,2,-0.207,0.083,-0.105
286,0.475,0.306,-0.212,6,1,-0.167,-0.055,0.346
287,0.206,0.006,0.482,8,2,-1.035,0.329,-0.777
288,-1.148,-0.28,-0.681,8,2,-1.638,-0.06,0.746
289,-0.279,0.122,-0.766,11,2,0.046,0.334,0.265
290,-0.662,0.147,0.047,9,3,1.096,-0.642,-0.34
291,1.023,0.417,0.778,12,2,-0.862,0.489,-0.712
292,-0.09,0.423,-0.952,11,3,-0.039,1.175,-0.185
293,0.183,-0.228,-0.295,10,2,-0.77,0.038,-0.817
294,0.008,-0.506,1.318,15,0,0.411,0.622,0.058
295,0.1,-0.285,-0.089,10,1,-0.175,-0.707,0.085
296,0.901,1.066,0.092,12,3,-0.032,0.103,0.262
297,0.24,-0.575,0.15,14,1,0.864,0.431,1.766
298,0.747,1.335,-0.851,8,2,-0.058,0.195,-0.132
299,-1.122,0.115,0.761,9,3,0.235,-0.241,1.005
300,-0.043,-0.059,0.113,5,1,0.079,0.596,0.23
301,-0.546,0.149,-0.03,9,3,0.131,0.292,-0.238
302,-0.183,-0.331,-0.099,9,4,0.528,-1.219,-0.119
303,0.496,0.442,-0.815,13,2,-1.093,-0.74,-0.059
304,-0.306,-0.558,0.346,19,2,0.522,0.304,0.28
305,0.295,0.571,0.699,7,2,-0.548,1.669,-0.959
306,-0.02,0.074,0.745,14,1,0.296,0.17,-1.465
307,-0.205,0.531,-1.279,13,0,0.24,-0.053,0.654
308,-0.707,-0.523,0.691,12,0,-0.047,-1.374,0.898
309,0.153,0.355,-0.69,10,2,0.029,0.028,0.746
310,0.673,0.297,-0.571,14,1,0.154,-0.033,0.155
311,-0.904,0.353,-0.985,9,0,-0.592,-1.483,0.767
312,-0.021,0.607,0.316,10,1,0.962,-0.079,0.713
313,1.428,-0.495,0.214,10,3,-1.496,-0.289,0.788
314,0.694,-0.272,-0.746,13,1,-1.185,-0.968,-0.86
315,-0.109,-1.164,0.955,13,2,-0.503,0.339,-1.097
316,0.431,-0.043,-0.257,10,2,1.832,1.475,-0.389
317,-0.037,0.64,0.361,8,4,-0.607,0.057,-0.017
318,0.536,-0.01,0.519,11,3,0.465,0.646,-0.242
319,-0.604,0.375,0.716,11,1,-0.088,0.357,-1.877
320,0.131,-0.311,-0.439,14,2,0.776,-0.16,1.722
321,0.589,-0.595,0.328,13,0,-0.111,-1.104,-0.274
322,0.011,0.04,-0.195,6,2,-0.975,0.605,0.173
323,-0.239,0.252,0.866,8,2,-1.281,0.051,1.245
324,-0.284,-0.424,0.776,9,2,0.292,-0.52,-2.345
325,0.053,1.458,1.511,12,2,-0.353,0.236,-0.512
326,0.523,-0.403,-0.345,12,2,0.841,0.942,-0.387
327,0.91,0.487,0.29,14,2,-0.182,-0.25,-0.336
328,-0.839,0.645,0.112,8,2,-1.285,-0.081,-0.173
329,0.551,-0.183,1.242,10,1,0.901,0.87,1.447
330,0.01,0.888,-0.736,9,3,-0.068,0.272,0.673
331,0.996,-0.351,-0.93,12,3,0.312,-0.757,0.958
332,0.365,-0.152,-1.502,10,2,0.583,0.122,0.047
333,1.189,0.952,-0.67,9,1,-0.769,-0.575,-1.399
334,-0.31,-0.05,0.758,9,3,0.327,0.456,-2.08
335,-0.112,-0.119,0.286,9,2,-0.346,-0.869,-1.529
336,0.16,0.215,-0.549,9,2,-0.062,0.944,0.36
337,-0.328,-0.88,0.144,9,2,-1.308,-0.433,0.032
338,0.361,-0.974,0.079,9,2,-0.354,0.015,-0.21
339,-0.108,0.337,-0.379,16,3,0.225,0.099,-0.369
340,-0.131,-0.508,0.341,10,2,-0.512,0.436,2.012
341,0.643,0.342,0.067,10,3,-1.004,-0.0,-0.823
342,0.347,-0.797,0.198,16,3,0.474,0.11,0.928
343,-0.458,-0.393,0.413,11,1,0.021,0.674,0.002
344,0.844,-0.305,0.118,8,4,-1.37,0.311,-0.061
345,-0.341,0.024,-0.51,8,1,0.466,-1.122,1.177
346,0.566,-0.699,-0.217,11,3,0.853,-0.898,1.463
347,-0.561,0.474,0.139,9,0,-0.462,0.392,-0.24
348,-0.299,0.422,-1.204,9,1,-1.826,-0.482,0.799
349,0.43,-0.322,-1.183,4,1,0.423,-1.289,0.364
350,-0.487,0.387,0.418,10,3,-1.165,0.548,0.007
351,0.0,2.268,-1.167,16,2,-0.771,0.006,0.204
352,0.086,-0.133,-1.071,11,1,-1.405,0.079,-0.688
353,-0.406,-0.003,-0.19,12,3,1.412,-0.039,-0.306
354,-0.33,0.914,-0.402,13,2,-0.398,-0.958,-0.581
355,-0.204,0.118,0.364,12,3,-0.682,-1.319,0.901
356,0.339,0.197,0.367,9,0,-0.214,1.462,-0.095
357,0.787,0.429,0.056,9,2,-1.818,-0.093,-1.298
358,0.88,0.23,0.12,15,1,0.924,0.941,-0.723
359,0.912,-0.674,-0.364,8,1,-0.63,0.439,-3.199
360,0.422,-0.208,-0.391,10,0,-0.634,-0.713,-0.494
361,0.74,0.24,0.128,9,3,-0.156,-0.095,0.038
362,0.16,0.733,-0.745,9,2,0.268,0.668,-0.136
363,0.699,-0.197,0.662,10,1,0.06,0.255,1.98
364,-0.13,0.17,-0.915,8,2,0.903,0.011,0.575
365,0.18,-0.551,0.171,9,2,1.632,-1.469,0.53
366,-0.087,0.478,-0.945,4,2,0.641,1.587,-1.643
367,-0.165,0.813,-0.873,11,2,0.651,-0.337,-0.365
368,-0.851,-0.049,0.626,9,2,0.14,0.201,-0.487
369,-0.824,-0.518,0.203,10,2,0.222,0.785,-0.786
370,0.73,0.357,0.461,14,0,-0.57,-0.376,-0.8
371,0.493,-0.896,-0.708,10,1,0.191,0.495,-1.808
372,-0.368,-0.093,-1.283,14,1,-0.682,-0.604,-1.276
373,-0.413,0.773,-0.044,16,1,1.02,-0.108,0.874
374,0.053,0.453,1.032,10,0,-0.478,0.489,-0.143
375,0.137,0.517,-0.955,12,0,0.371,-0.126,-0.506
376,-0.72,0.63,0.608,13,1,1.759,-0.094,-0.005
377,0.326,0.965,-0.281,12,0,-0.047,0.431,1.167
378,-0.414,-0.232,0.182,7,2,-0.212,0.222,0.004
379,1.048,0.474,-0.425,10,2,0.168,-0.848,0.54
380,0.014,-0.578,1.23,11,2,-0.654,-0.349,-0.847
381,0.387,0.633,0.227,7,3,-0.28,0.261,-0.619
382,-0.037,-0.28,0.811,11,0,-0.899,-0.471,0.354
383,-1.79,1.077,-0.576,7,3,0.948,0.03,1.893
384,0.325,0.378,-0.568,11,2,-0.095,0.016,1.43
385,-0.19,-0.114,0.117,9,1,0.147,0.014,0.583
386,-0.622,-0.361,-0.709,8,3,0.615,0.32,0.151
387,-0.946,-0.421,-0.292,15,1,-0.482,0.592,1.401
388,-0.713,0.156,1.209,9,0,-1.293,0.579,0.795
389,-0.44,1.562,-0.235,11,2,0.554,-0.166,-2.294
390,-0.735,0.222,0.829,6,2,-0.483,-0.392,-1.054
391,0.366,1.149,-0.56,8,1,-0.514,0.385,0.338
392,-0.112,-0.141,0.296,9,1,-0.519,0.721,-1.787
393,-0.148,-0.542,-0.694,15,1,0.442,0.98,-0.898
394,0.404,0.799,0.131,17,0,1.17,0.515,-0.7
395,0.339,0.198,0.174,5,3,-0.125,0.586,-0.256
396,0.147,0.624,-0.102,9,3,1.085,-0.633,-0.287
397,-0.174,0.143,0.681,15,1,0.129,0.046,-0.289
398,-0.396,-0.769,0.499,12,2,1.287,-0.24,0.825
399,-0.028,-0.024,-0.886,11,1,0.263,-0.573,-0.265
400,-0.013,0.521,0.538,10,0,-1.283,-0.359,-0.385
401,-0.975,-0.441,1.005,7,0,0.604,0.149,-1.349
402,-0.018,-0.683,0.368,12,2,-0.326,1.483,1.024
403,-1.213,0.847,1.165,9,2,-0.154,-0.255,-0.671
404,1.135,1.731,-0.355,8,0,-0.022,0.426,-1.087
405,-0.282,-0.297,-0.229,12,2,-0.942,0.806,0.213
406,1.176,-0.084,-1.124,10,3,0.969,-0.567,-0.767
407,-0.502,1.061,-0.549,15,2,1.147,0.206,-0.526
408,-0.09,-0.306,0.287,10,2,-0.267,-1.204,0.258
409,0.082,-1.093,-0.265,6,0,-0.48,-0.647,-0.326
410,-0.138,-0.111,-0.301,7,2,-0.528,0.287,2.312
411,-0.646,-0.705,0.051,8,3,0.104,1.306,-0.075
412,0.306,0.575,0.545,9,1,-0.055,0.133,0.618
413,-0.556,-0.375,-0.047,10,4,-0.732,0.273,-1.942
414,1.025,-0.183,0.271,11,1,-0.237,-0.32,-0.861
415,0.197,0.22,-0.168,15,2,-0.283,0.995,-1.087
416,-0.753,-0.437,-0.086,11,0,-0.658,1.161,-0.954
417,0.37,0.333,-1.119,13,2,0.251,1.145,0.416
418,0.558,0.541,0.335,10,4,0.832,0.313,1.036
419,-0.159,0.206,-0.002,10,2,0.253,0.428,0.345
420,0.036,-0.115,-0.241,9,0,-0.787,-0.554,-0.227
