user_id,affinity_1,affinity_2,affinity_3,segment,cohort,tenure_score
259,-0.622,-1.239,0.014,0,0,0.618
260,0.488,-0.652,0.78,5,1,0.49
261,0.355,0.69,0.913,5,0,0.967
262,-0.54,-0.335,1.088,3,3,0.95
263,2.543,-1.424,0.009,1,2,0.984
264,-0.223,0.755,1.355,1,2,0.866
265,0.605,-0.28,-0.807,2,0,0.91
266,0.423,0.083,-0.968,2,1,0.217
267,0.742,0.762,1.84,4,3,0.831
268,1.539,0.363,-0.486,3,3,0.709
269,1.05,-1.551,-0.473,2,2,0.963
270,-0.587,-2.381,1.522,2,2,0.571
271,1.773,-1.348,0.488,3,3,0.085
272,-0.183,-0.15,2.276,1,2,0.597
273,0.253,0.581,0.404,4,0,0.687
274,-1.003,-0.577,-0.418,4,3,0.22
275,1.206,1.989,-1.391,4,2,0.394
276,0.131,-1.298,0.732,2,0,0.599
277,-1.103,0.308,-1.97,1,0,0.374
278,1.328,-0.461,0.751,4,3,0.375
279,1.453,0.258,1.12,3,0,0.133
280,0.993,1.613,-0.194,4,3,0.941
281,-1.676,1.594,-0.258,0,0,0.75
282,0.878,-0.097,0.883,1,3,0.001
283,0.137,0.584,1.027,0,3,0.766
284,2.018,0.068,1.42,1,3,0.74
285,0.495,-1.24,0.28,5,3,0.01
286,0.578,-0.093,-1.309,3,0,0.37
287,-0.451,-0.262,0.53,5,3,0.607
288,0.366,-0.155,0.3,2,2,0.453
289,-1.001,-0.54,-1.113,2,0,0.778
290,-1.233,0.201,-0.532,5,3,0.425
291,-0.671,0.104,0.3,1,0,0.154
292,0.571,0.423,-0.449,4,0,0.976
293,-1.122,-0.132,-0.733,0,0,0.242
294,1.056,2.047,-0.862,3,0,0.718
295,0.11,1.374,-0.385,4,3,0.143
296,0.442,-0.112,-0.089,2,0,0.329
297,0.65,1.515,-0.938,4,2,0.442
298,0.738,1.312,1.07,5,0,0.192
299,0.013,0.417,1.99,5,0,0.45
300,-0.339,0.433,0.34,0,2,0.157
301,0.873,-2.267,-0.191,2,3,0.559
302,-0.225,0.568,1.273,1,2,0.664
303,-1.334,-0.252,0.037,3,1,0.062
304,0.005,1.005,0.626,5,2,0.871
305,0.048,-0.373,0.009,3,3,0.185
306,1.354,0.143,-0.159,2,2,0.225
307,-0.34,0.749,-0.671,1,0,0.661
308,1.595,-1.0,0.214,5,3,0.469
309,0.789,0.118,-0.288,0,1,0.499
310,0.014,0.014,0.499,3,3,0.128
311,1.221,0.772,1.358,2,0,0.806
312,0.183,0.422,-0.161,3,1,0.617
313,-0.257,0.644,-0.627,1,3,0.135
314,-1.527,0.303,-1.124,0,3,0.374
315,-0.83,-1.446,1.417,1,0,0.81
316,0.82,0.007,1.155,5,2,0.568
317,0.504,0.121,-1.824,4,2,0.109
318,1.099,0.755,-2.025,1,1,0.373
319,-0.652,-0.718,0.988,1,0,0.243
320,1.154,0.772,-2.309,3,0,0.517
321,1.428,-0.046,1.154,1,2,0.843
322,-0.851,-0.428,-0.921,2,2,0.436
323,0.732,-0.845,-0.245,5,1,0.433
324,0.377,0.383,-0.446,3,2,0.905
325,0.535,0.883,-1.23,3,1,0.576
326,1.276,-0.358,-1.114,4,3,0.566
327,0.876,-0.554,0.756,5,1,0.262
328,-2.167,0.806,-0.964,2,1,0.608
329,-0.123,0.601,1.038,5,1,0.576
330,-1.436,0.397,-0.846,1,3,0.397
331,0.425,0.402,0.233,4,2,0.991
332,-0.383,0.568,-0.723,2,1,0.882
333,-0.925,0.711,-0.406,4,2,0.75
334,-0.214,0.158,-0.614,5,1,0.537
335,-0.607,1.745,-0.323,0,2,0.462
336,0.107,0.114,-1.558,5,1,0.185
337,0.272,0.479,-0.159,1,2,0.306
338,0.461,-0.714,0.021,4,0,0.774
339,0.01,-0.007,-0.468,0,3,0.454
340,0.127,0.197,1.526,1,1,0.882
341,0.645,-1.366,-1.359,4,3,0.148
342,0.346,-0.826,1.623,4,1,0.508
343,1.117,-0.685,-0.198,5,0,0.647
344,-0.086,-1.833,-0.738,4,0,0.517
345,1.816,0.162,-2.308,4,3,0.889
346,0.191,0.152,0.305,3,1,0.99
347,1.303,0.76,0.364,4,2,0.116
348,-0.936,-1.037,0.589,5,1,0.13
349,-0.541,0.399,-0.075,3,2,0.13
350,-0.207,-1.084,0.288,3,3,0.681
351,1.974,-1.753,0.523,0,3,0.373
352,-0.353,0.682,1.541,1,0,0.733
353,-1.038,0.614,-1.18,3,2,0.405
354,1.418,0.337,2.135,2,1,0.628
355,0.351,-0.983,0.634,3,0,0.77
356,-0.357,0.278,0.112,2,3,0.548
357,-0.185,0.548,0.396,0,0,0.54
358,0.768,0.657,-2.065,2,1,0.088
359,0.392,0.645,-0.62,0,1,0.411
360,1.007,0.667,-0.045,0,3,0.546
361,-0.762,0.931,0.889,0,0,0.462
362,-0.795,-0.296,0.022,2,2,0.901
363,-3.22,0.019,0.271,2,2,0.907
364,-1.214,0.942,-0.447,0,2,0.822
365,0.079,0.207,-0.554,0,1,0.375
366,0.256,1.03,-0.496,1,0,0.717
367,-0.4,0.911,0.473,0,2,0.395
368,2.544,-0.436,-1.753,4,0,0.233
369,0.697,-0.974,0.202,1,3,0.343
370,-0.613,-0.089,-0.23,1,2,0.071
371,0.342,-0.733,0.859,1,0,0.332
372,0.69,-0.038,0.807,4,1,0.461
373,-1.023,0.205,-1.396,1,3,0.955
374,0.535,1.111,-0.38,1,3,0.313
375,0.045,0.481,-0.438,2,3,0.902
376,1.197,0.677,0.248,5,3,0.229
377,-1.044,-0.497,0.608,2,1,0.191
378,0.895,1.119,0.476,0,1,0.519
379,0.67,0.857,0.283,0,2,0.673
380,1.052,0.484,-0.059,3,1,0.044
381,-0.604,-1.55,0.453,5,1,0.221
382,-0.496,1.02,-0.787,4,3,0.456
383,-0.222,1.63,-1.047,2,1,0.331
384,0.917,-0.096,1.665,0,3,0.713
385,0.245,-0.08,2.861,4,0,0.511
386,-0.195,-0.518,0.227,1,0,0.16
387,-0.009,-1.094,-0.142,4,0,0.894
388,-0.453,-0.238,0.631,2,0,0.293
389,0.068,1.187,0.958,5,0,0.731
390,-0.665,1.602,-1.095,3,0,0.78
391,-1.197,-0.541,-1.582,2,0,0.963
392,0.595,-0.321,1.044,5,3,0.499
393,1.635,1.919,0.364,0,3,0.616
394,1.835,-0.921,0.668,0,3,0.335
395,0.319,-0.677,-0.087,4,3,0.678
396,0.661,-0.132,-0.134,2,1,0.463
397,-0.172,-1.191,-0.96,0,1,0.438
398,1.014,0.585,0.539,1,2,0.855
399,-0.925,-0.276,0.377,1,1,0.05
