image_id,blank_row,blank_col,prop_0,prop_1,prop_2,prop_3,prop_4,difficulty,has_conditional,is_noisy
135,2,1,4,3,1,0,1,1,0,1
136,0,1,1,2,2,1,1,3,1,1
137,1,3,2,5,0,0,1,3,1,0
138,2,2,4,4,0,0,1,3,0,0
139,2,2,5,0,2,1,1,3,1,0
140,0,3,4,5,1,1,1,3,1,0
141,2,3,2,4,1,1,0,3,1,0
142,1,0,3,4,2,1,1,3,0,0
143,2,3,0,5,1,0,1,3,0,0
144,0,0,0,0,1,1,1,2,0,0
145,1,2,3,3,2,2,1,3,1,0
146,2,1,5,1,2,0,0,3,1,0
147,1,0,0,0,2,0,0,3,0,0
148,1,3,4,5,0,1,1,2,0,0
149,0,1,5,4,0,2,1,3,0,0
150,1,1,5,0,1,2,0,3,0,1
151,1,2,0,4,0,2,0,3,0,0
152,1,0,3,1,1,0,0,2,0,1
153,0,3,3,3,1,2,0,3,1,0
154,1,0,1,5,1,0,1,3,0,0
155,0,1,0,3,2,0,1,3,0,1
156,2,1,0,3,1,2,1,2,0,1
157,2,2,2,4,2,1,1,3,0,0
158,0,1,4,1,2,1,0,3,0,0
159,2,2,4,4,0,1,1,2,0,0
160,2,0,4,4,0,2,1,3,0,0
161,2,2,5,3,1,1,0,3,1,0
162,2,3,2,5,1,1,1,2,0,0
163,0,1,2,4,0,1,0,3,0,0
164,1,1,0,4,2,0,1,3,1,0
165,0,2,0,1,1,0,1,3,1,1
166,2,3,1,5,0,1,1,2,0,0
167,2,1,2,0,1,2,0,2,0,1
168,1,1,1,4,1,2,1,2,0,0
169,1,0,5,5,0,2,1,3,0,0
170,2,1,0,0,2,2,0,3,0,0
171,1,0,1,5,1,0,1,2,0,0
172,0,1,2,0,2,0,1,3,1,0
173,1,1,3,5,0,1,0,2,0,0
174,1,3,0,2,2,2,0,1,0,1
175,2,3,5,3,2,1,0,2,0,0
176,1,0,2,3,2,2,1,3,0,0
177,0,1,4,3,0,2,1,3,0,0
178,0,3,5,0,2,1,1,3,0,0
179,0,3,1,4,1,0,1,3,0,0
180,0,0,1,3,1,2,0,3,1,0
181,1,0,5,0,2,0,0,2,0,0
182,0,2,5,1,1,0,1,3,0,0
183,1,1,3,3,1,0,0,2,0,0
184,1,3,2,2,2,0,1,3,1,0
185,2,1,0,4,1,0,0,3,0,0
186,0,0,4,1,1,0,0,2,0,0
187,2,3,5,4,2,0,1,3,0,0
188,0,2,4,2,2,0,0,3,0,0
189,0,0,0,4,0,2,0,2,0,0
190,0,3,0,0,1,2,0,2,0,0
191,1,1,5,0,1,2,1,3,0,0
192,0,3,2,4,0,2,1,1,0,0
193,2,2,3,0,0,0,1,1,0,0
194,1,2,0,2,1,1,1,3,0,0
195,1,3,2,3,2,0,1,3,1,1
196,1,3,0,0,1,2,1,3,0,0
197,1,0,3,2,0,2,0,3,1,0
198,2,1,2,4,1,0,0,3,1,0
199,2,3,1,0,0,2,0,2,0,0
200,1,0,1,0,2,1,0,3,0,0
201,1,0,0,5,0,1,1,3,1,0
202,0,1,4,4,2,0,0,3,1,0
203,1,3,1,5,0,0,0,3,1,1
204,2,2,3,0,1,2,0,3,1,0
205,0,3,3,1,1,1,1,2,0,1
206,0,2,3,2,0,0,1,3,1,0
207,1,2,3,3,0,1,1,3,0,0
208,0,3,4,5,0,1,0,3,1,0
209,0,2,1,1,0,1,1,3,1,0
210,2,2,2,4,0,1,0,3,1,1
211,2,0,2,4,1,0,1,3,1,0
212,0,0,2,4,2,0,0,3,1,0
213,0,3,0,5,2,2,0,3,0,0
214,2,3,4,0,1,2,0,3,0,1
215,2,3,2,0,0,1,0,3,0,0
216,1,0,2,2,2,0,1,3,1,0
217,1,2,3,4,1,1,1,3,1,0
218,2,3,3,1,2,1,1,2,0,0
219,2,2,5,2,0,2,1,3,1,0
220,0,0,2,3,2,1,0,2,0,0
221,0,0,1,4,0,2,1,3,1,0
222,1,3,1,4,0,0,1,3,0,0
223,2,3,2,2,0,1,0,3,1,0
224,0,0,1,3,0,0,0,3,0,0
225,1,1,3,0,0,1,1,3,0,0
226,0,2,5,5,1,2,0,3,1,1
227,1,2,3,2,1,0,1,1,0,0
228,0,1,5,3,2,2,1,2,0,0
229,0,3,2,4,2,2,1,2,0,1
230,1,2,5,2,2,1,0,3,0,0
231,0,3,0,1,2,2,1,3,0,0
232,0,3,3,5,1,1,1,2,0,0
233,2,3,0,0,1,2,1,3,0,0
234,2,0,5,3,1,2,1,3,1,1
235,0,3,1,0,1,0,0,3,1,1
236,2,2,0,2,2,1,0,3,0,0
237,1,1,4,4,1,0,1,3,0,1
238,0,3,0,0,0,1,0,1,0,0
239,1,0,1,1,0,0,0,3,0,0
240,2,0,1,5,2,2,1,3,1,0
241,1,0,0,5,0,0,1,3,1,0
242,2,0,5,4,0,1,0,3,0,0
243,0,2,2,3,2,1,0,3,1,0
244,2,1,2,4,1,2,1,3,0,0
245,1,1,3,4,2,1,1,3,0,0
246,1,2,5,4,1,1,1,3,1,0
247,1,3,0,5,1,2,1,2,0,0
248,0,2,4,1,2,2,0,3,0,1
249,1,1,1,3,1,2,0,3,0,1
250,2,1,2,3,1,0,0,3,0,1
251,1,0,5,1,2,2,0,3,0,0
252,0,3,5,0,2,2,0,3,1,0
253,1,1,5,5,0,1,1,1,0,0
254,1,3,4,2,2,0,0,3,0,0
255,2,2,1,1,2,1,0,3,0,0
256,1,3,5,1,1,2,0,3,0,0
257,0,1,5,2,1,1,1,1,0,0
258,0,3,4,1,1,0,1,2,0,1
259,1,1,4,4,1,1,0,3,1,0
260,2,0,0,5,1,0,1,3,1,0
261,0,0,3,0,0,2,0,3,0,1
262,1,0,3,5,1,2,1,3,0,0
263,2,3,4,4,2,1,1,3,0,0
264,1,3,2,1,1,2,1,2,0,0
265,2,1,5,0,2,1,1,3,0,0
266,2,3,1,5,2,2,0,2,0,0
267,2,0,4,2,1,0,0,3,0,0
268,0,3,1,5,0,1,0,2,0,0
269,0,3,4,5,1,0,0,3,0,0
270,0,3,5,0,1,0,0,2,0,1
271,1,0,4,3,0,0,0,3,1,1
272,0,0,4,0,2,1,0,3,0,1
273,0,1,3,2,2,1,1,3,0,1
274,1,1,1,3,1,1,0,2,0,0
275,2,1,5,5,0,2,0,3,1,0
276,1,0,1,2,0,1,0,3,0,0
277,2,1,1,4,1,2,1,3,0,0
278,1,1,2,3,2,2,1,2,0,0
279,0,2,3,0,2,0,1,2,0,0
280,0,3,2,3,0,1,1,3,0,0
281,0,2,5,2,2,1,0,3,0,0
282,0,2,2,0,0,0,0,1,0,0
283,1,3,2,4,0,0,0,2,0,0
284,0,0,4,3,0,2,0,2,0,0
285,0,3,4,4,2,2,1,3,0,0
286,2,2,4,4,2,2,0,3,1,1
287,1,2,3,3,1,1,0,3,0,1
288,2,3,1,5,0,1,0,3,0,0
289,0,2,3,1,0,0,1,3,1,1
290,2,3,3,4,1,0,1,3,1,0
291,2,0,1,1,1,2,1,3,0,0
292,1,1,5,2,0,1,0,3,1,1
293,1,3,1,0,2,2,0,3,0,0
294,2,1,3,5,0,0,0,3,0,0
295,1,2,3,1,0,2,0,3,1,0
296,2,0,2,3,1,2,0,3,0,0
297,2,1,5,0,2,2,0,3,0,0
298,0,1,0,0,0,2,0,2,0,1
299,0,2,4,5,2,0,0,1,0,1
300,1,2,3,5,2,1,0,3,0,0
301,0,3,3,1,2,2,1,3,0,0
302,1,1,0,4,0,0,0,3,0,0
303,2,3,5,2,2,0,0,3,0,1
304,1,2,1,2,0,2,1,2,0,0
305,0,3,1,2,1,2,1,3,1,0
306,2,0,1,4,2,1,0,2,0,0
307,2,0,3,4,0,1,0,3,1,1
308,0,3,1,1,1,0,1,3,0,0
309,0,1,0,4,1,2,1,2,0,0
310,0,3,1,3,1,0,1,2,0,0
311,0,0,3,1,0,2,0,3,0,0
312,2,2,3,4,1,0,0,3,1,0
313,1,0,5,5,1,1,1,3,0,1
314,2,3,4,5,1,1,0,3,0,0
315,0,0,3,4,1,1,0,3,1,0
316,2,3,3,3,0,1,1,3,1,0
317,0,2,1,0,0,0,0,3,0,1
318,2,0,4,5,1,1,1,3,1,1
319,2,0,5,3,1,2,0,3,0,0
320,2,3,1,4,2,0,1,3,0,0
321,0,1,2,5,2,2,1,3,0,0
322,1,1,4,5,1,0,1,3,0,0
323,2,0,0,1,0,1,0,3,0,0
324,1,3,3,2,0,1,0,2,0,0
325,1,0,3,5,2,1,0,3,1,0
326,0,3,3,2,2,1,1,3,1,0
327,0,3,1,2,2,1,1,3,1,0
328,0,1,5,0,1,2,1,3,1,0
329,2,3,2,0,1,0,1,3,0,0
330,2,0,1,0,0,2,1,2,0,0
331,0,1,4,4,0,0,1,3,0,0
332,1,3,5,1,1,0,1,3,1,0
333,2,0,4,4,0,0,1,3,1,1
334,1,1,0,4,1,0,0,2,0,0
335,1,3,0,0,2,0,1,3,0,1
336,1,2,2,0,0,0,1,3,0,0
337,2,2,1,0,1,1,1,2,0,0
338,1,1,4,0,1,2,0,3,0,1
339,1,1,2,1,0,1,0,3,1,0
340,2,2,2,2,0,0,1,3,0,0
341,1,3,5,5,1,2,1,3,0,0
342,0,3,5,1,0,0,0,2,0,0
343,0,3,3,4,1,0,1,3,0,0
344,2,2,5,4,0,0,1,1,0,0
345,0,3,1,3,1,0,0,3,1,1
346,2,0,5,5,1,1,1,2,0,0
347,2,1,0,5,2,1,0,3,0,0
348,2,1,0,2,1,2,1,2,0,0
349,0,3,3,4,1,0,1,3,1,1
350,0,0,1,1,1,1,0,3,0,0
351,0,1,3,5,1,2,1,2,0,0
352,0,0,5,3,0,2,0,3,0,0
353,1,1,4,3,0,1,1,3,0,0
354,1,0,2,0,0,0,0,3,0,0
355,2,0,4,2,2,1,1,3,1,1
356,1,2,0,1,0,0,1,3,0,0
357,2,1,3,1,0,1,0,3,0,0
358,0,0,0,2,0,0,0,3,0,1
359,2,1,1,4,0,1,0,3,1,0
360,2,0,5,1,2,0,1,2,0,0
361,1,1,5,4,1,1,0,3,0,0
362,0,1,4,2,1,1,1,3,0,0
363,1,0,4,0,0,0,1,3,0,0
364,0,3,3,3,2,0,0,3,1,0
365,2,0,2,5,0,0,1,2,0,0
366,0,3,4,5,2,0,1,3,1,0
367,1,1,3,5,1,1,0,3,0,1
368,1,0,4,0,1,1,1,3,0,0
369,2,0,3,5,0,0,1,3,0,0
370,2,3,4,1,1,0,1,3,0,0
371,0,3,1,5,2,1,0,3,0,0
372,0,0,5,3,0,2,1,2,0,0
373,0,3,1,5,0,1,0,3,0,0
374,1,1,1,3,1,1,1,3,0,0
375,1,3,1,2,0,0,0,2,0,0
376,1,1,1,0,0,0,1,3,0,0
377,0,0,2,5,0,0,1,3,0,0
378,0,0,4,2,2,0,0,3,0,0
379,0,2,4,1,1,0,0,3,0,0
380,0,2,4,5,1,0,1,2,0,0
381,2,0,5,4,0,2,0,3,1,0
382,1,2,1,4,2,1,0,3,0,0
383,1,3,2,3,0,1,0,3,0,0
384,1,0,5,2,0,2,1,3,0,1
385,0,3,2,4,0,1,1,3,0,0
386,2,1,3,5,2,0,1,1,0,0
387,2,0,2,1,2,1,1,3,0,0
388,1,3,4,0,2,2,0,3,0,0
389,0,0,3,1,0,0,0,3,0,1
390,1,3,2,3,1,2,0,1,0,0
391,1,3,5,4,1,1,0,3,1,0
392,0,2,1,5,0,0,0,2,0,0
393,0,2,5,4,1,2,1,3,1,0
394,0,0,4,5,2,2,1,3,0,0
395,1,0,0,1,2,2,0,3,1,0
396,1,0,5,1,0,2,1,3,0,0
397,1,0,1,5,2,2,0,2,0,0
398,1,3,0,2,2,1,0,3,0,0
399,0,1,3,0,1,1,0,3,0,1
400,0,1,2,3,2,0,0,3,0,0
401,1,0,3,0,2,0,1,3,0,0
402,1,0,3,4,2,1,1,3,0,0
403,2,1,2,3,2,0,0,2,0,0
404,1,0,1,5,0,1,1,3,1,0
405,2,3,2,1,2,0,1,3,0,0
406,0,2,1,1,0,1,0,3,0,1
407,2,0,3,1,0,0,1,3,1,0
408,2,1,2,1,2,2,0,3,1,0
409,2,0,4,4,2,0,1,2,0,0
410,0,0,1,4,1,0,0,3,1,0
411,1,3,2,2,0,1,1,3,1,1
412,0,3,1,4,0,0,0,3,0,0
413,2,1,3,4,2,2,1,3,0,0
414,1,1,3,0,2,2,0,2,0,0
415,2,0,1,5,0,0,1,3,0,0
416,2,3,1,3,1,2,1,3,0,1
417,2,0,3,5,2,1,0,3,0,0
418,1,1,1,3,0,2,1,3,0,1
419,2,1,3,2,2,2,0,3,0,0
420,1,2,2,4,0,2,0,3,0,0
421,1,2,0,1,2,2,1,1,0,0
422,0,3,3,1,1,0,1,3,0,1
423,1,2,0,0,2,1,0,2,0,0
424,0,0,5,3,2,1,0,2,0,0
425,2,1,5,3,1,0,0,2,0,0
426,1,0,4,1,0,1,0,3,1,1
427,0,1,3,2,2,0,1,2,0,0
428,0,2,5,5,1,0,0,3,1,0
429,1,2,1,3,2,2,0,1,0,0
430,1,3,5,3,2,2,0,3,0,0
431,1,1,5,1,2,0,0,2,0,0
432,2,1,5,2,0,2,1,3,1,0
433,2,2,0,1,1,0,1,3,0,0
434,0,0,1,1,2,0,1,3,0,0
435,1,1,2,2,1,2,1,2,0,0
436,1,1,0,5,0,1,0,2,0,1
437,0,0,0,0,0,2,1,3,0,0
438,2,0,5,1,2,2,0,3,1,0
439,0,0,3,4,1,1,1,1,0,0
440,1,0,2,3,2,0,0,3,0,0
441,0,2,2,3,1,2,1,3,0,0
442,2,1,2,5,1,1,0,3,1,0
443,1,2,2,2,1,1,0,3,0,0
444,2,1,3,3,2,1,1,3,0,0
445,2,0,5,3,2,0,0,3,1,0
446,2,2,4,5,2,2,1,3,0,0
447,0,3,1,4,2,0,0,2,0,0
448,0,0,5,4,0,2,0,2,0,0
449,1,2,3,3,0,0,1,2,0,0
450,2,0,4,3,1,2,0,3,0,0
451,1,1,2,1,0,2,0,2,0,1
452,2,3,0,2,0,1,1,3,0,0
453,2,3,3,1,2,1,1,2,0,0
454,1,3,4,0,1,1,0,3,0,0
455,0,0,0,3,2,0,1,3,1,0
456,1,1,4,4,2,0,1,3,1,0
457,2,3,1,1,1,2,0,3,0,0
458,0,3,3,3,2,0,1,3,0,0
459,1,1,4,2,1,1,0,3,1,1
460,2,2,0,2,1,0,0,2,0,0
461,2,1,1,4,1,0,0,2,0,0
462,2,1,0,3,0,0,1,3,1,0
463,1,1,1,1,0,2,0,2,0,0
464,1,3,4,2,1,1,1,3,0,0
465,1,3,2,3,2,1,1,3,0,0
466,1,2,3,1,2,0,1,3,1,0
467,0,1,0,1,2,2,0,3,1,0
468,1,0,5,5,2,0,0,3,0,1
469,1,1,4,3,0,2,0,3,0,0
470,1,2,4,2,1,1,0,2,0,0
471,2,2,4,2,2,0,1,2,0,0
472,2,3,1,0,1,2,0,3,1,0
473,2,2,4,3,1,0,1,3,0,0
474,2,2,5,1,0,0,1,3,0,0
475,0,0,4,1,1,1,1,2,0,1
476,2,2,4,3,1,2,0,3,0,0
477,0,0,0,5,1,1,0,3,0,0
478,1,0,2,1,2,0,0,3,1,0
479,0,1,1,5,2,2,1,3,1,1
480,2,0,1,2,2,0,1,3,0,0
481,2,3,2,2,1,0,1,1,0,0
482,1,3,0,1,0,1,1,3,1,0
483,0,2,2,3,0,1,0,3,1,0
484,1,3,4,2,2,1,1,3,1,0
485,1,2,2,3,1,0,0,3,1,0
486,0,2,4,0,1,0,1,3,0,0
487,1,1,3,1,1,0,0,3,1,0
488,1,0,5,2,2,1,1,3,1,0
489,1,2,1,3,1,0,1,3,0,0
490,0,3,0,5,1,0,1,3,0,0
491,0,2,1,0,2,0,0,3,1,0
492,0,3,5,0,2,1,1,3,0,1
493,1,2,3,1,1,0,1,2,0,0
494,2,0,4,2,0,0,1,3,0,0
495,2,2,3,2,0,0,1,3,0,0
496,0,2,3,1,2,0,1,3,1,0
497,2,1,2,3,1,0,1,3,0,0
498,0,0,0,1,2,1,1,2,0,0
499,2,1,0,2,2,2,1,3,0,1
500,1,2,1,4,0,1,1,2,0,0
501,2,3,3,4,0,2,0,1,0,0
502,0,0,4,0,2,0,1,3,1,0
503,0,1,4,1,2,0,1,3,1,0
504,0,3,0,2,2,1,1,3,0,1
505,1,1,4,2,2,1,0,3,0,0
506,1,1,0,0,0,0,0,3,1,0
507,0,1,5,3,1,0,1,3,1,0
508,0,1,1,5,1,1,1,3,1,0
509,1,3,2,3,0,0,1,1,0,0
510,2,0,4,0,0,0,0,3,1,0
511,0,0,5,1,0,0,1,3,0,0
512,0,0,3,3,0,0,1,3,0,1
513,0,1,0,5,0,2,0,3,0,0
514,1,1,5,4,1,2,0,2,0,0
515,2,2,1,1,0,2,1,3,0,0
516,2,0,3,5,0,0,1,3,0,0
517,1,3,4,3,1,0,1,3,0,0
518,0,0,4,2,0,2,0,3,0,0
519,1,0,3,3,0,0,1,3,0,1
520,1,2,5,4,0,0,1,3,1,0
521,0,0,4,1,1,2,0,2,0,0
522,0,3,0,2,1,0,1,3,1,0
523,1,3,3,0,2,2,0,3,1,0
524,1,2,5,2,0,2,1,3,0,0
525,1,2,0,2,0,2,0,3,0,0
526,1,3,1,2,0,0,1,3,1,0
527,1,0,5,4,0,1,1,2,0,0
528,2,3,2,4,2,0,0,2,0,0
529,1,3,4,2,1,0,0,3,0,0
530,2,0,1,0,1,2,1,3,0,1
531,1,1,5,2,2,1,1,3,0,0
532,1,2,2,5,0,2,0,3,1,0
533,2,2,1,4,1,1,0,2,0,0
534,1,3,0,1,2,1,1,3,1,0
535,1,1,3,0,0,1,0,3,0,0
536,2,3,4,5,2,0,0,2,0,0
537,1,3,3,5,1,0,1,3,0,1
538,1,3,2,0,2,0,1,3,0,0
539,1,2,4,4,0,0,1,3,0,0
540,2,0,5,3,2,0,1,3,0,0
541,0,3,0,2,1,0,0,3,1,0
542,0,1,0,5,0,2,0,2,0,0
543,2,1,5,5,2,1,0,3,0,0
544,2,3,1,0,0,1,1,3,0,0
545,2,3,5,2,2,0,0,3,0,0
546,0,0,0,0,2,2,0,3,1,0
547,2,2,0,4,0,1,1,3,0,0
548,2,2,0,4,0,1,1,3,0,0
549,0,2,2,0,0,2,0,2,0,0
550,1,2,0,2,2,2,0,3,0,1
551,1,1,3,4,0,2,0,3,1,0
552,1,2,0,0,1,0,1,2,0,1
553,2,0,4,5,2,2,0,3,1,0
554,1,3,1,1,1,0,1,2,0,0
555,2,0,1,2,0,2,0,3,1,0
556,0,0,1,0,2,2,1,3,0,0
557,0,1,3,3,1,0,1,3,0,1
558,1,0,5,3,0,1,0,2,0,0
559,0,2,2,0,2,0,1,3,0,1
560,0,2,4,1,1,1,0,2,0,0
561,0,3,2,2,1,1,0,3,0,0
562,2,3,1,3,2,1,0,2,0,1
563,1,3,0,0,2,2,0,3,1,0
564,1,2,3,3,0,1,0,2,0,0
565,0,1,4,1,2,1,1,3,0,0
566,1,2,4,3,2,2,0,2,0,0
567,1,2,0,2,0,2,1,3,1,0
568,0,2,5,3,0,2,1,2,0,0
569,0,1,1,1,2,2,0,3,1,0
570,2,1,1,2,0,0,0,3,0,1
571,0,3,1,3,2,0,0,3,1,0
572,2,1,0,3,1,1,0,1,0,0
573,1,0,1,5,2,0,0,3,1,0
574,0,2,5,0,2,1,1,2,0,0
575,1,3,0,3,0,1,0,3,1,1
576,0,0,5,2,2,1,0,3,1,0
577,1,2,1,3,2,2,0,3,0,1
578,2,1,3,1,0,2,0,3,0,0
579,0,0,5,5,2,2,0,2,0,1
580,2,1,2,2,0,0,1,3,0,0
581,0,0,5,3,0,0,1,2,0,1
582,2,1,2,4,2,2,0,3,0,0
583,2,3,4,1,0,0,1,3,0,0
584,1,0,0,0,1,0,1,2,0,0
585,2,2,2,5,0,2,0,3,0,0
586,1,3,5,1,2,2,1,3,0,0
587,2,2,3,0,0,0,1,3,0,0
588,1,0,2,5,0,0,0,3,0,0
589,0,2,1,3,1,2,0,1,0,0
590,2,1,0,3,1,0,1,3,0,0
591,2,1,2,4,1,0,0,2,0,1
592,2,2,4,0,1,1,0,3,0,0
593,2,1,2,0,2,2,0,3,0,0
594,1,2,4,1,0,1,1,3,0,0
595,2,3,3,0,0,0,1,3,0,0
596,0,3,1,2,0,1,0,3,0,0
597,1,3,2,2,2,0,0,3,0,0
598,1,1,4,4,2,1,0,3,1,0
599,2,1,1,3,1,0,0,3,0,0
600,2,0,2,0,1,2,0,3,0,0
601,0,2,3,1,0,2,0,3,0,0
602,2,0,0,0,0,0,0,3,0,1
603,1,1,5,0,2,0,1,3,0,0
604,1,3,1,4,1,2,1,2,0,0
605,0,0,2,3,2,2,0,3,0,0
606,1,0,5,3,1,0,1,3,1,0
607,1,3,3,3,1,2,1,3,0,0
608,2,2,1,1,0,2,1,3,1,0
609,0,1,4,5,2,2,0,3,0,0
610,1,3,2,3,2,2,0,3,1,0
611,1,2,5,5,2,1,0,3,0,0
612,0,1,0,2,1,2,1,3,0,1
613,1,3,0,1,2,0,0,3,0,1
614,0,1,0,1,0,2,1,3,1,0
615,0,3,5,1,1,1,0,3,1,1
616,1,2,5,0,1,0,1,2,0,0
617,1,2,0,0,2,1,0,3,0,0
618,2,1,3,2,0,0,1,2,0,0
619,2,1,0,2,2,0,0,3,0,0
620,1,1,4,5,2,1,0,3,0,0
621,1,0,4,3,1,0,0,2,0,0
622,1,3,2,4,0,1,0,2,0,1
623,2,0,4,5,0,0,0,1,0,0
624,0,3,3,5,2,1,0,2,0,0
625,2,3,0,1,0,2,1,3,0,0
626,1,3,4,3,2,2,1,2,0,0
627,1,0,0,0,1,2,1,3,0,0
628,1,0,2,2,2,2,1,3,0,0
629,1,3,4,4,0,2,0,3,1,0
630,1,0,5,4,2,2,0,3,0,1
