candidate_id,category,cf_1,cf_2,cf_3,cf_4,cf_5,cf_6,popularity
34,3,-0.4308,0.4946,0.6406,-0.8148,1.847,0.266,0.62
35,13,-0.2135,0.1385,0.7643,0.0108,0.8819,-1.6849,0.6982
36,17,-0.748,-2.1388,1.997,1.984,0.6266,-1.0126,0.2149
37,8,2.3899,-0.6044,-0.2132,0.1595,0.4515,0.6438,0.042
38,1,0.684,-0.1445,0.6681,-0.1892,0.5793,0.4973,0.3636
39,19,0.7628,0.638,-0.4424,0.4587,0.6534,-1.2911,0.0986
40,14,-0.274,0.6081,1.7093,0.8249,1.7724,-0.3984,0.1165
41,6,0.2502,0.8057,-2.3264,1.5108,-1.8609,0.9969,0.2543
42,11,0.6868,-2.3396,-2.2891,1.4325,1.2147,-0.8809,0.2955
43,7,-0.8819,0.5126,-0.0127,1.0544,0.4796,1.583,0.53
44,14,0.9701,0.7208,-0.3521,-0.4253,-0.0518,1.8409,0.6784
45,2,-0.4063,0.2605,-2.2448,0.6758,2.2572,-0.9336,0.5928
46,13,3.1744,0.1822,-2.5729,-0.3855,1.3304,1.9993,0.1484
47,16,0.7181,1.5676,-1.1778,-0.6803,-1.6795,-0.6051,0.1721
48,3,0.7619,0.2127,0.8678,-0.9365,-0.8755,0.2046,0.8788
49,17,-0.6026,1.3018,-0.6274,-0.4954,0.4188,-0.3893,0.5584
50,7,-1.2349,-1.0994,0.5378,-1.3587,1.3972,-0.6904,0.8699
51,3,0.6162,-0.6304,-0.9152,0.2461,1.0518,-0.2474,0.3715
52,1,-0.0655,0.8074,0.8405,-0.0385,-0.4435,0.0827,0.6144
53,5,-0.1909,0.313,-1.1943,0.2772,-0.7183,0.9059,0.5237
54,9,-0.6725,-0.6551,0.4454,0.0142,2.2767,-1.6293,0.3191
55,3,0.1099,1.1296,-0.5783,-0.9106,-0.8709,-1.612,0.4699
56,17,1.3497,-0.3296,-0.448,-2.1241,-1.4337,1.4654,0.5025
57,11,0.3031,1.1665,1.04,-1.0006,2.4298,1.9497,0.2008
58,1,-0.5638,-3.5682,-0.3565,0.2383,-0.5677,-0.2215,0.315
59,9,-0.8287,0.9216,0.0636,0.9515,1.2222,-2.1743,0.7914
60,3,-0.7705,-0.624,2.5714,0.149,0.8126,-1.8807,0.9158
61,13,0.1432,0.9783,0.862,0.6234,0.013,0.0616,0.3598
62,15,-1.6933,-0.9005,0.2309,-0.716,0.6888,0.4668,0.307
63,14,1.3674,0.9583,0.2273,0.748,1.0051,-0.5074,0.1952
64,7,-0.3293,-0.0968,-0.4755,1.0157,-0.6273,1.2517,0.6785
65,13,-0.367,0.4724,0.1664,-0.976,-0.0199,0.3336,0.3231
66,7,-0.0643,-1.3427,1.7014,0.0877,-0.7943,1.6208,0.9877
67,15,0.6174,-1.2002,-1.0445,-0.2224,0.2973,0.6228,0.3257
68,12,0.9502,0.5396,1.3467,0.1268,-0.7596,-0.0034,0.3941
69,17,-0.069,-2.5782,-0.5614,0.3142,-0.4242,-0.6462,0.6033
70,14,0.9114,-0.9165,0.7116,-1.3327,2.7608,-0.2157,0.8017
71,12,-0.3233,1.1431,-0.4187,1.4549,0.3716,-0.1184,0.4695
72,8,-0.225,1.2076,0.2305,0.4323,0.541,0.1329,0.4227
73,14,0.5199,-0.1183,-0.0498,-1.1191,0.2978,-1.7195,0.9956
74,12,0.2836,-0.2806,0.3746,-1.0488,-2.1194,-0.3509,0.0105
75,0,-1.0459,-1.7806,0.768,1.6012,-0.797,-0.0758,0.8951
76,6,-0.3078,-0.6589,0.6637,1.0101,-0.8686,0.0448,0.1491
77,8,1.2845,0.689,0.8377,1.368,1.3548,1.0286,0.7859
78,0,0.1449,-0.3825,0.1035,-0.5344,-1.9525,-0.2795,0.6179
79,11,0.3575,-0.5873,-0.1928,-0.154,1.3569,-0.3594,0.3418
80,7,1.3566,-2.7125,1.3479,1.2974,0.9023,-2.0119,0.8739
81,10,1.0189,-0.0501,-2.5293,1.2982,1.4442,-1.9045,0.0129
82,18,0.1754,1.3886,1.2302,0.8361,-2.6473,0.7295,0.2267
83,16,-0.2181,0.9959,0.2562,-0.0199,0.6409,-0.1719,0.5669
84,7,-0.0243,-0.5552,-1.6054,0.5679,-0.806,-0.2008,0.3515
85,2,0.287,-2.0852,-1.8613,-0.2997,0.4546,0.744,0.6104
86,2,-1.5913,0.6366,-0.2451,-0.8832,-0.6486,0.8019,0.0241
87,0,0.274,0.0503,0.2435,0.9281,-0.0971,0.0543,0.1165
88,4,1.1382,-0.3316,0.6181,-0.5037,-0.4159,-0.104,0.1271
89,9,0.5153,1.1942,0.0965,-1.4998,0.6314,2.4538,0.1893
90,6,0.1087,-1.7088,0.1697,-0.003,-0.0871,0.9454,0.4593
91,8,1.3783,0.6836,-0.1331,1.1257,-1.4938,-0.7161,0.7521
92,6,-0.6046,-0.031,0.5067,-0.2007,-0.906,0.9749,0.9055
93,8,-0.2355,0.1021,0.5511,0.0389,0.0433,1.0305,0.8354
94,7,0.1514,0.8628,0.5447,2.0169,0.4094,0.638,0.1969
95,11,1.1017,0.0636,-0.6379,-0.4741,-0.4645,-0.9503,0.4412
96,1,0.3178,-0.6295,0.1949,-0.1587,-0.0416,0.5561,0.1994
97,0,-0.5419,0.6389,1.5673,0.3431,-0.7821,-0.615,0.2645
98,15,-0.2483,-0.5949,-0.9912,0.1544,-0.2212,0.1897,0.5035
99,4,1.1864,-0.2364,-1.1854,-0.3989,0.7704,0.6768,0.0681
100,2,0.5186,-0.6247,0.7519,0.9769,-0.6954,-0.0416,0.2182
101,11,2.0204,-0.7399,-1.7051,1.3829,1.1366,-0.457,0.9354
102,7,-0.113,-1.2249,0.089,1.1659,-0.5426,0.8771,0.4661
103,2,0.4637,0.5778,-0.4843,-0.3546,-1.8468,-0.5667,0.4454
104,0,1.1635,-0.9293,-0.7803,0.6402,0.4028,0.6899,0.0146
105,2,-1.1632,2.5641,-1.2158,0.1542,-0.1587,-1.1866,0.2474
106,4,-0.3702,0.0233,-0.65,0.9372,-0.1616,-1.3413,0.8663
107,14,-1.4261,0.6062,-1.4868,0.3164,0.4447,-0.9954,0.1646
108,13,0.8907,-1.7178,0.2965,-0.0409,-0.119,-1.1779,0.4151
109,2,-0.937,1.6188,1.2152,0.7421,0.9398,0.846,0.0143
110,0,-0.3234,0.0476,-1.4725,-0.0897,1.1834,-0.6607,0.4783
111,4,1.0231,0.0916,-1.3854,-1.1073,0.9193,0.5525,0.021
112,13,0.1018,-0.274,0.2106,0.8803,1.4759,1.5237,0.8196
113,6,0.372,-0.1719,0.1462,0.5221,0.5181,1.308,0.8249
114,8,2.1158,-0.2053,2.1559,1.1722,-0.1008,1.4986,0.7877
115,14,1.6856,-0.4603,1.7322,1.0751,2.3686,-0.424,0.2834
116,14,-0.3534,-2.0267,0.5712,0.3753,-0.563,-0.0819,0.8372
117,9,-1.3112,1.1984,-0.4897,3.094,-0.1756,-0.7596,0.543
118,12,-0.4123,-1.412,0.4823,-0.4199,1.1313,-0.2747,0.3738
119,18,1.3844,0.7575,0.0286,1.5802,0.9523,2.9462,0.6253
120,6,-0.4095,0.0766,1.5687,-1.5435,1.3169,0.4393,0.0123
121,16,-0.8882,-1.363,-0.6725,-2.2848,-0.4895,0.6226,0.143
122,19,-0.4763,1.3883,1.6599,1.2756,0.2306,-2.3247,0.7423
123,3,-0.7037,-0.142,-0.8939,-0.1395,1.6101,-1.6458,0.2442
124,4,1.8117,0.8847,0.2682,-0.7136,-0.874,-1.6262,0.598
125,6,1.7168,1.5376,-1.4063,-0.5526,0.4331,-0.2995,0.3851
126,12,-1.9187,-0.6578,1.951,-0.59,-0.1635,-1.1452,0.8548
127,14,0.5878,0.1152,-0.742,-1.3047,1.4045,-1.6055,0.9524
128,10,0.5038,-2.1539,0.7072,0.9703,1.0948,-0.1612,0.8836
129,3,1.584,2.3078,-0.3216,-0.451,0.1492,-0.4777,0.2706
130,12,-0.6239,-0.5367,1.7158,0.7719,-0.4809,-2.4551,0.1942
131,6,-1.5445,0.5034,-2.1216,0.293,-1.0656,0.0918,0.4744
132,18,0.0639,0.1206,-0.3944,-0.4273,-0.7208,0.4839,0.0073
133,1,0.8052,-1.219,-0.0516,0.1966,0.1838,0.1668,0.0258
134,9,-0.402,0.279,0.618,0.141,0.5059,0.9904,0.5533
135,12,-1.8509,0.9435,0.3424,-1.1116,0.8025,-0.3983,0.5204
136,5,-0.262,-0.5077,0.3024,-0.7854,0.9015,-0.1389,0.9946
137,11,-0.3642,0.7529,-0.3196,0.9482,0.9796,-1.3348,0.2018
138,11,1.1093,-1.462,1.1716,2.0284,0.8748,-2.157,0.2581
139,19,1.0636,2.2461,-0.303,-0.0347,-1.1885,0.3121,0.1135
140,10,1.2692,0.6977,3.142,0.033,-1.6307,0.171,0.9175
141,6,-2.4165,-0.5331,1.6244,0.3251,0.1794,1.8208,0.7778
142,0,-0.2706,1.2618,0.1293,0.38,-1.2173,-0.482,0.8223
143,0,-1.3975,-0.0952,0.3904,-1.11,2.0492,0.2781,0.9028
144,19,0.0578,0.7697,-0.8289,0.1635,-0.7169,1.5587,0.5249
145,12,-1.0586,0.0632,0.3293,0.3948,-0.5812,-0.8955,0.4512
146,8,-0.5668,0.5283,-0.1438,0.7962,0.477,-2.2769,0.3304
147,2,0.2475,2.2505,1.3253,0.422,-1.0594,0.4776,0.5892
148,6,0.7397,-0.2537,0.3167,1.5097,-0.8573,-1.0583,0.4543
149,5,0.6927,0.4575,1.0288,0.5698,-0.5678,0.4322,0.4516
150,7,-1.1421,-0.2503,0.5028,-0.3605,2.4681,-1.8922,0.9369
151,8,-0.5475,-0.9378,-0.7003,-0.643,-1.3264,0.7527,0.984
152,4,-0.5471,0.1636,-0.4348,-0.6909,1.6723,0.9229,0.7965
153,0,-1.8682,-1.9741,1.0426,-0.5199,-1.6491,1.0457,0.7568
154,18,0.1691,0.2516,0.8095,-1.31,-1.6315,1.581,0.6806
155,9,-1.4372,-1.2222,-1.0224,2.0799,0.4934,0.9654,0.1661
156,11,0.1962,-0.6019,0.6313,-1.5566,-1.0953,0.733,0.0591
157,14,-1.3573,-0.1891,-0.1435,-0.5287,-1.9511,-0.6289,0.6907
158,8,-0.825,0.1614,0.1105,0.378,-0.676,0.5228,0.7288
159,19,-1.556,-1.8219,-2.3356,-0.4993,-0.7533,0.7893,0.047
160,16,-0.6487,0.2734,0.8133,-0.6863,0.2981,1.0019,0.9281
161,16,-1.2382,0.0249,-0.682,-1.1745,-1.5365,-1.1906,0.0911
162,19,0.06,-1.6108,-0.5507,0.8132,0.449,-0.5305,0.2859
163,11,1.6897,1.893,0.0261,-2.4685,0.8864,-2.294,0.6724
164,6,1.4761,1.0836,1.7742,0.2603,-0.3614,-0.4501,0.1699
165,1,-0.5463,0.9811,0.7123,0.1202,-0.7222,2.6292,0.0554
166,2,0.9124,-1.5977,-0.5163,0.9318,-0.7995,0.3515,0.3311
167,16,0.9508,-3.3884,-0.108,-0.0688,-0.4121,0.3017,0.766
168,4,0.6575,0.1421,-0.3738,0.6326,0.0491,-0.2307,0.4137
169,16,-1.3123,-1.5627,-1.3312,0.2783,-0.0791,-1.4803,0.653
170,16,0.6459,1.3743,-0.5985,-1.741,-0.7091,0.8545,0.5796
171,16,0.5485,-0.9224,1.5212,1.3483,-0.733,-0.7433,0.0222
172,1,-0.5928,-0.5073,0.9505,0.4253,0.8771,0.6736,0.9885
173,1,1.7145,-1.0594,0.3804,-2.1738,-1.317,-0.0749,0.0414
174,4,0.4182,-0.1018,-0.5672,-0.3894,1.3694,-0.384,0.9678
175,0,1.7492,0.794,0.4575,-1.1936,0.9352,-0.4938,0.5499
176,0,-1.1944,0.5128,-1.3879,-0.7622,-0.0101,2.2184,0.9632
177,18,-0.6869,-0.4582,0.7323,-1.2383,0.4428,1.2059,0.1148
178,1,-0.3071,1.0262,0.2914,-0.7307,-0.1978,-0.3798,0.4904
179,11,-0.0876,0.1527,0.5882,0.5087,-2.4317,-0.0973,0.1695
180,5,-1.5094,-0.2757,-0.1238,0.9761,-0.0301,0.2592,0.051
181,3,0.7931,1.2278,-0.123,0.0942,0.01,-0.5426,0.6175
182,10,-0.7691,-2.2719,-1.0767,-1.7786,1.2552,0.1884,0.2078
183,16,-0.1259,-0.7175,0.0298,-0.848,0.174,0.2457,0.5877
184,5,-0.8614,-0.8805,0.9622,-0.0529,-0.781,-0.3705,0.1124
185,4,-1.0106,-0.0672,0.8316,-0.0277,2.3636,0.4214,0.332
186,19,0.23,-0.9083,-0.2385,-0.779,-2.1656,0.9743,0.7816
187,1,-0.5115,-0.7604,0.2106,0.5125,-0.3208,-0.0026,0.4371
188,5,0.7462,-0.3602,0.3023,-1.6592,-1.2413,0.6055,0.6277
189,10,-1.2936,0.2341,-0.147,-0.3645,-0.8285,0.9093,0.6475
190,15,1.7299,0.3002,0.3225,-0.6823,-1.1961,-0.0397,0.8438
191,15,-0.9737,-1.7726,0.8034,0.8522,-0.8588,0.244,0.3249
192,0,1.002,0.205,-1.1932,-0.2329,1.3268,0.247,0.6873
193,8,0.5391,0.3416,-0.8555,-0.6208,0.3389,0.8169,0.9616
194,5,1.0999,-0.8581,0.4331,1.187,-0.9871,1.4867,0.7302
195,15,1.6389,2.6251,0.2309,0.2364,0.827,0.7978,0.4899
196,2,1.1264,0.784,-0.1061,1.222,-1.0713,0.0059,0.6307
197,19,1.5637,-1.2502,-0.6775,0.6717,0.3939,-0.875,0.7397
198,3,-0.4162,-1.1808,0.9805,-0.2559,1.7922,0.0811,0.6123
199,18,-0.2197,-0.3168,-0.2442,0.1108,2.5124,-0.3389,0.0167
200,2,-0.3064,0.0656,1.0903,-1.421,0.4551,-0.8174,0.1948
201,18,0.5533,-0.4938,-2.3041,0.3696,0.3611,-0.5791,0.8105
202,19,-0.6383,-1.3114,0.7731,0.8822,-0.8791,-0.5399,0.2727
203,6,-0.0633,2.2709,0.5451,-0.9434,0.3038,-1.3767,0.7316
204,19,0.718,1.6755,1.6798,0.7349,-0.5834,-1.3009,0.3721
205,8,-1.4002,-2.8062,0.6939,-0.1028,0.9092,1.428,0.5219
206,0,0.0999,0.146,-0.4643,-0.3461,0.7285,-0.1744,0.068
207,7,-0.319,-0.0183,0.8863,-0.6927,-0.0665,0.2453,0.1812
208,6,1.1602,-0.2393,-0.7178,-0.4844,1.0531,2.0333,0.9572
209,17,-1.3138,-1.0953,-0.1688,0.111,0.787,-0.8911,0.8901
210,7,-1.0631,0.1381,-0.2584,0.9267,0.4874,0.5554,0.6523
211,0,-0.1045,2.3556,-0.8377,0.6108,-1.2697,-1.0735,0.4596
212,10,-0.6073,1.6293,0.2639,-0.5905,0.3744,0.0351,0.6758
213,17,-0.492,-1.3966,1.4385,0.2098,2.1737,0.9403,0.6186
214,9,0.5513,-0.4352,-1.0953,-0.2177,-1.1243,0.6502,0.5686
215,2,1.6327,-0.2609,0.9445,-0.6892,-0.3025,-0.815,0.0592
216,6,-2.1331,-0.0365,0.1285,1.0659,0.7954,0.809,0.6328
217,15,-0.974,0.4595,1.5826,0.3799,1.8286,2.019,0.7689
218,15,-0.2685,-0.6969,-0.7615,-1.5161,-0.5184,1.2077,0.9941
219,19,-2.204,-1.0375,-0.1271,-0.8772,-0.5273,-0.5123,0.0111
220,16,-0.2575,-0.7295,-0.8112,0.9343,1.0497,-1.3805,0.7302
221,1,-2.7596,1.0634,-1.2288,0.2127,-1.5657,1.2978,0.5718
222,0,2.5437,0.1828,-0.0941,-0.3221,0.7818,0.5677,0.4341
223,15,1.0035,-0.6279,0.3401,-0.5425,-1.0577,-0.041,0.1276
224,11,-0.9225,1.1737,-0.8619,0.3635,-0.6034,0.2771,0.4091
225,4,-0.524,-1.2572,0.4838,-0.2354,0.286,-0.4288,0.3544
226,4,-1.3279,1.0832,0.7368,-0.567,0.0698,1.042,0.3028
227,8,-0.457,-0.3019,0.2436,-0.4591,0.8571,-0.1689,0.7309
228,8,-0.784,0.6086,-1.1421,2.0149,1.5825,0.5135,0.7007
229,2,0.4293,0.3824,-0.4891,0.2973,-0.9231,0.5038,0.589
230,18,0.8678,-0.3781,-0.5951,-1.2125,1.458,-0.5157,0.9387
231,15,-0.1987,0.3002,0.2822,0.7466,-0.3793,-1.1387,0.3499
232,15,-1.3137,-0.5793,-0.9519,-0.3036,1.3076,-0.3773,0.2438
233,2,-0.3777,-0.0164,-0.4056,-0.0674,0.5409,0.8848,0.6559
234,19,1.0032,2.0569,0.5694,2.2345,-0.7765,2.0913,0.1988
235,0,-0.3804,-0.282,-0.1199,-0.2186,0.0858,-0.58,0.315
236,19,0.83,-0.5528,0.6556,1.5277,-0.3571,0.7944,0.2246
237,10,0.5592,2.2529,-0.5048,0.7951,-1.626,-0.4959,0.0692
238,16,0.3534,1.3932,-1.2259,0.7861,-0.0632,-1.5215,0.8275
239,7,0.1816,1.7092,-1.1204,-0.1099,-0.9866,-0.4686,0.2545
240,3,1.4322,-0.2715,1.4016,1.1091,-0.3627,-0.5026,0.473
241,5,-0.896,-0.9309,0.3532,-0.0198,-0.6236,-1.5488,0.0433
242,7,0.1062,-0.4696,-0.1953,0.3047,-2.5018,-1.5333,0.6993
243,19,2.2964,-0.5066,-2.5174,-1.4499,2.4845,-0.703,0.3306
244,2,1.159,0.1211,-0.485,0.7754,-2.3844,-1.4411,0.7447
245,15,-0.4924,-1.3429,-0.5808,0.8537,0.1321,1.3306,0.4124
246,2,0.1954,0.9925,-0.0641,-0.5903,1.4806,-0.7094,0.1958
247,17,0.3438,0.7689,0.8415,-1.1654,1.052,-0.979,0.5132
248,13,0.8107,0.5352,0.8186,-1.205,0.5879,1.0856,0.1305
249,17,0.1934,-0.8186,0.9197,0.1139,-1.6744,-0.8962,0.4405
250,1,-0.5263,1.5058,1.3302,1.327,0.2324,0.9136,0.3173
251,2,-1.1408,0.0068,0.4516,-1.0749,0.2099,1.6866,0.912
252,15,0.5588,0.9175,-2.4524,1.558,-0.1861,-0.7687,0.0609
253,8,-0.1746,-1.485,1.0479,-0.3354,-0.7386,-0.1681,0.694
254,3,1.118,0.1315,-1.4097,0.465,-0.929,-2.1561,0.1828
255,0,1.496,0.4572,-0.0783,-0.3456,1.3971,3.0872,0.319
256,3,0.4488,-1.0296,-0.1545,0.4306,-2.3495,0.3345,0.4155
257,0,0.4364,1.3263,1.2221,0.1112,1.5146,2.0357,0.908
258,13,0.028,0.4182,-1.7673,-1.451,-0.8382,-0.4436,0.2426
259,15,-1.0961,-0.036,-0.4137,1.0709,-0.4748,-2.2867,0.0913
260,19,0.1258,-0.0142,-0.862,0.095,-1.0753,0.3298,0.3187
261,7,2.6329,-1.8056,-0.5162,-0.6765,-0.4333,1.0199,0.1047
262,6,0.5428,0.8488,0.0305,-1.3221,-1.1147,0.7463,0.1286
263,2,0.1708,1.2602,0.2933,-1.183,-0.5219,0.5648,0.5739
264,16,0.7103,0.8551,-1.0485,-1.201,-0.1898,1.4401,0.0609
265,0,-0.6939,0.455,0.4551,0.7608,1.6644,1.5619,0.0309
266,15,-0.5946,-2.0979,-0.6785,0.0757,-0.3616,1.9679,0.7144
267,11,0.0188,0.6537,0.2172,-0.3466,-1.9248,-0.0786,0.3616
268,18,3.2546,-1.2445,-1.8149,1.9364,0.7421,0.1874,0.1254
269,13,1.3627,-0.8315,-0.1066,0.9552,2.1104,-1.1685,0.2536
270,5,1.2807,0.3818,0.1631,-0.0077,-1.3846,0.9631,0.6421
271,5,-0.7823,-1.0797,0.8855,0.7891,0.079,1.0795,0.2755
272,12,1.4259,1.3082,-0.5283,1.0141,0.2116,1.7259,0.4945
273,18,-0.1237,-0.3565,-0.6138,0.1893,0.4667,0.486,0.1217
274,7,0.3492,0.671,-0.2225,-0.8725,-0.9598,0.9751,0.5881
275,1,0.4703,-1.8558,1.0968,1.8804,-0.7159,0.3362,0.3161
276,0,-0.4735,0.6283,-1.166,-0.0714,0.9813,1.2357,0.627
277,14,0.4265,-0.339,-1.5926,-0.7575,-0.4693,-0.6977,0.8084
278,0,0.0596,-0.3419,0.1721,1.2026,-0.4065,-1.3829,0.6116
279,4,-0.7017,0.5836,0.6779,0.4061,1.3007,-0.1864,0.2957
280,15,2.0522,0.8182,-2.5235,1.8007,-0.767,-1.0341,0.2557
281,18,0.5238,-1.7382,-0.6955,1.5571,0.5562,0.8122,0.3274
282,3,-0.6569,-1.5384,0.7068,0.9303,0.885,0.2091,0.1646
283,2,-0.9671,2.4378,0.4798,-0.1739,-0.1694,0.1496,0.1812
284,16,1.0696,0.1896,0.8585,0.1514,-0.1124,0.6413,0.7907
285,16,0.6033,-0.1696,-0.7492,0.3417,0.0783,-0.5549,0.3847
286,11,-0.8424,0.4105,0.5501,-0.36,-0.5799,-0.8303,0.436
287,13,0.3823,-0.804,2.2411,-0.4103,-2.4252,-0.0302,0.594
288,5,-0.073,1.1117,0.2881,-0.8338,-0.2864,0.3274,0.5897
289,2,-2.1647,1.3386,-0.8312,1.417,0.3925,0.6296,0.0674
290,8,1.1494,0.5731,0.6729,-0.1644,0.3722,-0.5875,0.8315
291,4,-0.3434,1.9647,-0.8082,0.1543,0.1135,-0.3108,0.1773
292,16,0.5144,0.5897,-0.9258,0.1014,-1.0824,0.7885,0.7231
293,13,0.1765,0.0823,0.659,-0.2755,0.914,-0.9484,0.7727
294,2,1.4119,-0.5509,-1.6962,-0.3285,-0.442,-0.3361,0.7149
295,0,0.2316,1.0978,-0.1917,-0.6916,-1.1265,-0.4682,0.579
296,19,-1.8878,-0.7251,1.2441,-0.8234,0.6287,-1.2265,0.0146
297,0,1.7711,1.8376,0.591,1.9913,0.3558,0.7685,0.3604
298,2,1.2619,0.1797,-1.5524,0.789,-0.4719,-0.3975,0.6048
299,17,0.2979,0.5663,0.1501,0.6357,-0.7069,-0.0427,0.3875
300,9,0.8491,1.7728,2.1264,0.433,0.84,1.9816,0.8635
301,2,-0.6708,0.6297,0.7683,1.4479,-1.1371,-0.9394,0.3088
302,7,0.0214,0.3777,1.1229,0.5175,-0.1514,0.4165,0.2935
303,13,0.301,1.745,0.1657,-0.3831,0.4496,0.1985,0.266
304,17,-1.571,-0.0157,-0.1007,-0.5439,1.0356,-0.7857,0.3328
305,14,0.4556,-0.1479,0.1077,0.4118,-1.3076,0.1917,0.5574
306,1,2.2889,-1.5568,-0.0576,1.1232,0.3016,0.688,0.707
307,9,-2.3757,0.5982,-0.7617,0.3099,-0.0294,2.2783,0.6626
308,1,0.5467,-0.1126,-1.5097,0.1211,0.8232,-0.0806,0.8077
309,16,-0.5057,-0.5726,0.5351,0.7594,1.3612,-0.995,0.8859
310,7,0.526,-0.1217,-0.0922,0.4018,0.4077,0.5288,0.8161
311,0,-1.0575,-0.7498,1.4859,-0.2206,0.306,1.0547,0.0189
312,8,0.4634,0.5465,0.8946,-2.1167,-0.49,0.4686,0.7359
313,10,1.3876,0.0661,-0.8447,-0.8181,0.8839,-0.2178,0.2084
314,15,-0.0072,0.615,-2.9015,2.0004,-0.7311,0.2419,0.1329
315,6,-1.7047,-0.4225,1.2447,-1.9162,1.1262,-0.2737,0.6385
316,9,0.4872,0.6575,0.4414,-0.865,-0.3645,-1.4616,0.3197
317,2,0.4918,1.7021,-1.8244,-0.7616,-0.1818,0.1733,0.0571
318,17,0.8792,-0.1522,-0.316,1.1031,0.662,0.539,0.1376
319,12,0.1125,0.9832,-0.6563,-0.7927,0.7461,-1.625,0.0009
320,6,0.0922,-0.3166,-1.4058,-0.9313,-0.109,1.034,0.9032
321,3,-0.653,1.2134,0.0632,1.3104,-0.6045,-0.0488,0.0246
322,12,0.3685,-0.1795,0.953,-2.2076,2.4224,0.8578,0.2095
323,19,-0.1735,-0.5523,-0.8664,0.6456,0.995,-0.1625,0.4163
324,0,1.107,-0.9073,-1.0838,1.8133,0.5911,1.3968,0.3566
325,7,-0.8539,-0.9235,-0.3586,-0.8241,0.7054,-0.7511,0.9117
326,13,-1.1717,0.142,-1.29,-1.7995,0.1333,-1.7492,0.0403
327,15,0.7753,-1.3953,-2.2407,-0.2938,0.1446,0.4915,0.5122
328,13,0.172,-1.0593,0.7131,0.9601,-1.2058,-0.181,0.6805
329,11,-0.2744,0.2204,-0.2049,-0.0679,0.6418,-1.1139,0.9317
330,18,0.7374,1.1411,1.6341,-2.1434,-0.1829,-1.9651,0.6204
331,14,-2.4351,0.1441,-0.3992,0.2999,0.4861,1.2479,0.8038
332,1,0.0539,2.9234,0.3064,1.8425,-2.3328,1.3497,0.0837
333,1,-0.1808,-1.9483,0.4205,-0.303,0.5801,1.0111,0.3859
334,18,-1.4892,1.0149,0.0065,1.3528,-0.2051,-0.4704,0.3739
335,16,0.0271,0.1019,-0.6628,-0.4963,-1.2269,-0.4346,0.8863
336,19,0.6763,-0.1374,1.0091,-0.1854,-1.4315,0.5973,0.1514
337,9,-0.6736,-0.2334,1.2376,-1.1609,0.1647,-0.0405,0.1519
