sample_id,source,target
12335,vim gar FUT PL GEN IND ACT,garanrulonun
11544,te vukun PST PL GEN SBJ CAU,vukunsokonuntoksa
11356,be pezvilru HAB DU GEN IMP MID,pezvilruzurvunlemde
2676,som dota HAB DU ACC IND PAS,dotandurvotmaf
28738,lam kuvoma HAB SG GEN IMP CAU,kuvomanduruntogdo
29995,ki kurovan PST SG GEN IMP CAU,kurovansokuntogdo
20747,gar girenki PST DU GEN SBJ CAU,girenkitegvintikse
13375,no lubopfo HAB PL DAT IMP MID,lubopfoduronkalemde
17986,dip gaski PRF DU ACC IMP ACT,gaskineshevedde
7885,gu kap HAB DU ACC IMP PAS,kabdurvotnavdo
13332,vu kozkikor PRS SG ACC SBJ PAS,kozkikorotnafsa
9585,ro ziba HAB DU DAT IMP CAU,zibadurvakatogdo
6332,gi pufovu HAB PL ACC IND ACT,pufovuzurot
24429,zer gek HAB SG ACC IND CAU,gegdirettig
18079,se kovo FUT DU ACC SBJ CAU,kovorulvottaruksa
5201,di sufi PRS PL GEN SBJ PAS,sufeninnefse
747,vaz tipimuk PST SG NOM SBJ MID,tipimuktoklamsa
9760,vim bezul HAB PL GEN IND PAS,bezulanduronunmaf
29612,fid kakepu FUT PL ACC SBJ MID,kakepurulonotlemse
19992,gis gena FUT PL NOM IMP PAS,genarulonnuvdo
23189,taf butral PRF DU ACC SBJ PAS,butralnashavotnafsa
25535,zut zitre PST PL GEN IMP ACT,zitretekinde
17963,mar vefovuv PST DU NOM IND PAS,vefovuftogvanav
25246,ra bigosser PRS SG NOM SBJ ACT,bigosserese
5081,dip gunkitil PRS DU NOM IMP CAU,gunkitilevetigde
9350,ros fivbo FUT DU GEN IMP MID,fivborulvunlemde
10982,tot pavebne PRS DU NOM IMP PAS,pavebnevenevde
23621,gig nilirdi PRS PL NOM IMP PAS,inilirdennevde
13235,go puz PST PL NOM IND ACT,pustokon
19367,som lizat PRS PL DAT IMP CAU,lizatanonkatogdo
1190,tel vifutvap PRF DU DAT SBJ MID,vifutvapnashavakalumsa
821,som ziba PST SG DAT IMP ACT,zibantokkado
15878,vus zuzizu FUT DU NOM IMP MID,zuzizurulvalemde
20497,rog duz PRS SG GEN IMP PAS,duzunnavdo
9419,gig gobnosuz HAB DU DAT SBJ MID,gobnosuzdgrvakalemse
28100,zer dimapu FUT DU GEN SBJ ACT,dimapurulvunsa
8892,gaf nokvu FUT PL ACC SBJ ACT,nokvurulonotsa
4461,tot getug HAB SG ACC IMP ACT,getukturoddo
25229,vi doba PST DU ACC SBJ MID,dobasogvotlamsa
29985,si gemiz HAB PL ACC SBJ PAS,gemizzirenetnefse
12606,ka dapaton FUT DU DAT SBJ CAU,dapatonrulvakatruksa
25978,ro feve HAB DU DAT SBJ MID,fevedirvekelimse
19132,gu delpuzo FUT DU DAT IMP CAU,delpuzorulvakatrugdo
14740,rug gises PRS DU DAT SBJ PAS,gisesevekenefse
12146,ki pepmo PRS DU NOM IMP MID,pepmavalemde
2744,pef kozkikor HAB PL DAT SBJ MID,kozkikorturonkalemse
10114,pil nipna HAB SG GEN IND ACT,nipnadurun
2383,saf sobvus PST PL NOM IND ACT,sobvustokon
9153,kak sumo HAB PL GEN SBJ MID,sumoturonunlemse
1406,ki kutiket PRS PL ACC IMP CAU,kutiketenetigde
16560,vo rur PRF SG GEN IMP MID,rurnashunlumdo
19361,mar livob FUT DU GEN IMP ACT,livobrulvundo
10342,gid liddu PST DU ACC IND ACT,liddutogvot
27756,mes bigosser PRF DU GEN IMP PAS,bigosserneshevinnevde
17614,pil letus HAB PL DAT IMP PAS,letuzduronkanavdo
19906,ros fusdeb PRS PL ACC IMP MID,fusdebenetlimde
24530,no temet PRF SG DAT SBJ MID,temetneshekelumsa
27308,ban fafraf FUT PL NOM SBJ ACT,fafrafanrulonsa
17788,ne tepo FUT DU ACC IND PAS,teporulvotnuf
13075,gid mudki PRS PL NOM SBJ ACT,mudkense
22089,vo pamudo PRS SG DAT IND CAU,pamudakatog
28573,rog povev PRF PL DAT SBJ MID,povevneshenkelumsa
20568,kut tufgepe HAB PL ACC SBJ CAU,tufgepetirenettikse
17890,mar tibipep HAB PL GEN IND PAS,tibipebdireninnef
16837,go gitno PRF DU NOM SBJ ACT,gitnonashavasa
6552,rus letavir PST DU ACC SBJ CAU,litovertegvettikse
19637,zer ruptur PRF PL ACC IND MID,rupturnashonotlum
18294,gi rada FUT PL ACC IND MID,radarulonotlem
2876,gu baka FUT PL GEN IMP CAU,bakarulonuntarugdo
2982,ba luf PRS DU NOM SBJ ACT,lufavasa
17410,zer goniso FUT SG DAT SBJ CAU,gonisorulkatruksa
15162,no dapizdam PRF SG NOM IND MID,dapizdammanashalum
2153,pef zafo PRF SG NOM IMP ACT,zafonashado
18700,lam kutiket PRS PL ACC IND PAS,kutiketenenetmef
7667,bi bonezo PRF PL NOM IMP ACT,bonezolashondo
15243,fo vefiso FUT SG GEN IND CAU,vefisoruluntarug
16857,mar rada PST DU GEN IND MID,radotogvunlam
13961,sa fonesel FUT PL GEN IND ACT,foneselrilenin
217,rug gar PST DU ACC IMP CAU,gartogvottogno
23287,na podupge HAB SG ACC IND CAU,podupgedirettig
2213,zop nilirdi PST SG ACC IND MID,nilirditeketlam
6580,di kakepu FUT SG DAT SBJ PAS,kakepurflkanufsa
27602,lug goloven PST SG NOM SBJ ACT,goloventekse
19376,seb supkur FUT DU DAT SBJ MID,supkurrulvakalemse
7539,na vino HAB DU DAT IMP PAS,vinodurvakando
14976,ban safi PRF DU DAT IMP PAS,safenneshevekemevde
10128,ma vototi PRS PL GEN SBJ CAU,vototenintikse
5705,pef petudro PRF DU GEN IMP PAS,petudronashavunnavdo
5953,zop povev PRS PL NOM IMP CAU,poveventigde
538,po gitno PRF PL DAT IMP CAU,gitnonashonkatovdo
21663,fiz deflup HAB PL NOM SBJ PAS,deflubduronnafsa
21567,mes pebmi PRS DU GEN IND CAU,pebmevintig
28982,fo mezmaf PRF PL NOM SBJ PAS,mezmafnashonnafsa
7427,saf gonkuk PRF PL GEN IND PAS,mellenesheninnef
20725,pik rovpe PRF DU ACC IND ACT,rovpeneshevet
4181,ki fatu FUT SG ACC IMP ACT,faturuloddo
18701,rug zuvaz HAB PL GEN SBJ ACT,zuvazduronunsa
15414,seb zabeb HAB SG GEN IMP MID,zabebdirinlimde
12154,rug gitan PST DU GEN SBJ PAS,gitantkgvunnafsa
579,kit zavi HAB SG DAT IMP ACT,zavitirkede
2168,si dagdi PRF SG DAT IMP MID,dagdileshekelumdo
24419,tel rupokdu PRS DU NOM SBJ MID,rupokdavalemse
250,pef zuzizu PST DU GEN IND CAU,zuzizutogvuntog
15692,sod dubmipki PST SG GEN SBJ ACT,dubmipkitekinse
9971,dar monod PST PL ACC SBJ CAU,monottokonottoksa
16180,gof buror PST SG ACC SBJ ACT,burobtokotsa
11489,ve kakepu PST DU GEN IND PAS,kakapusogvunnav
9144,mar mezmaf PST PL DAT IMP ACT,mizmoftokonkaio
29432,gi zabeb HAB SG NOM IND PAS,zabebzirnef
25790,fiz sonpa FUT DU DAT IND ACT,sonparulvaka
5771,nar dongobu HAB PL DAT SBJ CAU,dongobuduronkatoksa
26746,fo rudenze FUT PL ACC IMP ACT,rudenzerilenedde
2325,taf delpuzo FUT SG DAT IND MID,delpuiorulkalem
15430,zut gumedpi HAB DU NOM IND CAU,gumedpitirvetig
430,zu nilirdi HAB SG GEN SBJ CAU,nilirdidirintikse
10768,na saras PRS PL DAT IND CAU,sarasonkatog
2532,bi baza PST SG GEN SBJ CAU,bazasokuntoksa
2457,ko kapan PRF PL GEN IMP ACT,kapannashonundo
19186,fiz ninefef PRS PL DAT SBJ PAS,ninefefenkenefse
27235,var tosmagi PST SG GEN IMP MID,tosmagitekinlamdo
22291,saf pebu PST SG GEN IND MID,pebutokunlam
11212,tel dozug PST SG NOM IMP PAS,dozuktoknavdo
505,re petu HAB SG GEN IND MID,petuzuruflem
23112,sa lompulov PRS DU DAT IMP CAU,lompulovavdkatogdo
18779,vaz vozo PRS SG GEN IMP PAS,vozuniavdo
19082,zef dike HAB SG DAT IMP CAU,diketirketigde
17894,ve zuvaz PRF PL GEN SBJ PAS,zuvazzalashonunnafsa
19006,seb kafesel PRF PL ACC SBJ MID,kafeselleneshenetlumsa
19690,vim rifortam HAB PL NOM IMP CAU,rifortamandurontogdo
27093,si delpuzo PRF SG DAT IND CAU,delpuzolashakatov
23179,gaf sisefma PST DU DAT SBJ ACT,sisefmatogvakasa
12626,rus vul FUT SG GEN SBJ ACT,vulrulunsa
3834,seb luzfod PRS SG DAT IND CAU,luzfodakatog
1330,ve rero HAB SG NOM IND MID,rerozurlem
21466,vo kunto HAB SG NOM IND CAU,kuntodurtog
23828,zun saso HAB PL DAT IND PAS,sasanduronkamaf
2541,ru lizat PST SG DAT IND CAU,lizattokkatog
28612,re favo PRS SG NOM IMP MID,favalemde
21995,zev rupokdu PRS DU DAT IND ACT,rupokdavaka
11899,taf losif PRS PL ACC IMP CAU,losifenetigde
25872,bi saras HAB DU GEN IND CAU,sarazzurvuntog
26225,tot nivu PRF DU DAT IMP ACT,nivunashavagdo
15805,seb vasvupud PRF PL DAT IND ACT,vasvupudnashonka
9555,bi puzzo HAB SG ACC SBJ PAS,puzzozurotnafda
7567,pef poperil PST PL ACC SBJ PAS,poperiltekenetnifse
3507,ki rifpo FUT DU ACC IMP CAU,rifporulvottarugdo
8834,ror saras PRS PL NOM IMP PAS,sarasonnavdo
18784,ve zasa PRF DU DAT SBJ ACT,zasalashavaksa
29857,rer vupda HAB DU ACC SBJ ACT,vupdadurvotsa
23587,gig buror PST DU ACC IND CAU,burortogvottog
28267,di buvikzub HAB DU NOM IMP PAS,buvikzubzurvanavdo
5844,rus likbe PST SG GEN SBJ CAU,likbetekintikse
26476,ror gar PRF PL DAT IMP CAU,garnashonkatovdo
24198,pil kafesel PST DU GEN IMP PAS,kafesiltegvinnivde
28881,kak nesiv HAB SG ACC SBJ PAS,nesiftiretnefse
4845,ni sazov PRS DU ACC SBJ PAS,sazovavotnafsa
4985,ro lipusa HAB PL GEN IND MID,lipusaduronunlem
23399,li nikor HAB PL ACC SBJ PAS,nikorzuronotnafsa
25569,ved bodfa PRF DU NOM SBJ ACT,bodfauashavasa
20262,rus folatdu FUT SG NOM SBJ PAS,folatdurulnufsa
20856,be vefiso FUT PL DAT IMP CAU,vefisorulonkatrugdo
26822,gid vevriz PST PL ACC SBJ CAU,vivrestekenettikse
9317,te sakvav PRS PL GEN IMP CAU,sakvavonuntogdo
25506,gis mavifap PRS DU NOM SBJ MID,mavifapavalemse
14847,li kosu HAB DU ACC IND ACT,kosuzurvot
7842,kig buvikzub HAB DU DAT IND PAS,buvikzubdurvakan
28647,lu keto PRS SG NOM IMP ACT,ketado
29984,zef rada HAB SG NOM IMP PAS,radaturnavdo
13048,ka notzus PRF DU DAT SBJ ACT,notzusnashavaksa
25099,pil pegre HAB SG ACC SBJ PAS,pegrediretnefse
14856,se selasu PRF DU ACC SBJ CAU,selasulashavottofsa
25013,rus kafesel PST PL ACC IND CAU,kafesiltekenettig
10739,vum tegmefep FUT DU DAT IMP ACT,tegmefepenrilvekede
16094,ba niluvob PRS DU GEN IND CAU,niluvobavuntog
2208,rer valiki PST SG GEN IND PAS,valikitekinniv
18840,mar kelkozef PRS PL DAT IMP MID,kelkozefenkelimde
28272,vi dorpokto PRS SG DAT IMP CAU,dorpoktakatogdo
22372,te delpuzo HAB DU DAT IMP CAU,delpuzozurvakatogdo
2266,gi dagakbo PRS PL DAT IMP CAU,dagakbonkatogdo
5226,gis gek PRS SG ACC IMP MID,gvketlimde
28301,rus tegmefep PST PL ACC IND PAS,kegmefeptekenetniv
21578,di kafesel HAB PL DAT IMP PAS,kafeselzirenkenevde
20122,mo ninefef PRS DU GEN IMP MID,ninefefevinlimde
17892,ba dufla PST DU NOM SBJ MID,duflatogvalamsa
20927,mes dike HAB PL GEN IMP CAU,diketirenintigde
13022,gis luva FUT SG NOM SBJ ACT,luvarulsa
20736,dip safi PRS SG ACC IMP ACT,safedde
27366,no pufoz PRS SG ACC IMP MID,pufozotlemde
11740,zef mezmaf PRF PL NOM SBJ ACT,mezmafnashonsa
6547,ro ninefef PRS PL NOM IMP PAS,ninefefennevde
3282,be kutiket PST SG GEN SBJ PAS,kutiketsekinnifse
15614,ror vupla PRF DU ACC IMP MID,vuplananhavotlumdo
23661,zun dozug PRF SG GEN IND ACT,dozugannashun
2276,be kakepu PST PL GEN SBJ CAU,kakepusokonuntoksa
26050,vud golela PST DU NOM IMP ACT,folelotogvado
12354,fiz nivi PST PL DAT SBJ ACT,nivitekenkese
16485,lug monod FUT DU DAT SBJ MID,monodrulvakalemse
19535,sod gibor FUT PL GEN IND PAS,giborrulonunnuf
18673,ra gumedpi PST SG NOM SBJ MID,gumedpiteklamsa
8696,vu tade PRF PL DAT IND PAS,tadeneshenkenef
22564,li mori FUT PL DAT IMP CAU,moririlenketrigde
16379,ko dusim PRF DU GEN IMP MID,dusimneshevinlumdo
25294,bo ruptur PRF PL GEN IMP PAS,rupturnashonunnavdo
28680,gak dovu PRF DU NOM IND CAU,dovunashavatov
24991,lam nomnizid PRF DU GEN IMP CAU,nomnizidenneshevintivde
29669,sod getug HAB DU NOM SBJ ACT,gmtugdurvasa
5836,vus torvofam PRS SG DAT SBJ MID,torvofamakalemse
10235,pil leba HAB SG NOM IMP ACT,lebadurdo
22824,kit forko PST PL GEN IND PAS,forkotokonunnav
279,re mosu PRS PL ACC SBJ ACT,mosonotsa
22376,be dinim PST PL ACC SBJ PAS,dinimsekenetnifse
25273,fo fosu PRS PL NOM IMP MID,fosonlemde
5160,vo zupnav PRF DU GEN IMP MID,zupnavnazhavunlumdo
29752,tot kap PST SG NOM IMP CAU,kaptoktogdo
3690,nar pekla FUT DU ACC IMP MID,peklarulvotlemde
5915,ra zoli PRF PL ACC IMP PAS,zolineshenetnevde
11578,no suvkotab HAB SG ACC IND PAS,suvkotabdurotnaf
18078,fu dekam PRS PL NOM SBJ ACT,dekamonsa
19536,ruk duf PRF DU DAT IMP MID,dufnashavakalumdo
26023,kak tossa HAB DU NOM IMP CAU,tossaturvatogdo
29719,pil fonesel PRS PL GEN IND MID,foneseleninlim
21739,ki fane PRS DU DAT IND ACT,faneveke
25743,te petudro HAB PL NOM SBJ CAU,petudrozurontoksa
20552,po nuzgo PRF PL GEN SBJ PAS,nuzgonashonunnafsa
11702,ru kupo PST DU NOM IND MID,kupotogvalam
11514,gu sobvus PRS SG DAT IND ACT,sobvusaka
9006,ki miruvdu PRS SG ACC SBJ PAS,miruvdotnafsa
11742,da veksel PST DU GEN SBJ MID,vekseltegvinlamsa
28261,zev bulo HAB PL GEN IND MID,buloduronunlem
16469,go revo HAB SG NOM IMP CAU,revodurtogdo
13676,sa fammi PST PL DAT IND MID,fammitekenkelam
20163,gid kuze FUT DU NOM IND PAS,kuzerilvenif
16785,ni nosev FUT PL DAT SBJ ACT,nosevrilenkese
29322,vi lebvi FUT PL NOM SBJ CAU,lebvirilenterikse
15693,seb zavu PRS PL ACC SBJ MID,zgvonotlemse
17335,deg lepuved PST SG ACC IMP MID,lepuvetteketlamdo
3735,bi givo PRF PL GEN IND MID,givolashonlim
25484,vud pufovu PRF SG ACC SBJ MID,pufovunashotlumsa
3643,si viksa HAB PL GEN IMP PAS,viksazuronunnavdo
7198,gis lumfu PRS DU NOM IMP CAU,pumfavatogdo
25365,soz zeffobu PRF PL NOM IND CAU,zeffobunashontov
24936,kak tospor PRS DU DAT IMP ACT,tosporavakado
21305,kak dovfa PRS DU NOM SBJ PAS,udovfavanafsa
29365,gis depda PRS SG GEN SBJ MID,depdunlemse
21523,kak feve PRF DU DAT IND CAU,fevenesheveketiv
21718,rer fane PRF DU GEN IND CAU,faneneshevintiv
1837,pef vasof PRS DU ACC IMP ACT,vasofavoddo
29915,soz zurbibbu HAB DU DAT IND PAS,uzurbibbudurvakan
10984,kig rukloto PRS DU NOM IND MID,ruklotavalem
9303,re divi PST DU GEN SBJ MID,divisegvinlamsa
12799,vo roza FUT SG GEN SBJ ACT,rozarulunsa
1457,taf ponbu PRS PL GEN IND MID,ponbonunlem
1092,fiz zuzol HAB DU DAT IND PAS,zuzoldurvakan
4149,gig pepmo PRS SG ACC IMP ACT,pepmoddo
11008,di fumbegba PRS DU ACC IMP PAS,fumbegbavotnavdo
27068,tel sefu PST DU GEN IND MID,sefutogvunlam
9189,sa nikor PST SG NOM IMP MID,nikortoklamdo
4932,ru zebe PRS PL DAT SBJ PAS,zebenkenefse
14465,lug vupla PRS PL NOM IND ACT,vuplon
4556,ki feb FUT DU ACC SBJ CAU,febrilvetterikse
11488,si resiske PRS PL NOM IMP CAU,resiskentigde
12074,gak fariv PST DU GEN IMP MID,fariftegvinlamdo
25101,po purimu PRS SG GEN IMP ACT,purimundo
16797,pef tade FUT SG NOM IMP MID,taderillimde
20070,vus dagdi FUT PL ACC IND PAS,dagdiriloniv
14418,ko meszov PRF DU ACC IND ACT,meszovnashavot
28245,li deflup PST DU GEN SBJ ACT,deflupsogvunsa
25389,ka kap PRS DU GEN SBJ CAU,kapavuntoksa
24996,dip tumi FUT SG DAT IND CAU,tumirilketrig
17278,fe kap PRF DU DAT SBJ ACT,kaplashavaksa
6481,lam muza HAB SG DAT IMP ACT,muzandurkado
8020,sod dorpokto PRF PL GEN IND ACT,dorpoktonashonun
9100,si luzfod PRS DU DAT IND ACT,luzfodavaka
17476,mo dorpokto PST SG ACC SBJ MID,dorpoktotokotlamsa
8589,re feb HAB PL NOM IMP MID,febzirenlimde
29161,dar fafe HAB DU GEN IMP MID,fafedirvinlimde
24515,var fegzerig PST SG ACC IMP MID,fegzerektekeglamdo
27274,taf givo PRF SG GEN SBJ MID,givonashunlumsa
23872,kut torvofam HAB DU GEN IMP CAU,torvofamturvuntogdo
29363,vaz favo PRS SG GEN IMP CAU,favuntogdo
1503,lam gobnosuz PRS DU DAT IND MID,gobnosuzanavakalem
9936,be puvgi PRF DU NOM IMP CAU,puvgileshevetivde
10939,vum dorpokto PRS PL DAT IND MID,dorpoktanonkalem
20294,bi vul PST PL ACC IND MID,vulsokonotlam
3949,mes rereve PRS PL GEN IND MID,rereveninlim
6438,ne vukun PRF PL NOM IND ACT,vukunlashon
13619,rog vivida PRS SG NOM IND ACT,vivida
14303,be tefta PST DU NOM SBJ MID,teftasogvalamsa
22093,vo bini HAB PL ACC IND PAS,binidirenetnef
15948,dar notzus PRS SG DAT IND MID,notzusakalem
28189,lu fablo FUT SG ACC IND CAU,fablorulottarug
13064,vo kalugvo HAB SG NOM IMP CAU,kalugvodurtogdo
13250,ved getug HAB SG NOM IMP CAU,getugdurtogdo
29166,rog butral PRS PL NOM IND PAS,butralonnaf
7743,dip fonesel FUT PL GEN IND CAU,foneselrileninterig
26226,ma kuze PST DU ACC IND PAS,kuzesegvetniv
7755,ma nivi HAB PL ACC SBJ ACT,nividiretse
1412,ved doba PRF SG NOM IMP ACT,dobanashado
6528,pil tubeli PRS SG GEN IMP CAU,tubelintigde
1122,vaz bonezo PRF PL NOM SBJ MID,bonezonashonlumsa
16333,gar tomise FUT PL GEN SBJ ACT,tomiserileninse
5245,fo fosof PRF DU NOM IND ACT,fosofnashava
12152,ror zavsane PRS DU DAT SBJ MID,zavsanevekelimse
19640,se tapa PST SG DAT IMP CAU,tapasokkatogdo
25207,ve duz FUT SG GEN IMP MID,tuzrulunlemde
9433,deg resiske HAB SG NOM IND ACT,resiskedir
7468,ki nuro HAB PL GEN IMP CAU,nurozuronuntogdo
29011,gof diseso PRS DU ACC IND CAU,disesavottog
11031,gis nesiv PST PL GEN IMP PAS,neseftekeninnivde
29442,si tido HAB PL NOM IMP CAU,tidozurontogdo
7293,zu vevriz PRS DU DAT IMP MID,vevrizevekelimde
12971,di nuzgo HAB DU ACC IMP MID,nuzgozurvotlemde
5346,ra bonezo PRF PL DAT IND MID,bonezonashonkalum
14470,zev zurbibbu PST DU GEN SBJ MID,zurbibbutogvunlamsa
28811,ni puvgi FUT DU ACC SBJ CAU,puvgirilvetterikse
15962,po dukotbuv FUT PL GEN IND CAU,dukotbuvrulonuntarug
24274,su bev HAB SG ACC SBJ PAS,bevdiretnefse
21149,mar refzepvu PRF PL NOM SBJ MID,refzepvunashonlumsa
10863,dar desemup PST PL ACC IMP ACT,desemuptokonoddo
17754,le fal FUT DU NOM IMP CAU,falrulvatragdo
4484,ba viksa PST DU DAT SBJ PAS,viksatogvakanafsa
10560,ror kakepu HAB PL ACC SBJ CAU,kakepuduronottoksa
24577,zef zafo PRS PL ACC IMP MID,zafonotlemde
20326,le zepofma PST PL GEN IND ACT,zepofmasokin
21716,vu pavu PRS DU DAT IND CAU,pavavakatog
10598,vi narit PST DU DAT IMP CAU,naretsegveketigde
1433,go goloven PST PL DAT IMP ACT,goloventekenkede
5860,kit bargu PRF PL DAT IND MID,bargunashonkalum
12426,to safi HAB PL DAT IMP PAS,safidirenkenevde
10980,ni vamtot PST DU ACC IMP PAS,vamtotsogvotnavdo
22044,zut lave PST PL NOM SBJ ACT,lavetekense
27830,bi reten FUT PL DAT SBJ ACT,retenrilenkese
23077,na niluvob HAB SG ACC IMP PAS,duravumdurotnavdo
26376,na sitkifge FUT DU NOM IMP PAS,sitkifgerilvenivde
10406,re vadso PRF PL GEN IMP ACT,vadsolashonundo
23490,kak pamudo HAB PL ACC SBJ CAU,pamudoturonottoksa
19566,di kutviffo PST SG GEN IND PAS,kutviffosokunnav
11472,vo losif PRF SG DAT IMP ACT,losiffeneshekede
12063,be rero HAB SG NOM SBJ CAU,rerozurtoksa
8931,go mubfi HAB DU NOM IMP CAU,mubfidirvetigde
10968,va lave FUT SG DAT IMP ACT,laverilkede
27755,zun dibnasle FUT DU DAT IMP MID,dibnaslenrilvekelimde
26847,ved lesogbar FUT DU NOM IND PAS,lesogbarrulvanuf
1610,vus sazov PRS DU GEN SBJ PAS,sazovavunnafsa
29236,to gemiz HAB DU GEN SBJ CAU,gemizdirvintikse
16266,rug mapukko FUT PL NOM IND ACT,mapukkorulon
12393,ved butral FUT SG DAT IMP MID,butralrulkalemde
26839,vum nokvu HAB PL ACC IMP CAU,nokvanduronottogdo
2767,ruk narit PRF PL DAT SBJ MID,naritteneshenkelumsa
12776,gig mapukko PST PL DAT IMP MID,mapukkotokonkalamdo
23176,mun saso FUT PL NOM IMP PAS,sasanrulonmuvdo
216,fid libu HAB SG ACC IMP PAS,libudurotnavdo
24876,gid sonpa HAB PL ACC IMP MID,sonpaduronotlemde
6165,zef meszov PRS SG NOM IMP PAS,meszovanavdo
3901,sod funebti HAB DU NOM IND PAS,funnbtidirvenef
21231,reg kodi FUT DU NOM SBJ ACT,godirilvese
24636,gu zeffobu HAB SG DAT IMP ACT,zeffobudurkado
9999,vaz fabu PRS SG DAT IND PAS,fabakanaf
14797,rog siglu FUT PL GEN SBJ CAU,siglurulonuntaruksa
6087,gak lake HAB SG DAT IND CAU,laketirketig
14459,ved guva FUT PL GEN IND MID,guvarulonunlem
2856,si rereve HAB SG DAT SBJ PAS,rerevezirkenefse
18217,di posim PRF PL DAT SBJ ACT,posimleshenkese
17041,ror pebu FUT SG GEN IMP ACT,peburulundo
12414,reg kafesel PRF PL DAT IND CAU,kafeselleneshenketiv
9672,ros fablo PRF SG GEN SBJ CAU,fablonashuntofsa
516,ko koflu FUT DU NOM IMP MID,koflurulvalemde
11623,su givo PRS PL DAT SBJ PAS,givonkanafsa
8281,mo doba PRS DU GEN IND ACT,dobavun
20256,som nuzgo PST PL GEN SBJ CAU,nuzgantokonuntoksa
12078,li kuze PST DU GEN IND MID,kuzesegvinlam
17734,mar kozkikor FUT PL DAT IND PAS,kozkikorrulonkanuf
2157,zop kovo HAB PL GEN IND PAS,kovoturonunnaf
28081,da norto PRS SG GEN IND PAS,unortlnnaf
10726,ra tegmefep PRS DU NOM IND MID,tegmefepevelim
