id,input_tokens,output
84,C_00 C_04 C_08,1-5-0
85,C_00 C_04 C_09,0-3-0
86,C_00 C_04 C_10,0-3-1
87,C_00 C_04 C_11,0-5-0
88,C_00 C_04 C_12,1-3-1
89,C_00 C_04 C_13,0-6-3
90,C_00 C_04 C_14,1-9-0
91,C_00 C_04 C_15,0-3-3
92,C_00 C_04 C_16,0-4-3
93,C_00 C_04 C_17,0-3-1
94,C_00 C_04 C_18,1-7-0
95,C_00 C_04 C_19,0-5-0
96,C_00 C_04 C_20,0-4-3
97,C_00 C_04 C_21,0-8-4
98,C_00 C_04 C_22,0-7-1
99,C_00 C_04 C_23,1-8-4
100,C_00 C_04 C_24,1-3-4
101,C_00 C_04 C_25,0-5-1
102,C_00 C_04 C_26,1-3-4
103,C_00 C_04 C_27,1-3-1
104,C_00 C_04 C_28,1-7-4
105,C_00 C_04 C_29,1-3-4
106,C_00 C_05 C_06,1-8-1
107,C_00 C_05 C_07,1-8-4
108,C_00 C_05 C_08,1-8-0
109,C_00 C_05 C_09,0-8-0
110,C_00 C_05 C_10,0-8-1
111,C_00 C_05 C_11,0-8-0
112,C_00 C_05 C_12,1-8-1
113,C_00 C_05 C_13,0-8-3
114,C_00 C_05 C_14,1-9-0
115,C_00 C_05 C_15,0-8-3
116,C_00 C_05 C_16,0-8-3
117,C_00 C_05 C_17,0-8-1
118,C_00 C_05 C_18,1-8-0
119,C_00 C_05 C_19,0-8-0
120,C_00 C_05 C_20,0-8-3
121,C_00 C_05 C_21,0-8-4
122,C_00 C_05 C_22,0-8-1
123,C_00 C_05 C_23,1-8-4
124,C_00 C_05 C_24,1-8-4
125,C_00 C_05 C_25,0-8-1
126,C_00 C_05 C_26,1-8-4
127,C_00 C_05 C_27,1-8-1
128,C_00 C_05 C_28,1-8-4
129,C_00 C_05 C_29,1-8-4
130,C_00 C_06 C_07,0-3-1
131,C_00 C_06 C_08,0-5-2
132,C_00 C_06 C_09,1-3-2
133,C_00 C_06 C_10,1-3-3
134,C_00 C_06 C_11,1-5-2
135,C_00 C_06 C_12,0-3-3
136,C_00 C_06 C_13,1-6-0
137,C_00 C_06 C_14,0-9-2
138,C_00 C_06 C_15,1-3-0
139,C_00 C_06 C_16,1-4-0
140,C_00 C_06 C_17,1-3-3
141,C_00 C_06 C_18,0-7-2
142,C_00 C_06 C_19,1-5-2
143,C_00 C_06 C_20,1-4-0
144,C_00 C_06 C_21,1-8-1
145,C_00 C_06 C_22,1-7-3
146,C_00 C_06 C_23,0-8-1
147,C_00 C_06 C_24,0-3-1
148,C_00 C_06 C_25,1-5-3
149,C_00 C_06 C_26,0-3-1
150,C_00 C_06 C_27,0-3-3
151,C_00 C_06 C_28,0-7-1
152,C_00 C_06 C_29,0-3-1
153,C_00 C_07 C_08,0-5-0
154,C_00 C_07 C_09,1-3-0
155,C_00 C_07 C_10,1-1-1
156,C_00 C_07 C_11,1-5-0
157,C_00 C_07 C_12,0-0-1
158,C_00 C_07 C_13,1-6-3
159,C_00 C_07 C_14,0-9-0
160,C_00 C_07 C_15,1-1-3
161,C_00 C_07 C_16,1-4-3
162,C_00 C_07 C_17,1-1-1
163,C_00 C_07 C_18,0-7-0
164,C_00 C_07 C_19,1-5-0
165,C_00 C_07 C_20,1-4-3
166,C_00 C_07 C_21,1-8-4
167,C_00 C_07 C_22,1-7-1
168,C_00 C_07 C_23,0-8-4
169,C_00 C_07 C_24,0-0-4
170,C_00 C_07 C_25,1-5-1
171,C_00 C_07 C_26,0-1-4
172,C_00 C_07 C_27,0-3-1
173,C_00 C_07 C_28,0-7-4
174,C_00 C_07 C_29,0-2-4
175,C_00 C_08 C_09,1-5-1
176,C_00 C_08 C_10,1-5-2
177,C_00 C_08 C_11,1-5-1
178,C_00 C_08 C_12,0-5-2
179,C_00 C_08 C_13,1-6-4
180,C_00 C_08 C_14,0-9-1
181,C_00 C_08 C_15,1-5-4
182,C_00 C_08 C_16,1-5-4
183,C_00 C_08 C_17,1-5-2
184,C_00 C_08 C_18,0-7-1
185,C_00 C_08 C_19,1-5-1
186,C_00 C_08 C_20,1-5-4
187,C_00 C_08 C_21,1-8-0
188,C_00 C_08 C_22,1-7-2
189,C_00 C_08 C_23,0-8-0
190,C_00 C_08 C_24,0-5-0
191,C_00 C_08 C_25,1-5-2
192,C_00 C_08 C_26,0-5-0
193,C_00 C_08 C_27,0-5-2
194,C_00 C_08 C_28,0-7-0
195,C_00 C_08 C_29,0-5-0
196,C_00 C_09 C_10,0-3-2
197,C_00 C_09 C_11,0-5-1
198,C_00 C_09 C_12,1-3-2
199,C_00 C_09 C_13,0-6-4
200,C_00 C_09 C_14,1-9-1
201,C_00 C_09 C_15,0-3-4
202,C_00 C_09 C_16,0-4-4
203,C_00 C_09 C_17,0-3-2
204,C_00 C_09 C_18,1-7-1
205,C_00 C_09 C_19,0-5-1
206,C_00 C_09 C_20,0-4-4
207,C_00 C_09 C_21,0-8-0
208,C_00 C_09 C_22,0-7-2
209,C_00 C_09 C_23,1-8-0
210,C_00 C_09 C_24,1-3-0
211,C_00 C_09 C_25,0-5-2
212,C_00 C_09 C_26,1-3-0
213,C_00 C_09 C_27,1-3-2
214,C_00 C_09 C_28,1-7-0
215,C_00 C_09 C_29,1-3-0
216,C_00 C_10 C_11,0-5-2
217,C_00 C_10 C_12,1-1-3
218,C_00 C_10 C_13,0-6-0
219,C_00 C_10 C_14,1-9-2
220,C_00 C_10 C_15,0-1-0
221,C_00 C_10 C_16,0-4-0
222,C_00 C_10 C_17,0-1-3
223,C_00 C_10 C_18,1-7-2
224,C_00 C_10 C_19,0-5-2
225,C_00 C_10 C_20,0-4-0
226,C_00 C_10 C_21,0-8-1
227,C_00 C_10 C_22,0-7-3
228,C_00 C_10 C_23,1-8-1
229,C_00 C_10 C_24,1-1-1
230,C_00 C_10 C_25,0-5-3
231,C_00 C_10 C_26,1-1-1
232,C_00 C_10 C_27,1-3-3
233,C_00 C_10 C_28,1-7-1
234,C_00 C_10 C_29,1-2-1
235,C_00 C_11 C_12,1-5-2
236,C_00 C_11 C_13,0-6-4
237,C_00 C_11 C_14,1-9-1
238,C_00 C_11 C_15,0-5-4
239,C_00 C_11 C_16,0-5-4
240,C_00 C_11 C_17,0-5-2
241,C_00 C_11 C_18,1-7-1
242,C_00 C_11 C_19,0-5-1
243,C_00 C_11 C_20,0-5-4
244,C_00 C_11 C_21,0-8-0
245,C_00 C_11 C_22,0-7-2
246,C_00 C_11 C_23,1-8-0
247,C_00 C_11 C_24,1-5-0
248,C_00 C_11 C_25,0-5-2
249,C_00 C_11 C_26,1-5-0
250,C_00 C_11 C_27,1-5-2
251,C_00 C_11 C_28,1-7-0
252,C_00 C_11 C_29,1-5-0
253,C_00 C_12 C_13,1-6-0
254,C_00 C_12 C_14,0-9-2
255,C_00 C_12 C_15,1-1-0
256,C_00 C_12 C_16,1-4-0
257,C_00 C_12 C_17,1-1-3
258,C_00 C_12 C_18,0-7-2
259,C_00 C_12 C_19,1-5-2
260,C_00 C_12 C_20,1-4-0
261,C_00 C_12 C_21,1-8-1
262,C_00 C_12 C_22,1-7-3
263,C_00 C_12 C_23,0-8-1
264,C_00 C_12 C_24,0-0-1
265,C_00 C_12 C_25,1-5-3
266,C_00 C_12 C_26,0-1-1
267,C_00 C_12 C_27,0-3-3
268,C_00 C_12 C_28,0-7-1
269,C_00 C_12 C_29,0-2-1
270,C_00 C_13 C_14,1-9-4
271,C_00 C_13 C_15,0-6-2
272,C_00 C_13 C_16,0-6-2
273,C_00 C_13 C_17,0-6-0
274,C_00 C_13 C_18,1-7-4
275,C_00 C_13 C_19,0-6-4
276,C_00 C_13 C_20,0-6-2
277,C_00 C_13 C_21,0-8-3
278,C_00 C_13 C_22,0-7-0
279,C_00 C_13 C_23,1-8-3
280,C_00 C_13 C_24,1-6-3
281,C_00 C_13 C_25,0-6-0
282,C_00 C_13 C_26,1-6-3
283,C_00 C_13 C_27,1-6-0
284,C_00 C_13 C_28,1-7-3
285,C_00 C_13 C_29,1-6-3
286,C_00 C_14 C_15,1-9-4
287,C_00 C_14 C_16,1-9-4
288,C_00 C_14 C_17,1-9-2
289,C_00 C_14 C_18,0-9-1
290,C_00 C_14 C_19,1-9-1
291,C_00 C_14 C_20,1-9-4
292,C_00 C_14 C_21,1-9-0
293,C_00 C_14 C_22,1-9-2
294,C_00 C_14 C_23,0-9-0
295,C_00 C_14 C_24,0-9-0
296,C_00 C_14 C_25,1-9-2
297,C_00 C_14 C_26,0-9-0
298,C_00 C_14 C_27,0-9-2
299,C_00 C_14 C_28,0-9-0
300,C_00 C_14 C_29,0-9-0
301,C_00 C_15 C_16,0-4-2
302,C_00 C_15 C_17,0-1-0
303,C_00 C_15 C_18,1-7-4
304,C_00 C_15 C_19,0-5-4
305,C_00 C_15 C_20,0-4-2
306,C_00 C_15 C_21,0-8-3
307,C_00 C_15 C_22,0-7-0
308,C_00 C_15 C_23,1-8-3
309,C_00 C_15 C_24,1-1-3
310,C_00 C_15 C_25,0-5-0
311,C_00 C_15 C_26,1-1-3
312,C_00 C_15 C_27,1-3-0
313,C_00 C_15 C_28,1-7-3
314,C_00 C_15 C_29,1-2-3
315,C_00 C_16 C_17,0-4-0
316,C_00 C_16 C_18,1-7-4
317,C_00 C_16 C_19,0-5-4
318,C_00 C_16 C_20,0-4-2
319,C_00 C_16 C_21,0-8-3
320,C_00 C_16 C_22,0-7-0
321,C_00 C_16 C_23,1-8-3
322,C_00 C_16 C_24,1-4-3
323,C_00 C_16 C_25,0-5-0
324,C_00 C_16 C_26,1-4-3
325,C_00 C_16 C_27,1-4-0
326,C_00 C_16 C_28,1-7-3
327,C_00 C_16 C_29,1-4-3
328,C_00 C_17 C_18,1-7-2
329,C_00 C_17 C_19,0-5-2
330,C_00 C_17 C_20,0-4-0
331,C_00 C_17 C_21,0-8-1
332,C_00 C_17 C_22,0-7-3
333,C_00 C_17 C_23,1-8-1
334,C_00 C_17 C_24,1-1-1
335,C_00 C_17 C_25,0-5-3
336,C_00 C_17 C_26,1-1-1
337,C_00 C_17 C_27,1-3-3
338,C_00 C_17 C_28,1-7-1
339,C_00 C_17 C_29,1-2-1
340,C_00 C_18 C_19,1-7-1
341,C_00 C_18 C_20,1-7-4
342,C_00 C_18 C_21,1-8-0
343,C_00 C_18 C_22,1-7-2
344,C_00 C_18 C_23,0-8-0
345,C_00 C_18 C_24,0-7-0
346,C_00 C_18 C_25,1-7-2
347,C_00 C_18 C_26,0-7-0
348,C_00 C_18 C_27,0-7-2
349,C_00 C_18 C_28,0-7-0
350,C_00 C_18 C_29,0-7-0
351,C_00 C_19 C_20,0-5-4
352,C_00 C_19 C_21,0-8-0
353,C_00 C_19 C_22,0-7-2
354,C_00 C_19 C_23,1-8-0
355,C_00 C_19 C_24,1-5-0
356,C_00 C_19 C_25,0-5-2
357,C_00 C_19 C_26,1-5-0
358,C_00 C_19 C_27,1-5-2
359,C_00 C_19 C_28,1-7-0
360,C_00 C_19 C_29,1-5-0
361,C_00 C_20 C_21,0-8-3
362,C_00 C_20 C_22,0-7-0
363,C_00 C_20 C_23,1-8-3
364,C_00 C_20 C_24,1-4-3
365,C_00 C_20 C_25,0-5-0
366,C_00 C_20 C_26,1-4-3
367,C_00 C_20 C_27,1-4-0
368,C_00 C_20 C_28,1-7-3
369,C_00 C_20 C_29,1-4-3
370,C_00 C_21 C_22,0-8-1
371,C_00 C_21 C_23,1-8-4
372,C_00 C_21 C_24,1-8-4
373,C_00 C_21 C_25,0-8-1
374,C_00 C_21 C_26,1-8-4
375,C_00 C_21 C_27,1-8-1
376,C_00 C_21 C_28,1-8-4
377,C_00 C_21 C_29,1-8-4
378,C_00 C_22 C_23,1-8-1
379,C_00 C_22 C_24,1-7-1
380,C_00 C_22 C_25,0-7-3
381,C_00 C_22 C_26,1-7-1
382,C_00 C_22 C_27,1-7-3
383,C_00 C_22 C_28,1-7-1
384,C_00 C_22 C_29,1-7-1
385,C_00 C_23 C_24,0-8-4
386,C_00 C_23 C_25,1-8-1
387,C_00 C_23 C_26,0-8-4
388,C_00 C_23 C_27,0-8-1
389,C_00 C_23 C_28,0-8-4
390,C_00 C_23 C_29,0-8-4
391,C_00 C_24 C_25,1-5-1
392,C_00 C_24 C_26,0-1-4
393,C_00 C_24 C_27,0-3-1
394,C_00 C_24 C_28,0-7-4
395,C_00 C_24 C_29,0-2-4
396,C_00 C_25 C_26,1-5-1
397,C_00 C_25 C_27,1-5-3
398,C_00 C_25 C_28,1-7-1
399,C_00 C_25 C_29,1-5-1
400,C_00 C_26 C_27,0-3-1
401,C_00 C_26 C_28,0-7-4
402,C_00 C_26 C_29,0-2-4
403,C_00 C_27 C_28,0-7-1
404,C_00 C_27 C_29,0-3-1
405,C_00 C_28 C_29,0-7-4
406,C_01 C_02 C_03,1-8-1
407,C_01 C_02 C_04,0-8-2
408,C_01 C_02 C_05,0-8-2
409,C_01 C_02 C_06,1-8-4
410,C_01 C_02 C_07,1-8-2
411,C_01 C_02 C_08,1-8-3
412,C_01 C_02 C_09,0-8-3
413,C_01 C_02 C_10,0-8-4
414,C_01 C_02 C_11,0-8-3
415,C_01 C_02 C_12,1-8-4
416,C_01 C_02 C_13,0-8-1
417,C_01 C_02 C_14,1-9-3
418,C_01 C_02 C_15,0-8-1
419,C_01 C_02 C_16,0-8-1
420,C_01 C_02 C_17,0-8-4
421,C_01 C_02 C_18,1-8-3
422,C_01 C_02 C_19,0-8-3
423,C_01 C_02 C_20,0-8-1
424,C_01 C_02 C_21,0-8-2
425,C_01 C_02 C_22,0-8-4
426,C_01 C_02 C_23,1-8-2
427,C_01 C_02 C_24,1-8-2
428,C_01 C_02 C_25,0-8-4
429,C_01 C_02 C_26,1-8-2
430,C_01 C_02 C_27,1-8-4
431,C_01 C_02 C_28,1-8-2
432,C_01 C_02 C_29,1-8-2
433,C_01 C_03 C_04,1-3-2
434,C_01 C_03 C_05,1-8-2
435,C_01 C_03 C_06,0-3-4
436,C_01 C_03 C_07,0-3-2
437,C_01 C_03 C_08,0-5-3
438,C_01 C_03 C_09,1-3-3
439,C_01 C_03 C_10,1-3-4
440,C_01 C_03 C_11,1-5-3
441,C_01 C_03 C_12,0-3-4
442,C_01 C_03 C_13,1-6-1
443,C_01 C_03 C_14,0-9-3
444,C_01 C_03 C_15,1-3-1
445,C_01 C_03 C_16,1-4-1
446,C_01 C_03 C_17,1-3-4
447,C_01 C_03 C_18,0-7-3
448,C_01 C_03 C_19,1-5-3
449,C_01 C_03 C_20,1-4-1
450,C_01 C_03 C_21,1-8-2
451,C_01 C_03 C_22,1-7-4
452,C_01 C_03 C_23,0-8-2
453,C_01 C_03 C_24,0-3-2
454,C_01 C_03 C_25,1-5-4
455,C_01 C_03 C_26,0-3-2
456,C_01 C_03 C_27,0-3-4
457,C_01 C_03 C_28,0-7-2
458,C_01 C_03 C_29,0-3-2
459,C_01 C_04 C_05,0-8-3
460,C_01 C_04 C_06,1-3-0
461,C_01 C_04 C_07,1-3-3
462,C_01 C_04 C_08,1-5-4
463,C_01 C_04 C_09,0-3-4
464,C_01 C_04 C_10,0-3-0
465,C_01 C_04 C_11,0-5-4
466,C_01 C_04 C_12,1-3-0
467,C_01 C_04 C_13,0-6-2
468,C_01 C_04 C_14,1-9-4
469,C_01 C_04 C_15,0-3-2
470,C_01 C_04 C_16,0-4-2
471,C_01 C_04 C_17,0-3-0
472,C_01 C_04 C_18,1-7-4
473,C_01 C_04 C_19,0-5-4
474,C_01 C_04 C_20,0-4-2
475,C_01 C_04 C_21,0-8-3
476,C_01 C_04 C_22,0-7-0
477,C_01 C_04 C_23,1-8-3
478,C_01 C_04 C_24,1-3-3
479,C_01 C_04 C_25,0-5-0
480,C_01 C_04 C_26,1-3-3
481,C_01 C_04 C_27,1-3-0
482,C_01 C_04 C_28,1-7-3
483,C_01 C_04 C_29,1-3-3
484,C_01 C_05 C_06,1-8-0
485,C_01 C_05 C_07,1-8-3
486,C_01 C_05 C_08,1-8-4
487,C_01 C_05 C_09,0-8-4
488,C_01 C_05 C_10,0-8-0
489,C_01 C_05 C_11,0-8-4
490,C_01 C_05 C_12,1-8-0
491,C_01 C_05 C_13,0-8-2
492,C_01 C_05 C_14,1-9-4
493,C_01 C_05 C_15,0-8-2
494,C_01 C_05 C_16,0-8-2
495,C_01 C_05 C_17,0-8-0
496,C_01 C_05 C_18,1-8-4
497,C_01 C_05 C_19,0-8-4
498,C_01 C_05 C_20,0-8-2
499,C_01 C_05 C_21,0-8-3
500,C_01 C_05 C_22,0-8-0
501,C_01 C_05 C_23,1-8-3
502,C_01 C_05 C_24,1-8-3
503,C_01 C_05 C_25,0-8-0
504,C_01 C_05 C_26,1-8-3
505,C_01 C_05 C_27,1-8-0
506,C_01 C_05 C_28,1-8-3
507,C_01 C_05 C_29,1-8-3
508,C_01 C_06 C_07,0-3-0
509,C_01 C_06 C_08,0-5-1
510,C_01 C_06 C_09,1-3-1
511,C_01 C_06 C_10,1-3-2
512,C_01 C_06 C_11,1-5-1
513,C_01 C_06 C_12,0-3-2
514,C_01 C_06 C_13,1-6-4
515,C_01 C_06 C_14,0-9-1
516,C_01 C_06 C_15,1-3-4
517,C_01 C_06 C_16,1-4-4
518,C_01 C_06 C_17,1-3-2
519,C_01 C_06 C_18,0-7-1
520,C_01 C_06 C_19,1-5-1
521,C_01 C_06 C_20,1-4-4
522,C_01 C_06 C_21,1-8-0
523,C_01 C_06 C_22,1-7-2
524,C_01 C_06 C_23,0-8-0
525,C_01 C_06 C_24,0-3-0
526,C_01 C_06 C_25,1-5-2
527,C_01 C_06 C_26,0-3-0
528,C_01 C_06 C_27,0-3-2
529,C_01 C_06 C_28,0-7-0
530,C_01 C_06 C_29,0-3-0
531,C_01 C_07 C_08,0-5-4
532,C_01 C_07 C_09,1-3-4
533,C_01 C_07 C_10,1-3-0
534,C_01 C_07 C_11,1-5-4
535,C_01 C_07 C_12,0-3-0
536,C_01 C_07 C_13,1-6-2
537,C_01 C_07 C_14,0-9-4
538,C_01 C_07 C_15,1-3-2
539,C_01 C_07 C_16,1-4-2
540,C_01 C_07 C_17,1-3-0
541,C_01 C_07 C_18,0-7-4
542,C_01 C_07 C_19,1-5-4
543,C_01 C_07 C_20,1-4-2
544,C_01 C_07 C_21,1-8-3
545,C_01 C_07 C_22,1-7-0
546,C_01 C_07 C_23,0-8-3
547,C_01 C_07 C_24,0-3-3
548,C_01 C_07 C_25,1-5-0
549,C_01 C_07 C_26,0-3-3
550,C_01 C_07 C_27,0-3-0
551,C_01 C_07 C_28,0-7-3
552,C_01 C_07 C_29,0-3-3
553,C_01 C_08 C_09,1-5-0
554,C_01 C_08 C_10,1-5-1
555,C_01 C_08 C_11,1-5-0
556,C_01 C_08 C_12,0-5-1
557,C_01 C_08 C_13,1-6-3
558,C_01 C_08 C_14,0-9-0
559,C_01 C_08 C_15,1-5-3
560,C_01 C_08 C_16,1-5-3
561,C_01 C_08 C_17,1-5-1
562,C_01 C_08 C_18,0-7-0
563,C_01 C_08 C_19,1-5-0
564,C_01 C_08 C_20,1-5-3
565,C_01 C_08 C_21,1-8-4
566,C_01 C_08 C_22,1-7-1
567,C_01 C_08 C_23,0-8-4
568,C_01 C_08 C_24,0-5-4
569,C_01 C_08 C_25,1-5-1
570,C_01 C_08 C_26,0-5-4
571,C_01 C_08 C_27,0-5-1
572,C_01 C_08 C_28,0-7-4
573,C_01 C_08 C_29,0-5-4
574,C_01 C_09 C_10,0-3-1
575,C_01 C_09 C_11,0-5-0
576,C_01 C_09 C_12,1-3-1
577,C_01 C_09 C_13,0-6-3
578,C_01 C_09 C_14,1-9-0
579,C_01 C_09 C_15,0-3-3
580,C_01 C_09 C_16,0-4-3
581,C_01 C_09 C_17,0-3-1
582,C_01 C_09 C_18,1-7-0
583,C_01 C_09 C_19,0-5-0
584,C_01 C_09 C_20,0-4-3
585,C_01 C_09 C_21,0-8-4
586,C_01 C_09 C_22,0-7-1
587,C_01 C_09 C_23,1-8-4
588,C_01 C_09 C_24,1-3-4
589,C_01 C_09 C_25,0-5-1
590,C_01 C_09 C_26,1-3-4
591,C_01 C_09 C_27,1-3-1
592,C_01 C_09 C_28,1-7-4
593,C_01 C_09 C_29,1-3-4
594,C_01 C_10 C_11,0-5-1
595,C_01 C_10 C_12,1-3-2
596,C_01 C_10 C_13,0-6-4
597,C_01 C_10 C_14,1-9-1
598,C_01 C_10 C_15,0-3-4
599,C_01 C_10 C_16,0-4-4
600,C_01 C_10 C_17,0-3-2
601,C_01 C_10 C_18,1-7-1
602,C_01 C_10 C_19,0-5-1
603,C_01 C_10 C_20,0-4-4
604,C_01 C_10 C_21,0-8-0
605,C_01 C_10 C_22,0-7-2
606,C_01 C_10 C_23,1-8-0
607,C_01 C_10 C_24,1-3-0
608,C_01 C_10 C_25,0-5-2
609,C_01 C_10 C_26,1-3-0
610,C_01 C_10 C_27,1-3-2
611,C_01 C_10 C_28,1-7-0
612,C_01 C_10 C_29,1-3-0
613,C_01 C_11 C_12,1-5-1
614,C_01 C_11 C_13,0-6-3
615,C_01 C_11 C_14,1-9-0
616,C_01 C_11 C_15,0-5-3
617,C_01 C_11 C_16,0-5-3
618,C_01 C_11 C_17,0-5-1
619,C_01 C_11 C_18,1-7-0
620,C_01 C_11 C_19,0-5-0
621,C_01 C_11 C_20,0-5-3
622,C_01 C_11 C_21,0-8-4
623,C_01 C_11 C_22,0-7-1
624,C_01 C_11 C_23,1-8-4
625,C_01 C_11 C_24,1-5-4
626,C_01 C_11 C_25,0-5-1
627,C_01 C_11 C_26,1-5-4
628,C_01 C_11 C_27,1-5-1
629,C_01 C_11 C_28,1-7-4
630,C_01 C_11 C_29,1-5-4
631,C_01 C_12 C_13,1-6-4
632,C_01 C_12 C_14,0-9-1
633,C_01 C_12 C_15,1-3-4
634,C_01 C_12 C_16,1-4-4
635,C_01 C_12 C_17,1-3-2
636,C_01 C_12 C_18,0-7-1
637,C_01 C_12 C_19,1-5-1
638,C_01 C_12 C_20,1-4-4
639,C_01 C_12 C_21,1-8-0
640,C_01 C_12 C_22,1-7-2
641,C_01 C_12 C_23,0-8-0
642,C_01 C_12 C_24,0-3-0
643,C_01 C_12 C_25,1-5-2
644,C_01 C_12 C_26,0-3-0
645,C_01 C_12 C_27,0-3-2
646,C_01 C_12 C_28,0-7-0
647,C_01 C_12 C_29,0-3-0
648,C_01 C_13 C_14,1-9-3
649,C_01 C_13 C_15,0-6-1
650,C_01 C_13 C_16,0-6-1
651,C_01 C_13 C_17,0-6-4
652,C_01 C_13 C_18,1-7-3
653,C_01 C_13 C_19,0-6-3
654,C_01 C_13 C_20,0-6-1
655,C_01 C_13 C_21,0-8-2
656,C_01 C_13 C_22,0-7-4
657,C_01 C_13 C_23,1-8-2
658,C_01 C_13 C_24,1-6-2
659,C_01 C_13 C_25,0-6-4
660,C_01 C_13 C_26,1-6-2
661,C_01 C_13 C_27,1-6-4
662,C_01 C_13 C_28,1-7-2
663,C_01 C_13 C_29,1-6-2
664,C_01 C_14 C_15,1-9-3
665,C_01 C_14 C_16,1-9-3
666,C_01 C_14 C_17,1-9-1
667,C_01 C_14 C_18,0-9-0
668,C_01 C_14 C_19,1-9-0
669,C_01 C_14 C_20,1-9-3
670,C_01 C_14 C_21,1-9-4
671,C_01 C_14 C_22,1-9-1
672,C_01 C_14 C_23,0-9-4
673,C_01 C_14 C_24,0-9-4
674,C_01 C_14 C_25,1-9-1
675,C_01 C_14 C_26,0-9-4
676,C_01 C_14 C_27,0-9-1
677,C_01 C_14 C_28,0-9-4
678,C_01 C_14 C_29,0-9-4
679,C_01 C_15 C_16,0-4-1
680,C_01 C_15 C_17,0-3-4
681,C_01 C_15 C_18,1-7-3
682,C_01 C_15 C_19,0-5-3
683,C_01 C_15 C_20,0-4-1
684,C_01 C_15 C_21,0-8-2
685,C_01 C_15 C_22,0-7-4
686,C_01 C_15 C_23,1-8-2
687,C_01 C_15 C_24,1-3-2
688,C_01 C_15 C_25,0-5-4
689,C_01 C_15 C_26,1-3-2
690,C_01 C_15 C_27,1-3-4
691,C_01 C_15 C_28,1-7-2
692,C_01 C_15 C_29,1-3-2
693,C_01 C_16 C_17,0-4-4
694,C_01 C_16 C_18,1-7-3
695,C_01 C_16 C_19,0-5-3
696,C_01 C_16 C_20,0-4-1
697,C_01 C_16 C_21,0-8-2
698,C_01 C_16 C_22,0-7-4
